order_id,customer_id,restaurant_id,order_ts,status,total_amount,coupon_code,driver_id,payment_method
O00057,723,2,2025-08-27 10:45:57,PREPARING,1179.57,QB041,135,COD
O00058,7240,283,2025-08-19 03:37:00,CANCELLED,698.76,QB001,58,COD
O00059,2443,280,2025-08-24 20:36:08,PLACED,1268.43,QB038,283,COD
O00060,7042,66,2025-10-07 02:19:30,PLACED,531.56,,498,COD
O00061,5863,108,2025-10-25 11:56:16,CANCELLED,449.34,QB007,182,PREPAID
O00062,2533,474,2025-08-15 09:50:46,CONFIRMED,1310.45,,416,COD
O00063,6756,13,2025-10-08 06:39:08,CONFIRMED,1131.19,QB022,401,PREPAID
O00064,4066,137,2025-09-01 17:04:59,CONFIRMED,1202.32,QB007,196,COD
O00065,7712,114,2025-10-24 08:21:26,CONFIRMED,1243.22,QB030,180,PREPAID
O00066,3729,115,2025-10-24 20:16:47,PLACED,1024.05,QB026,169,PREPAID
O00067,1138,496,2025-10-15 02:45:13,PREPARING,591.6,QB033,205,PREPAID
O00068,453,60,2025-10-04 08:47:28,PREPARING,349.99,QB017,20,COD
O00069,9775,223,2025-10-08 23:43:01,PREPARING,1119.96,QB021,224,COD
O00070,6312,461,2025-10-15 20:59:41,DELIVERED,366.11,QB003,363,PREPAID
O00071,28,267,2025-08-09 06:47:25,DELIVERED,1061.6,QB048,378,COD
O00072,5968,221,2025-10-22 03:02:27,PLACED,1428.42,QB022,320,PREPAID
O00073,2042,369,2025-09-27 11:34:58,PREPARING,809.97,QB043,210,PREPAID
O00074,6593,357,2025-10-21 03:23:04,PREPARING,876.18,QB013,216,PREPAID
O00075,2852,316,2025-10-21 20:17:57,DELIVERED,521.33,QB036,427,COD
O00076,4979,147,2025-10-05 23:02:23,CONFIRMED,701.84,QB038,311,PREPAID
O00077,7619,227,2025-09-12 06:54:31,OUT_FOR_DELIVERY,1045.88,QB033,243,COD
O00078,1390,146,2025-09-15 16:16:16,DELIVERED,1029.4,QB040,172,COD
O00079,3849,345,2025-09-19 06:40:09,PREPARING,414.5,QB013,76,COD
O00080,758,126,2025-09-15 20:06:43,OUT_FOR_DELIVERY,955.78,QB050,38,PREPAID
O00081,6791,454,2025-09-24 12:19:15,CANCELLED,905.94,QB046,357,PREPAID
O00082,8100,205,2025-08-14 10:01:33,CONFIRMED,306.6,QB045,3,COD
O00083,6966,113,2025-09-11 22:55:35,CONFIRMED,1225.75,QB045,266,PREPAID
O00084,823,286,2025-10-01 03:17:24,CONFIRMED,1384.46,QB008,234,COD
O00085,7613,342,2025-08-05 02:59:27,DELIVERED,1483.05,QB039,163,PREPAID
O00086,8271,219,2025-10-23 01:01:18,DELIVERED,724.28,QB011,381,PREPAID
O00087,7374,133,2025-09-04 16:21:04,CONFIRMED,1275.81,QB018,393,PREPAID
O00088,3920,141,2025-10-23 20:38:09,OUT_FOR_DELIVERY,208.48,QB019,121,PREPAID
O00089,5503,164,2025-10-21 22:04:44,DELIVERED,212.81,QB010,119,PREPAID
O00090,2504,362,2025-10-31 08:32:24,CONFIRMED,189.92,QB027,170,PREPAID
O00091,6813,32,2025-10-07 01:11:39,CONFIRMED,1266.05,QB025,464,COD
O00092,9433,195,2025-10-30 02:42:56,OUT_FOR_DELIVERY,108.25,QB023,153,PREPAID
O00093,6866,276,2025-10-02 12:16:33,CANCELLED,1128.49,,309,COD
O00094,8000,113,2025-10-06 01:25:37,PREPARING,710.17,QB002,200,PREPAID
O00095,6625,371,2025-08-25 04:41:04,CONFIRMED,1276.71,QB009,319,COD
O00096,6456,304,2025-10-04 01:23:18,DELIVERED,1028.2,QB006,330,PREPAID
O00097,2224,444,2025-10-27 08:30:14,OUT_FOR_DELIVERY,354.42,QB017,195,PREPAID
O00098,3468,233,2025-09-02 20:48:23,PREPARING,572.5,QB025,143,PREPAID
O00099,4134,428,2025-10-19 18:17:21,PLACED,758.43,QB048,277,COD
O00100,5734,115,2025-10-23 04:44:24,CANCELLED,196.07,QB042,21,COD
O00101,4052,103,2025-09-16 10:10:42,PLACED,969.87,QB016,65,PREPAID
O00102,1875,289,2025-10-24 16:17:01,CONFIRMED,751.05,QB017,393,PREPAID
O00103,2750,311,2025-10-31 04:14:16,DELIVERED,1449.23,QB046,59,COD
O00104,5097,56,2025-10-27 20:39:22,DELIVERED,135.95,QB020,295,PREPAID
O00105,6499,483,2025-09-07 00:08:25,CANCELLED,377.66,QB038,354,COD
O00106,1670,357,2025-09-15 22:06:11,PREPARING,1290.41,QB039,413,COD
O00107,9273,401,2025-09-23 08:03:06,PLACED,586.09,QB028,339,PREPAID
O00108,1130,260,2025-09-07 11:16:47,CANCELLED,577.72,QB027,422,PREPAID
O00109,1730,222,2025-10-19 06:31:33,PREPARING,989.82,QB030,363,COD
O00110,7136,91,2025-09-13 23:24:28,CANCELLED,830.45,QB042,139,PREPAID
O00111,7617,224,2025-08-13 22:04:55,CANCELLED,929.46,QB021,437,COD
O00112,1420,143,2025-09-29 02:08:20,OUT_FOR_DELIVERY,441.41,QB030,292,PREPAID
O00113,5512,15,2025-09-20 01:11:40,OUT_FOR_DELIVERY,1291.33,QB012,250,COD
O00114,5814,409,2025-09-06 04:42:10,PREPARING,576.47,QB039,360,PREPAID
O00115,9107,6,2025-10-03 02:25:31,DELIVERED,1427.29,QB006,124,PREPAID
O00116,8005,285,2025-08-28 15:25:22,CONFIRMED,1066.85,QB042,365,PREPAID
O00117,7343,406,2025-10-16 03:50:22,PLACED,230.27,QB015,208,COD
O00118,5017,340,2025-10-12 00:38:07,DELIVERED,616.63,QB036,272,PREPAID
O00119,6972,382,2025-10-11 02:05:52,DELIVERED,563.11,QB045,233,PREPAID
O00120,5024,129,2025-10-28 00:58:11,CONFIRMED,268.92,QB013,162,COD
O00121,8780,487,2025-09-12 10:59:25,CANCELLED,359.21,QB014,379,PREPAID
O00122,4531,371,2025-10-17 23:09:02,DELIVERED,1467.25,QB034,306,PREPAID
O00123,1648,427,2025-10-22 17:08:10,CONFIRMED,514.75,QB024,92,PREPAID
O00124,232,363,2025-10-26 15:12:11,DELIVERED,277.22,QB003,499,COD
O00125,9067,150,2025-10-21 07:07:48,CANCELLED,1421.73,QB041,445,PREPAID
O00126,1681,447,2025-10-10 16:39:05,PLACED,903.69,QB031,246,PREPAID
O00127,5583,95,2025-10-03 22:16:50,PLACED,453.47,QB031,59,COD
O00128,6566,252,2025-08-19 22:27:36,PLACED,907.83,QB044,28,COD
O00129,2445,416,2025-08-06 02:45:29,DELIVERED,1428.78,QB006,128,COD
O00130,9144,392,2025-08-18 01:02:40,OUT_FOR_DELIVERY,948.84,,317,COD
O00131,8562,195,2025-10-30 22:26:23,OUT_FOR_DELIVERY,1371.91,QB020,441,PREPAID
O00132,5004,292,2025-08-04 14:53:44,DELIVERED,184.32,QB048,51,COD
O00133,3458,136,2025-08-12 21:17:01,CANCELLED,213.66,QB016,89,COD
O00134,2565,2,2025-09-14 13:20:49,OUT_FOR_DELIVERY,730.71,QB039,241,PREPAID
O00135,535,119,2025-10-16 08:22:23,PREPARING,1089.74,QB045,441,PREPAID
O00136,1167,352,2025-10-03 05:35:30,CONFIRMED,1393.48,,406,COD
O00137,6966,59,2025-10-19 11:38:20,DELIVERED,414.73,QB010,466,PREPAID
O00138,2331,37,2025-10-20 04:07:40,PLACED,332.29,QB020,305,PREPAID
O00139,7196,64,2025-08-26 15:04:43,OUT_FOR_DELIVERY,1064.15,QB045,207,PREPAID
O00140,8200,277,2025-08-06 19:32:26,OUT_FOR_DELIVERY,712.86,QB039,21,PREPAID
O00141,5281,310,2025-09-29 21:35:39,PREPARING,136.21,QB015,493,COD
O00142,4416,296,2025-08-08 20:45:31,PLACED,1168.35,QB012,241,PREPAID
O00143,4558,93,2025-10-16 23:36:45,DELIVERED,710.24,,252,COD
O00144,7701,179,2025-08-15 15:30:21,OUT_FOR_DELIVERY,566.63,QB043,54,COD
O00145,5404,211,2025-10-28 00:14:00,CANCELLED,793.66,QB043,484,PREPAID
O00146,9013,19,2025-08-15 19:33:58,OUT_FOR_DELIVERY,223.28,QB017,166,COD
O00147,6623,443,2025-10-06 08:45:22,DELIVERED,1254.9,QB001,337,PREPAID
O00148,6771,28,2025-10-07 05:32:53,CONFIRMED,825.82,QB040,388,PREPAID
O00149,7243,390,2025-08-22 20:27:54,PLACED,384.98,QB036,68,PREPAID
O00150,7179,451,2025-08-03 01:31:06,CANCELLED,778.6,QB002,499,COD
O00151,2595,160,2025-10-21 22:48:20,DELIVERED,119.14,QB027,48,COD
O00152,1859,237,2025-09-21 11:19:53,PLACED,1006.79,QB010,256,PREPAID
O00153,8338,362,2025-09-15 20:57:20,PREPARING,681.69,QB031,242,COD
O00154,7484,283,2025-09-24 06:51:20,CONFIRMED,637.02,QB039,261,COD
O00155,1144,142,2025-10-10 02:06:43,OUT_FOR_DELIVERY,575.83,,260,PREPAID
O00156,43,145,2025-09-06 21:49:37,CANCELLED,517.98,QB038,297,PREPAID
O00157,2435,229,2025-10-12 00:52:22,DELIVERED,778.08,QB022,283,PREPAID
O00158,7461,478,2025-08-15 00:47:42,PREPARING,1317.44,QB045,123,PREPAID
O00159,3827,439,2025-10-06 21:18:48,OUT_FOR_DELIVERY,161.11,QB048,243,PREPAID
O00160,6326,340,2025-08-30 15:13:39,CANCELLED,1473.15,QB032,494,COD
O00161,2069,258,2025-09-16 18:01:48,DELIVERED,564.79,QB007,448,PREPAID
O00162,1634,270,2025-09-03 15:24:27,OUT_FOR_DELIVERY,121.49,QB010,210,COD
O00163,1226,241,2025-09-24 08:18:52,PREPARING,573.99,QB045,204,COD
O00164,5384,437,2025-08-17 12:46:41,CANCELLED,1303.08,QB025,489,PREPAID
O00165,7995,447,2025-08-25 09:19:07,DELIVERED,150.26,QB005,121,PREPAID
O00166,3728,383,2025-10-21 04:18:40,PLACED,707.56,QB007,390,COD
O00167,7270,86,2025-10-04 03:24:12,CANCELLED,519.25,QB002,24,PREPAID
O00168,920,151,2025-10-11 22:37:41,PREPARING,624.78,QB010,126,PREPAID
O00169,9273,350,2025-08-03 08:06:35,CONFIRMED,337.98,QB006,313,PREPAID
O00170,3946,255,2025-08-26 01:25:12,DELIVERED,300.36,QB030,327,PREPAID
O00171,7530,131,2025-09-02 15:43:00,CANCELLED,113.16,,239,PREPAID
O00172,8956,81,2025-08-15 02:12:12,PLACED,718.42,QB023,301,PREPAID
O00173,6952,354,2025-08-08 00:29:51,PREPARING,739.57,QB020,102,PREPAID
O00174,7917,55,2025-08-28 20:08:49,CONFIRMED,633.91,QB023,295,PREPAID
O00175,4838,12,2025-08-08 11:41:08,CANCELLED,654.13,QB001,290,COD
O00176,9936,382,2025-09-05 14:07:53,OUT_FOR_DELIVERY,1265.97,QB019,398,COD
O00177,9947,411,2025-10-01 00:07:13,PREPARING,406.61,QB013,318,PREPAID
O00178,2241,322,2025-10-23 21:12:58,PLACED,1364.77,QB042,21,PREPAID
O00179,7223,18,2025-10-03 02:24:08,DELIVERED,610.81,QB009,47,PREPAID
O00180,5353,383,2025-09-27 14:28:37,OUT_FOR_DELIVERY,345.9,QB009,403,PREPAID
O00181,8698,257,2025-10-15 09:05:32,PREPARING,1262.66,QB017,468,PREPAID
O00182,4836,383,2025-09-07 16:48:53,PREPARING,1225.93,QB030,494,COD
O00183,2307,387,2025-10-16 03:28:23,CONFIRMED,1304.2,QB047,346,PREPAID
O00184,9132,188,2025-09-27 02:02:28,PLACED,1206.95,QB001,136,COD
O00185,7452,189,2025-08-26 04:15:26,CANCELLED,1148.62,QB017,300,PREPAID
O00186,6087,56,2025-10-27 07:53:57,CANCELLED,427.35,QB002,318,PREPAID
O00187,9996,114,2025-08-30 20:01:17,CANCELLED,188.5,,238,PREPAID
O00188,6690,60,2025-09-13 23:01:36,CONFIRMED,163.49,QB003,156,PREPAID
O00189,1903,50,2025-08-16 15:38:04,CONFIRMED,1342.16,QB009,199,PREPAID
O00190,6079,344,2025-08-30 05:06:36,CANCELLED,1075.08,QB035,215,COD
O00191,6798,336,2025-09-21 09:35:25,PLACED,1267.17,QB040,209,PREPAID
O00192,537,354,2025-08-09 00:32:45,PREPARING,404.18,QB029,487,COD
O00193,5943,51,2025-09-28 18:48:45,CANCELLED,614.27,QB042,184,COD
O00194,6524,142,2025-09-09 17:12:31,CONFIRMED,1455.49,,233,COD
O00195,3476,329,2025-09-10 10:01:20,CANCELLED,936.0,QB002,26,PREPAID
O00196,3991,65,2025-09-25 10:47:37,DELIVERED,387.29,QB049,284,COD
O00197,9608,111,2025-09-25 12:25:14,CONFIRMED,559.98,QB010,404,COD
O00198,4543,440,2025-10-03 16:42:07,CONFIRMED,1482.54,QB035,129,COD
O00199,1802,339,2025-10-22 22:48:38,PLACED,284.52,QB023,405,COD
O00200,9648,166,2025-08-21 01:39:39,PLACED,343.94,QB004,65,PREPAID
O00201,8620,59,2025-08-06 12:10:01,CANCELLED,188.98,QB029,399,PREPAID
O00202,8409,304,2025-08-06 21:20:32,PLACED,732.81,QB015,485,COD
O00203,8544,155,2025-09-21 00:44:40,OUT_FOR_DELIVERY,1000.68,QB002,32,PREPAID
O00204,6581,219,2025-10-23 14:22:35,CANCELLED,251.15,QB046,466,PREPAID
O00205,1205,461,2025-10-24 13:53:58,PLACED,550.96,QB010,34,COD
O00206,4506,320,2025-10-20 23:17:05,CANCELLED,919.51,QB046,167,PREPAID
O00207,9788,272,2025-10-26 12:16:44,PREPARING,735.2,QB039,221,COD
O00208,1875,437,2025-08-05 11:03:05,CANCELLED,1011.28,QB050,283,COD
O00209,7047,232,2025-10-02 18:43:59,CONFIRMED,679.34,,233,PREPAID
O00210,6816,374,2025-09-12 14:30:55,PLACED,537.57,QB021,341,PREPAID
O00211,6133,489,2025-10-27 22:30:31,CONFIRMED,1061.55,QB031,35,COD
O00212,1399,48,2025-08-08 13:13:06,OUT_FOR_DELIVERY,235.19,QB048,191,COD
O00213,9116,31,2025-10-04 01:02:35,DELIVERED,1439.27,QB036,169,COD
O00214,6731,182,2025-08-11 07:44:54,CANCELLED,1417.58,QB028,445,COD
O00215,4713,308,2025-10-16 16:35:45,PREPARING,592.3,QB037,260,COD
O00216,2536,337,2025-09-10 09:05:54,OUT_FOR_DELIVERY,413.94,QB007,180,PREPAID
O00217,1883,391,2025-10-17 20:17:34,PREPARING,903.74,,220,COD
O00218,9978,476,2025-10-07 10:41:28,CANCELLED,1261.25,QB018,15,COD
O00219,4478,360,2025-09-19 07:03:57,PREPARING,1390.15,QB023,4,COD
O00220,2348,290,2025-08-08 04:17:23,CANCELLED,661.1,QB010,380,COD
O00221,1504,383,2025-10-26 13:20:20,DELIVERED,401.19,QB027,233,PREPAID
O00222,2579,190,2025-10-10 04:54:38,PREPARING,1110.23,QB050,483,COD
O00223,862,80,2025-09-17 08:37:51,CONFIRMED,1156.21,QB004,346,COD
O00224,4459,227,2025-10-04 05:07:20,CANCELLED,693.62,QB039,227,PREPAID
O00225,4476,111,2025-09-28 00:18:20,DELIVERED,259.34,QB028,57,PREPAID
O00226,9718,250,2025-10-24 17:04:02,DELIVERED,1033.99,QB003,113,PREPAID
O00227,9820,29,2025-09-02 22:37:23,PLACED,386.19,QB014,393,COD
O00228,4187,149,2025-10-12 13:49:00,PREPARING,267.98,QB032,383,PREPAID
O00229,2879,67,2025-10-11 14:26:40,OUT_FOR_DELIVERY,845.62,QB015,257,PREPAID
O00230,1181,204,2025-10-29 10:04:16,CANCELLED,159.22,QB002,236,COD
O00231,5130,295,2025-08-14 13:49:56,OUT_FOR_DELIVERY,902.76,QB046,328,PREPAID
O00232,4744,59,2025-09-12 12:25:17,OUT_FOR_DELIVERY,129.2,QB021,88,PREPAID
O00233,5929,46,2025-09-27 07:14:19,OUT_FOR_DELIVERY,1282.28,QB016,224,PREPAID
O00234,8585,41,2025-08-27 18:53:38,OUT_FOR_DELIVERY,1318.73,QB048,174,COD
O00235,5457,399,2025-10-24 06:55:57,CONFIRMED,206.93,QB041,59,COD
O00236,5725,180,2025-09-04 03:44:51,CANCELLED,1441.51,QB042,418,COD
O00237,3872,53,2025-08-06 01:46:26,CONFIRMED,458.36,QB012,309,COD
O00238,1235,91,2025-09-20 11:44:23,CANCELLED,791.76,QB049,289,PREPAID
O00239,9249,330,2025-08-04 21:07:38,CANCELLED,1481.14,QB021,443,PREPAID
O00240,2474,226,2025-09-09 21:25:20,PLACED,756.49,QB041,156,PREPAID
O00241,9690,29,2025-10-03 19:54:11,PREPARING,810.27,QB020,237,PREPAID
O00242,617,30,2025-10-31 08:08:41,PREPARING,1264.38,QB005,331,COD
O00243,9734,260,2025-08-31 18:35:44,OUT_FOR_DELIVERY,747.8,QB036,489,COD
O00244,7369,466,2025-09-20 16:47:34,DELIVERED,1012.57,QB021,310,PREPAID
O00245,8215,78,2025-08-20 18:12:07,PLACED,730.73,,461,PREPAID
O00246,1382,259,2025-08-13 20:30:06,CANCELLED,341.58,QB016,363,PREPAID
O00247,7200,269,2025-08-31 08:13:03,DELIVERED,953.73,QB024,191,PREPAID
O00248,6348,210,2025-08-13 01:14:25,PREPARING,1050.46,QB004,405,PREPAID
O00249,1080,169,2025-08-16 22:34:12,PLACED,881.15,QB025,146,PREPAID
O00250,9875,448,2025-09-18 20:20:11,CONFIRMED,566.71,QB038,340,COD
O00251,5732,159,2025-08-19 01:58:13,CANCELLED,1077.87,QB026,67,COD
O00252,5073,287,2025-08-03 05:45:33,OUT_FOR_DELIVERY,1000.89,QB022,417,COD
O00253,8625,48,2025-09-30 08:28:25,CANCELLED,1038.64,QB033,186,COD
O00254,5941,159,2025-08-17 21:54:26,CONFIRMED,1431.64,QB022,486,PREPAID
O00255,3146,116,2025-09-05 05:45:05,CONFIRMED,316.92,QB019,433,COD
O00256,8318,395,2025-09-06 07:52:22,DELIVERED,1269.17,QB034,20,PREPAID
O00257,2148,306,2025-08-16 18:49:55,OUT_FOR_DELIVERY,315.95,QB012,426,COD
O00258,7171,23,2025-09-02 09:45:10,OUT_FOR_DELIVERY,610.02,QB047,122,PREPAID
O00259,4669,386,2025-10-10 16:51:33,CANCELLED,1197.32,QB015,274,COD
O00260,5071,495,2025-09-29 12:14:48,OUT_FOR_DELIVERY,1365.56,QB013,189,PREPAID
O00261,7565,394,2025-10-19 18:53:24,PREPARING,1189.37,QB033,271,PREPAID
O00262,2656,419,2025-10-30 21:50:02,CONFIRMED,1221.76,QB009,447,PREPAID
O00263,855,329,2025-10-01 01:00:17,OUT_FOR_DELIVERY,1323.76,QB036,479,COD
O00264,8453,436,2025-08-24 01:50:20,PLACED,499.09,QB049,83,PREPAID
O00265,7362,464,2025-10-25 00:02:22,DELIVERED,306.29,QB028,47,COD
O00266,7392,453,2025-10-13 11:22:14,PREPARING,1402.66,QB027,28,PREPAID
O00267,8225,192,2025-09-17 13:01:24,CONFIRMED,640.63,QB006,192,COD
O00268,462,164,2025-10-14 03:00:10,PLACED,1274.85,QB042,172,COD
O00269,2255,20,2025-09-26 10:31:42,PREPARING,1384.35,QB031,357,COD
O00270,7686,230,2025-09-28 20:02:52,DELIVERED,107.35,QB006,10,PREPAID
O00271,3534,428,2025-08-08 21:23:44,CONFIRMED,868.33,QB047,312,PREPAID
O00272,1822,398,2025-10-13 11:05:40,PREPARING,432.7,QB008,25,COD
O00273,6879,328,2025-08-19 03:59:02,DELIVERED,739.96,QB008,429,PREPAID
O00274,9777,275,2025-08-20 08:08:58,PLACED,984.74,QB037,124,COD
O00275,4773,220,2025-09-11 10:27:02,PLACED,960.73,QB016,293,PREPAID
O00276,3069,341,2025-09-29 08:58:46,CANCELLED,219.86,QB024,35,COD
O00277,6398,448,2025-10-18 11:57:03,OUT_FOR_DELIVERY,160.95,QB025,192,PREPAID
O00278,267,183,2025-08-03 15:01:02,PLACED,582.72,QB047,337,COD
O00279,9534,377,2025-10-18 21:13:50,PREPARING,286.77,QB023,280,PREPAID
O00280,2869,426,2025-10-04 18:51:47,CANCELLED,750.47,QB045,246,COD
O00281,2210,33,2025-10-20 16:47:33,CANCELLED,1186.67,QB030,19,PREPAID
O00282,3303,23,2025-10-05 21:23:26,CONFIRMED,1340.11,QB021,478,PREPAID
O00283,8445,204,2025-08-14 03:04:31,DELIVERED,762.76,QB003,386,COD
O00284,4688,183,2025-09-08 00:47:38,PLACED,1312.12,QB022,140,COD
O00285,6030,224,2025-10-30 11:55:27,OUT_FOR_DELIVERY,1140.63,QB025,174,COD
O00286,8130,355,2025-09-18 03:06:47,OUT_FOR_DELIVERY,614.29,,266,PREPAID
O00287,1354,373,2025-10-11 16:24:04,OUT_FOR_DELIVERY,210.5,QB039,422,COD
O00288,8938,151,2025-08-13 17:46:24,PREPARING,243.64,QB021,339,PREPAID
O00289,5022,229,2025-10-20 19:04:27,DELIVERED,1104.73,QB011,354,PREPAID
O00290,5760,229,2025-08-08 20:43:34,PLACED,1117.54,QB023,315,PREPAID
O00291,4499,328,2025-10-18 00:26:08,PLACED,205.06,QB041,208,PREPAID
O00292,8407,411,2025-08-04 05:59:52,CANCELLED,1051.17,QB002,74,PREPAID
O00293,571,65,2025-10-09 09:43:31,PLACED,430.39,QB042,188,PREPAID
O00294,6273,487,2025-08-02 23:54:55,DELIVERED,145.34,QB010,348,PREPAID
O00295,6078,191,2025-08-25 10:11:19,OUT_FOR_DELIVERY,1168.32,QB037,71,PREPAID
O00296,6522,161,2025-08-12 06:45:14,CANCELLED,490.17,QB008,14,COD
O00297,8177,266,2025-08-17 14:28:22,OUT_FOR_DELIVERY,1378.96,QB008,135,PREPAID
O00298,7312,110,2025-10-07 15:15:12,DELIVERED,499.81,QB032,103,COD
O00299,2224,437,2025-08-30 01:12:57,PLACED,732.86,QB046,228,COD
O00300,5237,342,2025-08-16 10:41:12,PREPARING,1093.36,QB036,278,PREPAID
O00301,4915,436,2025-08-16 05:44:08,CONFIRMED,1096.53,QB045,327,COD
O00302,5923,261,2025-10-10 05:52:27,CONFIRMED,269.91,QB013,406,COD
O00303,3879,405,2025-08-24 02:18:26,OUT_FOR_DELIVERY,136.8,QB036,294,PREPAID
O00304,7658,412,2025-08-21 05:04:19,DELIVERED,281.68,QB006,34,PREPAID
O00305,6524,368,2025-09-29 23:40:38,CANCELLED,770.13,QB027,394,PREPAID
O00306,9420,38,2025-08-03 05:33:04,CONFIRMED,1461.33,QB042,38,PREPAID
O00307,7633,349,2025-10-06 09:00:26,DELIVERED,582.32,QB050,283,COD
O00308,2115,222,2025-09-28 23:29:29,DELIVERED,1375.0,QB004,426,COD
O00309,8489,79,2025-10-17 19:45:13,PREPARING,330.52,QB021,479,COD
O00310,5670,486,2025-08-14 09:36:24,DELIVERED,1352.9,QB006,129,COD
O00311,9025,141,2025-08-31 00:10:41,CONFIRMED,975.03,QB040,274,COD
