feedback_id,order_id,customer_id,rating,feedback_text,feedback_category,sentiment,feedback_date
2074845,3381573131,67386193,1,Delivery was late and I was unhappy.,Delivery,Negative,2024-07-16
417728,3773745777,67701771,4,"It was okay, nothing special.",Customer Service,Neutral,2024-05-02
5642561,9251939156,89910157,4,"Overall good experience, thank you!",App Experience,Positive,2023-12-30
261554,3872982303,15484407,4,"It was okay, nothing special.",Delivery,Neutral,2024-02-03
1822011,2625987757,10769994,3,"It was okay, nothing special.",Delivery,Neutral,2023-08-01
4763044,3162249401,85519349,4,"Excellent quality, will buy again!",Delivery,Positive,2024-05-03
5621837,3108986741,49241309,3,Product was damaged during delivery.,Product Quality,Negative,2023-10-17
4571579,1851474741,23348269,2,The order was incorrect.,Product Quality,Negative,2023-11-01
3853657,2425099132,85016568,4,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2023-08-15
7245923,6706793332,6247821,2,I had a bad experience.,Delivery,Negative,2024-10-09
2338813,2149289255,57579640,3,Delivery was late and I was unhappy.,Product Quality,Negative,2024-11-01
2222062,1971008155,2457734,1,Items were missing from my order.,App Experience,Negative,2023-10-23
6813661,2087093460,59329145,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-07-11
4065309,2116712588,24043135,3,"It was okay, nothing special.",Delivery,Neutral,2023-11-11
3025076,6054358790,59216664,3,"Average experience, could improve.",Product Quality,Neutral,2024-01-26
9329920,532660797,41008070,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-05-20
1307363,1491991005,52215833,3,Very disappointed with the quality.,Product Quality,Negative,2024-03-04
1930153,4136019599,74179536,4,"Excellent quality, will buy again!",App Experience,Positive,2024-03-23
5614682,2122832513,55028958,1,Customer service was not helpful.,Customer Service,Negative,2024-02-17
6784407,3717703595,88965399,4,"Excellent quality, will buy again!",Delivery,Positive,2023-04-24
2013422,3194733693,21866852,4,The product met my expectations.,Product Quality,Neutral,2023-07-05
344048,4471162437,27971619,4,"It was okay, nothing special.",App Experience,Neutral,2024-02-06
3089818,1609331948,8791577,3,"It was okay, nothing special.",Product Quality,Neutral,2024-01-04
5340615,6920030794,70372270,3,The packaging was poor.,Customer Service,Negative,2024-06-24
8229982,5127172657,32293017,4,"Overall good experience, thank you!",Product Quality,Positive,2024-06-11
2195625,8607115856,15931134,4,The product met my expectations.,Customer Service,Neutral,2023-10-09
4371570,7154957395,60700850,3,"It was okay, nothing special.",App Experience,Neutral,2023-04-09
7289033,2070762702,34761418,4,"Excellent quality, will buy again!",Product Quality,Positive,2023-10-04
2978291,3697242439,99361865,3,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2024-10-15
9074696,3063427913,75984768,4,"Excellent quality, will buy again!",Customer Service,Positive,2023-09-21
4994827,2060061337,29272253,1,Customer service was not helpful.,App Experience,Negative,2023-04-15
1932712,4625892678,80371626,1,The packaging was poor.,Delivery,Negative,2023-06-18
5568145,6045698170,666589,5,Great prices and fast delivery!,Delivery,Positive,2024-01-24
8266029,7876289647,98858383,4,The product met my expectations.,Delivery,Neutral,2024-08-07
7621707,3434084714,46836361,4,Highly recommended!,Product Quality,Positive,2024-02-02
545267,9031695663,94730288,2,The packaging was poor.,App Experience,Negative,2024-01-17
2056599,1955989715,77862447,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2023-12-27
2265740,3459500455,16379942,4,Great prices and fast delivery!,Customer Service,Positive,2023-12-18
2438008,5953376503,79169760,5,Customer service was very helpful.,Customer Service,Positive,2024-05-25
7517891,121874867,94529626,5,"Overall good experience, thank you!",Delivery,Positive,2023-03-28
5506466,2460545397,42872865,3,The product met my expectations.,Product Quality,Neutral,2024-10-27
9785308,9690050839,55803572,4,The product met my expectations.,App Experience,Neutral,2024-01-13
3562195,2574349065,51547198,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,2024-04-17
1736546,2461936988,14428954,5,"Overall good experience, thank you!",App Experience,Positive,2023-07-20
8067827,6447596416,76987910,4,Good selection of products.,Customer Service,Positive,2023-10-08
5597699,7228452275,42262168,2,Product was damaged during delivery.,App Experience,Negative,2023-05-13
7041781,6696750742,5277675,5,"Overall good experience, thank you!",App Experience,Positive,2023-04-02
2333633,822235931,44410149,4,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2023-08-09
8661092,7678251499,17805991,2,Taste was not as expected.,Product Quality,Negative,2023-04-23
6765334,2497341976,9097480,1,Not worth the price I paid.,App Experience,Negative,2023-09-21
1452437,9107314128,79591237,2,I had a bad experience.,App Experience,Negative,2024-05-20
1280305,9855726256,8651281,4,"Excellent quality, will buy again!",App Experience,Positive,2023-05-17
2395160,9398719862,14991661,1,Customer service was not helpful.,Delivery,Negative,2024-07-19
5664217,379494532,9650263,5,Very happy with the service!,Customer Service,Positive,2024-07-07
9261384,1048784963,58942207,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2023-09-07
2930893,4386246924,69632084,3,Very disappointed with the quality.,Delivery,Negative,2024-08-27
7046969,2050362692,79991320,3,The product met my expectations.,Customer Service,Neutral,2024-10-30
29533,4142963293,34567918,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2024-11-03
5840376,9753528654,61522288,3,The product met my expectations.,Product Quality,Neutral,2024-07-26
1755551,8126970833,14161586,4,"Average experience, could improve.",Delivery,Neutral,2024-09-14
6078718,9747814712,16359370,5,"Overall good experience, thank you!",Product Quality,Positive,2023-12-16
6559425,6281619403,77921718,5,"Overall good experience, thank you!",Customer Service,Positive,2023-04-09
4075651,436184281,78614729,2,Taste was not as expected.,App Experience,Negative,2023-11-20
4329893,9799231260,22077605,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,2024-03-07
6376860,4071811527,66023110,4,Will definitely order again.,Customer Service,Positive,2023-07-26
4848501,5645359563,87160527,2,Delivery was late and I was unhappy.,App Experience,Negative,2024-08-08
3953251,9411813703,62600289,3,Items were missing from my order.,Delivery,Negative,2023-09-25
9293552,4270217473,54580166,4,The product met my expectations.,Customer Service,Neutral,2024-02-01
9483364,279851011,12967305,3,"Average experience, could improve.",Delivery,Neutral,2023-04-11
5154122,6260524887,57081917,5,Great prices and fast delivery!,Delivery,Positive,2024-06-01
1883777,5853998391,94453274,3,Very disappointed with the quality.,Delivery,Negative,2023-09-08
4156770,9931976872,8955057,2,Delivery was late and I was unhappy.,Delivery,Negative,2024-06-24
6999355,8432209832,90346920,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-03-20
8680329,6023721507,8791577,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,2024-04-07
3483069,3042338919,76212152,3,"It was okay, nothing special.",Delivery,Neutral,2023-05-17
3662619,233646065,16379942,4,"Average experience, could improve.",Delivery,Neutral,2023-09-19
4364701,9870610018,94033330,2,Customer service was not helpful.,Product Quality,Negative,2024-02-08
4844693,1398230967,46876240,1,The packaging was poor.,App Experience,Negative,2024-04-22
1300567,8615488922,92209869,4,Very fresh and well-packaged.,Product Quality,Positive,2023-11-04
5430155,2748841057,33544355,3,The product met my expectations.,Delivery,Neutral,2023-12-30
3233069,1375867721,4862761,1,Customer service was not helpful.,Delivery,Negative,2024-07-15
3246894,8595141097,96511007,4,Will definitely order again.,Product Quality,Positive,2024-03-31
6084184,4673382071,21784094,3,"Average experience, could improve.",Delivery,Neutral,2024-01-16
8458237,2948696008,51872499,2,Customer service was not helpful.,Customer Service,Negative,2024-04-10
5909067,6839692624,64497538,1,I had a bad experience.,Delivery,Negative,2023-11-19
929702,5770951298,75510747,5,Items were in perfect condition.,Delivery,Positive,2023-10-02
6892019,5084771819,6344345,4,The product met my expectations.,App Experience,Neutral,2024-08-29
6001815,422403644,56548063,2,The packaging was poor.,App Experience,Negative,2023-05-27
3856968,7176758896,18394558,4,"It was okay, nothing special.",Delivery,Neutral,2023-07-13
7342761,8252905093,42589311,5,Great prices and fast delivery!,Customer Service,Positive,2024-04-21
6301325,1488561572,75928073,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,2024-08-27
175550,6212984517,72702075,4,Will definitely order again.,Customer Service,Positive,2024-03-16
3584525,6309784337,26250082,2,Delivery was late and I was unhappy.,Delivery,Negative,2024-05-06
4434255,4613890018,53538932,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2023-10-24
2332501,3429728472,64017365,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,2023-03-31
529507,267738904,63368244,5,"Overall good experience, thank you!",Product Quality,Positive,2023-10-24
3049810,3850416839,57081917,4,"Average experience, could improve.",App Experience,Neutral,2024-07-01
5808553,3412702479,86479284,4,"Overall good experience, thank you!",App Experience,Positive,2023-12-24
2917013,2016183232,44928499,4,"Excellent quality, will buy again!",Customer Service,Positive,2023-07-19
1159860,3810280204,84361534,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,2023-10-26
8809496,2416767295,767523,3,The packaging was poor.,Customer Service,Negative,2024-07-05
2694712,2283439407,46623192,2,Delivery was late and I was unhappy.,Delivery,Negative,2023-07-14
7498417,4328802292,9738801,4,"Average experience, could improve.",Delivery,Neutral,2023-06-14
3262730,7072715691,74195536,4,"Average experience, could improve.",Delivery,Neutral,2023-12-25
6773414,5640741373,90298394,3,I had a bad experience.,Delivery,Negative,2024-05-10
7171637,6931094066,17159117,3,"Average experience, could improve.",Product Quality,Neutral,2023-11-15
3283932,3417088709,62629494,4,Will definitely order again.,Product Quality,Positive,2024-05-30
8199864,4424404315,9274874,4,"Overall good experience, thank you!",Product Quality,Positive,2023-07-16
945453,2444087306,56250563,5,Items were in perfect condition.,Delivery,Positive,2023-07-28
5730680,486085268,51040116,5,Items were in perfect condition.,Customer Service,Positive,2023-12-11
113770,1731312620,49795571,3,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2023-05-08
8086727,6475582506,82529927,5,Very happy with the service!,Delivery,Positive,2023-09-23
3180619,1868581378,93198324,2,Items were missing from my order.,Product Quality,Negative,2024-03-29
5525089,8884235937,20298398,5,Very fresh and well-packaged.,Product Quality,Positive,2024-08-09
478239,4590662628,87200291,3,Not worth the price I paid.,Customer Service,Negative,2024-01-10
2088092,992302540,32203588,2,The packaging was poor.,Delivery,Negative,2023-11-26
4421485,7169974633,59110513,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-10-16
3129645,6703651257,93198324,2,Delivery was late and I was unhappy.,Delivery,Negative,2024-01-17
8616443,7180810221,20940403,3,"It was okay, nothing special.",Delivery,Neutral,2023-09-10
1002741,7875587578,60967677,1,Delivery was late and I was unhappy.,Customer Service,Negative,2024-07-15
5232827,2578671497,76218218,4,"It was okay, nothing special.",Product Quality,Neutral,2024-01-25
716244,6284350691,57207678,4,"Overall good experience, thank you!",Product Quality,Positive,2024-06-20
1801673,5383261788,34588087,4,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2023-10-18
4393080,6590867973,56441247,5,Items were in perfect condition.,Product Quality,Positive,2023-11-20
9347337,8787105023,81822935,4,"Excellent quality, will buy again!",Delivery,Positive,2024-05-07
6585928,1402916311,14275043,5,Good selection of products.,Customer Service,Positive,2024-04-23
4929568,9715205272,52409516,2,Items were missing from my order.,Product Quality,Negative,2024-10-21
6959173,3946852375,96253172,3,Customer service was not helpful.,Product Quality,Negative,2024-07-04
7611885,3367039425,86050297,3,"It was okay, nothing special.",App Experience,Neutral,2024-03-10
1795388,687711388,52757321,5,Great prices and fast delivery!,App Experience,Positive,2024-02-02
6105898,647012431,34281470,2,Not worth the price I paid.,Customer Service,Negative,2024-06-16
2468637,7143278295,50557979,5,Great prices and fast delivery!,Product Quality,Positive,2024-02-13
1423073,9736844695,31978160,5,Will definitely order again.,Delivery,Positive,2024-04-09
4632185,5933289680,5751638,3,Not worth the price I paid.,Product Quality,Negative,2023-12-07
4420247,9494303116,98858383,4,Will definitely order again.,Product Quality,Positive,2024-07-21
4072221,9337878102,9987182,3,"Average experience, could improve.",Delivery,Neutral,2023-05-16
7824497,6872621077,77128325,3,Taste was not as expected.,Customer Service,Negative,2023-09-14
4309566,7330237253,28428852,3,"Average experience, could improve.",Product Quality,Neutral,2023-12-07
701482,7942616242,33685414,2,Delivery was late and I was unhappy.,Product Quality,Negative,2023-09-30
4755342,238520071,77320193,2,Delivery was late and I was unhappy.,Product Quality,Negative,2024-02-20
8051225,5812379362,46504355,4,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2023-08-05
7506282,2616623847,49915498,3,"It was okay, nothing special.",Delivery,Neutral,2024-01-19
683291,2040854480,40392019,5,Will definitely order again.,Delivery,Positive,2023-12-10
7247315,5456484560,62600289,2,Taste was not as expected.,Delivery,Negative,2024-09-26
4065348,883309006,71229024,4,"It was okay, nothing special.",App Experience,Neutral,2024-04-09
5741563,6528341992,64497538,4,"It was okay, nothing special.",Product Quality,Neutral,2024-01-29
6518834,3263203775,44888581,1,Not worth the price I paid.,Product Quality,Negative,2024-09-28
9298983,3660010934,83577942,1,Not worth the price I paid.,Delivery,Negative,2024-01-31
473292,7944885043,1683786,5,Very happy with the service!,Customer Service,Positive,2024-05-26
4246558,2506369831,1529180,4,"Average experience, could improve.",Delivery,Neutral,2023-06-16
6116226,697061213,91196901,3,The product met my expectations.,Delivery,Neutral,2023-03-25
4431634,7079057004,1507408,3,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2023-09-30
5379697,1556153632,67215939,4,The product met my expectations.,App Experience,Neutral,2024-05-04
8770972,2161235338,38902882,5,Good selection of products.,App Experience,Positive,2024-04-12
5156705,1247978468,97484394,1,The order was incorrect.,Customer Service,Negative,2024-07-19
7404702,5437627061,58505903,4,"Average experience, could improve.",Customer Service,Neutral,2024-08-22
2831845,9091960039,13455530,3,Product was damaged during delivery.,Product Quality,Negative,2024-02-11
2332666,619198317,81906973,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2023-11-20
8562721,9833179291,90372221,3,Taste was not as expected.,App Experience,Negative,2023-05-04
1943750,4148760273,93122847,5,Very happy with the service!,Product Quality,Positive,2024-05-22
207462,7206041763,74694186,4,Very fresh and well-packaged.,Product Quality,Positive,2023-05-30
3150233,690097648,2684440,2,Taste was not as expected.,App Experience,Negative,2023-12-27
2778967,4197061567,52757321,5,Great prices and fast delivery!,Customer Service,Positive,2024-02-04
3748731,2009394836,55056284,5,Customer service was very helpful.,App Experience,Positive,2023-10-24
1796172,277502363,88203688,3,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,2023-12-28
6220082,4356959622,38709137,3,The order was incorrect.,Delivery,Negative,2024-01-16
8509910,174306009,87457446,4,Items were in perfect condition.,Delivery,Positive,2024-08-09
2601837,9582674091,34237583,4,"It was okay, nothing special.",Delivery,Neutral,2024-08-16
3182946,8675579025,44409533,4,"Average experience, could improve.",Delivery,Neutral,2024-07-06
936864,5195999941,52757321,4,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2024-07-19
6375482,5210007923,97507853,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2024-10-01
5904785,6595771960,45700473,2,I had a bad experience.,Delivery,Negative,2023-04-05
8521960,4247338382,34853377,5,Very fresh and well-packaged.,Product Quality,Positive,2023-12-05
7041516,819143326,88324928,4,The product met my expectations.,App Experience,Neutral,2024-01-10
6157435,3830844750,23996221,2,The packaging was poor.,Delivery,Negative,2023-08-06
1247723,1687314172,82425179,4,Good selection of products.,App Experience,Positive,2024-03-13
5700999,6756007265,80850753,4,"Average experience, could improve.",Product Quality,Neutral,2023-07-27
6222962,489762747,19482392,3,Items were missing from my order.,Customer Service,Negative,2024-09-27
3619827,7509195875,42723554,4,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2023-11-26
6486974,2370917070,5763963,1,I had a bad experience.,App Experience,Negative,2023-07-25
8510571,2055388266,119099,4,Good selection of products.,Product Quality,Positive,2023-06-23
7820768,8969304162,43052303,2,The packaging was poor.,Customer Service,Negative,2023-10-12
3379880,5412674107,88111697,4,"It was okay, nothing special.",Product Quality,Neutral,2024-10-06
7036036,1536516619,15631726,4,Items were in perfect condition.,Product Quality,Positive,2023-11-25
7899107,3858907413,89910157,2,The packaging was poor.,Customer Service,Negative,2023-07-27
8194084,4976389251,79478655,4,Customer service was very helpful.,Product Quality,Positive,2023-09-05
1887717,2218319201,40587811,4,"Average experience, could improve.",Customer Service,Neutral,2024-11-01
9010621,6729422433,68159723,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2023-07-19
4669199,1354097448,98687927,4,"Excellent quality, will buy again!",Product Quality,Positive,2023-06-21
5068146,8952275304,81174361,3,Very disappointed with the quality.,App Experience,Negative,2024-08-31
5560971,436603801,54619715,5,Very fresh and well-packaged.,Product Quality,Positive,2023-12-28
1893053,5273875984,9278983,4,Highly recommended!,Customer Service,Positive,2023-05-31
5234515,9290203003,21573815,3,"Average experience, could improve.",Delivery,Neutral,2024-04-01
580986,6240982373,91243571,2,Taste was not as expected.,App Experience,Negative,2023-04-26
8455467,2718348206,5763963,4,"It was okay, nothing special.",Delivery,Neutral,2023-11-08
2007716,4903544026,57331847,4,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2024-05-11
9708237,2827266949,93675757,5,Very happy with the service!,Delivery,Positive,2024-09-17
4227603,4278423074,67708491,4,Highly recommended!,Product Quality,Positive,2023-12-17
654227,645916247,76857266,2,Taste was not as expected.,App Experience,Negative,2023-10-10
7114455,5816647866,81420960,4,"Average experience, could improve.",Product Quality,Neutral,2024-09-26
3148730,7282397914,97825663,3,"Average experience, could improve.",App Experience,Neutral,2024-07-14
4637528,3260611473,12832151,2,The packaging was poor.,Customer Service,Negative,2024-02-06
8730252,8638163868,87718744,2,Items were missing from my order.,Delivery,Negative,2023-06-07
6060670,177850987,51174875,3,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,2023-11-07
4844650,9653859166,32987624,3,Items were missing from my order.,App Experience,Negative,2023-03-16
9745124,9991338690,98444183,1,Taste was not as expected.,Delivery,Negative,2024-07-29
7548113,1714593246,27698051,4,"Average experience, could improve.",App Experience,Neutral,2024-10-20
5623901,9742461226,34095555,4,"It was okay, nothing special.",Customer Service,Neutral,2024-01-01
1033430,3314393477,55170753,3,The product met my expectations.,Product Quality,Neutral,2024-10-26
390761,4188317986,42366724,4,The product met my expectations.,Customer Service,Neutral,2023-03-20
4859714,1646665366,51387106,2,Taste was not as expected.,Delivery,Negative,2024-07-26
7224389,9558804585,82700270,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,2024-03-15
2957775,9047652469,71902700,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,2024-08-05
1861939,2893800377,57892837,4,The product met my expectations.,Delivery,Neutral,2024-03-22
8506288,6139157985,88517890,3,Taste was not as expected.,Product Quality,Negative,2024-02-03
6192529,6029394789,7591711,2,Taste was not as expected.,Product Quality,Negative,2023-04-30
1618838,5874940276,38875754,3,Product was damaged during delivery.,Product Quality,Negative,2024-04-11
4586251,5205211911,57662767,5,"Overall good experience, thank you!",Product Quality,Positive,2024-09-27
4350650,5314758068,48776805,4,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2024-02-03
8477025,484869710,6756256,3,"Delivery was fine, but the product could be better.",App Experience,Neutral,2023-09-09
1952997,9957728938,25915909,4,Items were in perfect condition.,Customer Service,Positive,2024-08-05
3708986,3136056666,57770044,3,Very disappointed with the quality.,Customer Service,Negative,2024-04-29
5606141,4926104391,47206881,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,2023-10-24
9339865,1827844756,16785724,4,Highly recommended!,App Experience,Positive,2023-04-07
4858898,7032037874,57291761,3,"Delivery was fine, but the product could be better.",App Experience,Neutral,2024-06-13
9230966,3779230503,46699982,5,Customer service was very helpful.,App Experience,Positive,2023-07-11
9059940,3473012553,89669139,2,Very disappointed with the quality.,Customer Service,Negative,2024-02-16
3954704,7988504487,8164639,4,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,2024-05-14
5651196,7193792738,84572019,4,"Excellent quality, will buy again!",Delivery,Positive,2024-06-05
7698385,1533583386,35912599,3,Customer service was not helpful.,Product Quality,Negative,2023-08-28
6692319,7750989397,79672044,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-01-07
4807430,4434816229,63292875,4,"It was okay, nothing special.",Delivery,Neutral,2023-09-14
6541743,6896732047,62068277,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2024-04-18
9853363,4740837071,64795608,4,Good selection of products.,Delivery,Positive,2023-11-01
8193270,6649631729,75640174,3,"It was okay, nothing special.",Product Quality,Neutral,2024-09-30
327126,5351526726,75892474,5,Good selection of products.,Delivery,Positive,2023-03-28
6353752,1506082041,11446157,1,Taste was not as expected.,App Experience,Negative,2023-05-04
408309,1023260165,10683250,3,The product met my expectations.,Delivery,Neutral,2024-02-16
9691887,8257032403,17805991,3,"Average experience, could improve.",App Experience,Neutral,2024-09-18
51560,7216524192,72605638,3,Customer service was not helpful.,Customer Service,Negative,2024-09-01
2521458,8619795820,98687927,1,Delivery was late and I was unhappy.,Product Quality,Negative,2024-09-04
8390508,6494708839,25595836,5,"Excellent quality, will buy again!",App Experience,Positive,2023-06-18
913683,9859249765,5039883,4,Highly recommended!,Product Quality,Positive,2024-05-13
1306601,3528020011,33675108,4,Good selection of products.,Customer Service,Positive,2023-11-12
1687980,5937934264,90346920,5,Highly recommended!,App Experience,Positive,2024-09-11
2866024,2976477423,57213543,3,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2023-08-17
5931641,1002438039,85198177,1,The packaging was poor.,Customer Service,Negative,2024-02-17
1605595,2571163022,59345983,4,The product met my expectations.,Product Quality,Neutral,2024-02-06
25577,6850221497,21270783,4,Good selection of products.,Customer Service,Positive,2024-07-21
4258919,4706569127,68016312,5,Items were in perfect condition.,Delivery,Positive,2023-07-27
6630006,8168261752,65903057,4,Customer service was very helpful.,App Experience,Positive,2024-04-22
9003999,5828325906,40587811,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,2023-12-04
9017197,5012271549,73061709,2,Product was damaged during delivery.,App Experience,Negative,2024-09-21
8997814,8110316958,61226835,1,Very disappointed with the quality.,Delivery,Negative,2024-01-30
116173,3190808443,77618011,4,Will definitely order again.,Delivery,Positive,2024-01-10
2204388,7175472728,9551011,3,"It was okay, nothing special.",App Experience,Neutral,2023-09-12
7446356,6011117738,24337950,3,"Average experience, could improve.",Product Quality,Neutral,2024-01-07
4740952,5592928753,46875863,3,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,2024-08-23
7602818,3952040848,31156674,3,Delivery was late and I was unhappy.,Product Quality,Negative,2024-05-09
2703135,7026479520,81994445,3,Items were missing from my order.,Customer Service,Negative,2024-07-17
6772284,6572695161,64197854,3,The packaging was poor.,Delivery,Negative,2024-03-18
1038308,9090769419,66485571,4,Will definitely order again.,Delivery,Positive,2024-09-02
682222,5979489110,22161071,2,Items were missing from my order.,Product Quality,Negative,2023-09-07
505569,964698323,81763298,2,The packaging was poor.,App Experience,Negative,2024-09-30
2483109,2304242664,65815155,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-03-21
9866743,2483843748,26040510,5,Items were in perfect condition.,Customer Service,Positive,2023-05-24
