INVENTORY_DATE,STORE_ID,PRODUCT_ID,OPENING_STOCK,PURCHASES,SALES,CLOSING_STOCK,REGION_ID,SHRINKAGE,REORDER_TRIGGERED
2024-04-28,STR015,PRD0006,944,177,456,665,R5,3.73,0
2024-08-11,STR028,PRD0160,291,129,338,82,R3,0.86,1
2023-01-22,STR019,PRD0091,982,13,401,594,R3,2.53,0
2024-12-15,STR025,PRD0103,185,268,147,306,R4,2.5,0
2024-08-11,STR015,PRD0100,365,297,210,452,R5,4.7,0
2024-04-07,STR022,PRD0145,880,418,325,973,R3,0.8,0
2024-04-14,STR032,PRD0070,335,313,88,560,R2,3.46,0
2023-03-12,STR033,PRD0131,307,312,166,453,R1,4.31,0
2024-06-30,STR008,PRD0155,968,362,487,843,R2,0.19,0
2023-12-03,STR018,PRD0125,308,73,128,253,R5,4.59,0
2024-07-28,STR031,PRD0139,822,299,469,652,R5,3.24,0
2024-02-11,STR033,PRD0018,538,286,168,656,R1,4.94,0
2024-08-25,STR005,PRD0021,734,263,96,901,R1,2.23,0
2023-09-10,STR004,PRD0063,643,140,313,470,R4,4.89,0
2024-03-24,STR028,PRD0008,851,136,320,667,R3,2.12,0
2023-07-09,STR042,PRD0116,126,175,255,46,R3,2.75,1
2023-05-07,STR020,PRD0120,946,417,493,870,R3,4.36,0
2024-03-10,STR004,PRD0090,257,242,77,422,R4,2.02,0
2024-04-07,STR020,PRD0090,923,139,210,852,R3,3.98,0
2024-10-13,STR036,PRD0106,688,431,53,1066,R3,0.96,0
2023-05-14,STR020,PRD0035,391,253,458,186,R3,4.58,0
2023-10-22,STR049,PRD0083,701,473,243,931,R3,3.88,0
2023-02-12,STR018,PRD0110,528,247,303,472,R5,1.46,0
2024-08-18,STR032,PRD0137,516,243,302,457,R2,0.01,0
2023-01-01,STR030,PRD0122,237,275,153,359,R5,4.4,0
2024-04-14,STR028,PRD0149,692,287,541,438,R3,1.87,0
2024-08-25,STR037,PRD0037,176,3,64,115,R1,2.48,0
2024-05-26,STR050,PRD0111,469,337,464,342,R2,2.78,0
2024-06-30,STR044,PRD0045,302,402,534,170,R5,3.4,0
2024-06-30,STR044,PRD0156,279,137,92,324,R5,4.62,0
2023-01-15,STR003,PRD0142,887,432,204,1115,R3,4.13,0
2023-11-19,STR022,PRD0049,814,201,223,792,R3,4.77,0
2024-08-11,STR017,PRD0043,113,364,107,370,R2,1.86,0
2024-09-22,STR025,PRD0021,321,85,150,256,R4,2.11,0
2024-04-21,STR018,PRD0002,700,495,111,1084,R5,3.57,0
2024-11-10,STR004,PRD0069,605,69,281,393,R4,1.33,0
2024-06-23,STR036,PRD0138,375,206,495,86,R3,3.13,1
2023-10-01,STR002,PRD0089,141,303,304,140,R2,0.69,0
2023-10-08,STR017,PRD0148,355,47,263,139,R2,4.21,0
2024-09-22,STR009,PRD0060,547,69,328,288,R5,3.86,0
2024-12-08,STR038,PRD0060,229,340,109,460,R3,4.44,0
2024-06-16,STR012,PRD0068,630,267,39,858,R4,1.17,0
2023-01-22,STR018,PRD0125,642,464,405,701,R5,0.47,0
2024-07-07,STR023,PRD0045,368,423,274,517,R5,3.03,0
2023-02-05,STR044,PRD0154,142,347,422,67,R5,1.83,1
2023-12-17,STR026,PRD0043,832,441,591,682,R3,3.61,0
2024-05-26,STR002,PRD0055,421,359,35,745,R2,4.03,0
2024-02-11,STR049,PRD0144,380,374,266,488,R3,2.14,0
2023-12-31,STR030,PRD0011,645,263,70,838,R5,2.06,0
2024-08-18,STR033,PRD0018,827,136,446,517,R1,2.82,0
2023-11-26,STR041,PRD0077,701,85,596,190,R5,0.57,0
2023-03-19,STR034,PRD0043,785,330,80,1035,R4,4.52,0
2023-07-02,STR034,PRD0109,388,142,461,69,R4,1.55,1
2024-08-18,STR045,PRD0052,152,55,63,144,R4,3.78,0
2023-10-15,STR035,PRD0082,464,214,347,331,R5,1.09,0
2023-10-01,STR008,PRD0022,952,139,571,520,R2,1.05,0
2023-09-10,STR003,PRD0094,386,478,220,644,R3,2.62,0
2023-07-16,STR044,PRD0107,748,272,298,722,R5,2.37,0
2023-05-07,STR040,PRD0072,258,300,303,255,R2,3.85,0
2024-05-19,STR040,PRD0098,287,173,46,414,R2,0.01,0
2023-04-23,STR024,PRD0140,116,371,5,482,R5,2.97,0
2024-05-19,STR011,PRD0050,449,113,431,131,R4,4.99,0
2024-06-30,STR011,PRD0130,176,497,234,439,R4,2.01,0
2024-09-01,STR049,PRD0135,138,372,299,211,R3,2.64,0
2024-12-01,STR048,PRD0119,723,490,293,920,R2,4.81,0
2023-04-23,STR044,PRD0147,489,341,533,297,R5,3.13,0
2023-09-03,STR031,PRD0108,914,104,362,656,R5,4.88,0
2024-02-04,STR005,PRD0100,427,169,5,591,R1,4.02,0
2024-06-09,STR008,PRD0090,670,179,74,775,R2,0.99,0
2024-03-10,STR012,PRD0134,610,178,289,499,R4,0.77,0
2024-04-28,STR047,PRD0040,100,97,142,55,R2,4.27,1
2024-06-23,STR036,PRD0020,670,339,353,656,R3,2.97,0
2024-02-18,STR031,PRD0141,168,32,15,185,R5,4.68,0
2023-02-26,STR023,PRD0088,778,437,18,1197,R5,4.92,0
2024-10-20,STR017,PRD0031,433,112,237,308,R2,1.59,0
2023-01-01,STR033,PRD0135,730,313,273,770,R1,0.73,0
2023-02-05,STR005,PRD0099,477,94,264,307,R1,0.96,0
2023-04-30,STR050,PRD0068,458,322,184,596,R2,0.61,0
2023-04-23,STR008,PRD0136,478,261,118,621,R2,4.94,0
2024-12-15,STR002,PRD0074,194,465,152,507,R2,2.7,0
2023-12-24,STR029,PRD0136,846,38,120,764,R2,2.04,0
2024-01-14,STR028,PRD0105,922,144,540,526,R3,3.31,0
2023-05-14,STR006,PRD0157,494,204,180,518,R2,3.21,0
2023-10-15,STR020,PRD0017,816,261,109,968,R3,1.25,0
2023-06-11,STR013,PRD0086,432,454,570,316,R2,1.65,0
2024-05-12,STR015,PRD0062,863,414,148,1129,R5,4.56,0
2024-01-21,STR008,PRD0136,479,159,433,205,R2,0.26,0
2023-08-06,STR038,PRD0035,217,149,155,211,R3,3.39,0
2024-09-08,STR039,PRD0068,450,228,448,230,R5,1.28,0
2023-11-12,STR040,PRD0083,233,383,4,612,R2,1.05,0
2023-04-30,STR008,PRD0093,411,228,161,478,R2,4.35,0
2024-07-28,STR039,PRD0005,354,263,244,373,R5,0.49,0
2023-12-03,STR013,PRD0012,156,11,160,7,R2,3.96,1
2023-07-09,STR013,PRD0034,261,112,311,62,R2,3.39,1
2023-05-21,STR026,PRD0034,738,402,532,608,R3,0.47,0
2023-07-30,STR031,PRD0009,234,32,144,122,R5,4.18,0
2023-02-19,STR032,PRD0106,953,142,502,593,R2,4.05,0
2023-07-09,STR009,PRD0088,448,480,176,752,R5,1.21,0
2024-07-07,STR034,PRD0066,243,31,100,174,R4,0.21,0
2024-02-25,STR025,PRD0099,379,302,388,293,R4,4.6,0
2024-09-01,STR024,PRD0065,932,448,184,1196,R5,3.52,0
2024-12-01,STR050,PRD0094,725,207,402,530,R2,0.91,0
2023-02-19,STR028,PRD0151,115,45,55,105,R3,2.2,0
2023-07-09,STR034,PRD0076,101,58,102,57,R4,0.95,1
2024-05-05,STR015,PRD0135,934,472,430,976,R5,4.87,0
2024-09-29,STR038,PRD0021,228,448,139,537,R3,3.67,0
2024-01-07,STR021,PRD0086,936,395,480,851,R3,1.61,0
2024-01-14,STR020,PRD0046,872,233,379,726,R3,4.74,0
2024-06-30,STR040,PRD0063,973,357,395,935,R2,1.76,0
2024-10-13,STR036,PRD0153,182,183,106,259,R3,1.07,0
2024-12-15,STR001,PRD0139,795,488,531,752,R2,3.3,0
2024-01-21,STR004,PRD0148,333,429,30,732,R4,4.59,0
2024-05-19,STR019,PRD0128,325,159,464,20,R3,0.26,1
2023-03-26,STR048,PRD0023,743,452,297,898,R2,3.42,0
2023-12-17,STR021,PRD0119,305,464,585,184,R3,1.43,0
2023-12-17,STR022,PRD0116,625,409,220,814,R3,3.81,0
2023-11-12,STR018,PRD0158,712,239,221,730,R5,2.73,0
2024-07-07,STR017,PRD0018,103,4,42,65,R2,1.95,1
2023-03-19,STR028,PRD0093,682,212,367,527,R3,3.57,0
2023-07-09,STR016,PRD0098,150,314,337,127,R2,3.53,0
2023-04-30,STR002,PRD0030,607,264,441,430,R2,3.18,0
2024-04-14,STR039,PRD0122,610,439,235,814,R5,4.95,0
2024-09-15,STR037,PRD0006,532,15,43,504,R1,3.21,0
2023-10-15,STR047,PRD0129,953,417,419,951,R2,0.09,0
2024-01-28,STR014,PRD0069,879,372,389,862,R5,2.44,0
2023-02-26,STR035,PRD0103,894,206,456,644,R5,0.45,0
2023-07-02,STR019,PRD0145,822,62,466,418,R3,0.58,0
2024-10-27,STR006,PRD0088,832,130,24,938,R2,4.11,0
2023-07-09,STR001,PRD0061,936,277,449,764,R2,2.18,0
2024-05-12,STR015,PRD0067,468,316,224,560,R5,2.2,0
2023-12-24,STR031,PRD0106,236,25,254,7,R5,4.02,1
2024-03-31,STR026,PRD0045,399,406,262,543,R3,0.02,0
2024-09-15,STR018,PRD0046,363,473,515,321,R5,0.93,0
2024-09-22,STR036,PRD0067,715,359,399,675,R3,0.44,0
2024-12-08,STR004,PRD0125,307,182,225,264,R4,2.02,0
2023-01-01,STR029,PRD0086,249,27,233,43,R2,2.69,1
2023-10-22,STR021,PRD0106,437,22,39,420,R3,1.06,0
2023-10-15,STR025,PRD0105,172,329,4,497,R4,0.0,0
2024-05-26,STR027,PRD0088,535,16,533,18,R1,0.25,1
2023-06-18,STR008,PRD0107,641,438,487,592,R2,2.21,0
2024-12-22,STR023,PRD0094,163,128,201,90,R5,4.42,1
2023-12-17,STR040,PRD0129,777,418,533,662,R2,2.42,0
2023-07-09,STR046,PRD0124,494,190,558,126,R3,3.71,0
2024-04-28,STR023,PRD0049,566,204,581,189,R5,4.9,0
2023-04-16,STR041,PRD0129,117,14,130,1,R5,0.34,1
2023-11-12,STR015,PRD0006,493,319,116,696,R5,3.73,0
2024-11-10,STR014,PRD0118,300,319,139,480,R5,1.08,0
2023-02-12,STR010,PRD0117,853,391,316,928,R1,1.35,0
2024-07-07,STR016,PRD0060,926,105,508,523,R2,1.51,0
2023-07-09,STR010,PRD0138,766,475,521,720,R1,4.58,0
2024-04-28,STR038,PRD0025,355,132,10,477,R3,3.3,0
2023-07-02,STR032,PRD0069,693,94,428,359,R2,2.65,0
2024-08-18,STR019,PRD0084,128,455,576,7,R3,4.54,1
2024-12-01,STR041,PRD0143,711,412,395,728,R5,2.18,0
2023-04-30,STR038,PRD0113,978,432,230,1180,R3,4.77,0
2024-02-25,STR016,PRD0093,485,30,5,510,R2,4.66,0
2024-02-04,STR009,PRD0107,423,102,7,518,R5,3.67,0
2024-11-17,STR035,PRD0141,941,477,198,1220,R5,1.69,0
2023-06-25,STR014,PRD0077,228,387,140,475,R5,1.99,0
2024-07-21,STR001,PRD0011,821,378,462,737,R2,2.39,0
2024-01-07,STR050,PRD0101,492,473,441,524,R2,4.9,0
2023-10-22,STR040,PRD0116,718,240,331,627,R2,4.79,0
2023-10-29,STR012,PRD0004,358,408,107,659,R4,1.81,0
2023-07-09,STR011,PRD0123,499,0,311,188,R4,3.03,0
2024-01-14,STR001,PRD0087,289,349,341,297,R2,4.82,0
2024-07-07,STR011,PRD0031,316,151,45,422,R4,3.43,0
2023-05-28,STR018,PRD0008,508,118,296,330,R5,4.37,0
2023-05-21,STR031,PRD0011,757,99,467,389,R5,1.36,0
2023-05-14,STR020,PRD0118,893,147,511,529,R3,3.3,0
2023-12-31,STR032,PRD0067,537,270,233,574,R2,4.32,0
2024-05-26,STR006,PRD0115,454,110,120,444,R2,1.51,0
2023-10-15,STR020,PRD0046,802,164,82,884,R3,3.97,0
2024-08-04,STR013,PRD0142,960,39,128,871,R2,2.25,0
2024-07-07,STR006,PRD0093,974,121,530,565,R2,3.69,0
2024-10-06,STR034,PRD0086,771,137,192,716,R4,1.81,0
2024-05-05,STR047,PRD0051,198,326,362,162,R2,1.3,0
2023-04-02,STR030,PRD0140,346,133,443,36,R5,0.16,1
2024-12-15,STR025,PRD0078,791,285,255,821,R4,3.8,0
2024-09-29,STR044,PRD0028,643,388,454,577,R5,1.99,0
2023-11-12,STR022,PRD0060,893,42,267,668,R3,3.16,0
2023-04-16,STR018,PRD0143,432,237,466,203,R5,1.86,0
2024-07-21,STR047,PRD0127,246,117,75,288,R2,3.42,0
2023-02-05,STR034,PRD0128,924,358,57,1225,R4,2.11,0
2023-02-05,STR017,PRD0078,146,259,242,163,R2,0.91,0
2024-01-28,STR012,PRD0138,254,241,333,162,R4,3.37,0
2023-05-21,STR045,PRD0014,732,437,266,903,R4,1.16,0
2024-07-07,STR001,PRD0133,201,358,201,358,R2,3.2,0
2023-10-01,STR020,PRD0150,224,430,96,558,R3,4.1,0
2023-09-17,STR003,PRD0159,890,394,140,1144,R3,4.36,0
2023-04-23,STR002,PRD0103,865,158,112,911,R2,2.5,0
2024-09-22,STR032,PRD0037,164,160,179,145,R2,2.03,0
2023-04-30,STR037,PRD0075,714,126,560,280,R1,4.0,0
2023-09-24,STR013,PRD0095,960,131,199,892,R2,1.72,0
2023-04-02,STR032,PRD0042,240,474,47,667,R2,4.64,0
2023-11-26,STR010,PRD0032,646,353,530,469,R1,0.57,0
2023-07-16,STR035,PRD0061,152,380,505,27,R5,2.62,1
2024-09-15,STR040,PRD0036,758,382,32,1108,R2,1.8,0
2024-08-18,STR021,PRD0091,158,143,22,279,R3,4.06,0
2023-03-26,STR023,PRD0086,624,447,54,1017,R5,3.73,0
2023-12-17,STR015,PRD0052,338,405,117,626,R5,1.2,0
2023-10-29,STR049,PRD0104,807,422,71,1158,R3,3.12,0
2023-07-02,STR038,PRD0076,349,223,324,248,R3,2.93,0
2023-07-02,STR004,PRD0048,509,37,376,170,R4,1.54,0
2024-04-14,STR030,PRD0147,537,400,300,637,R5,3.39,0
2023-11-26,STR004,PRD0092,905,200,504,601,R4,3.97,0
2024-05-19,STR017,PRD0065,213,123,203,133,R2,0.72,0
2024-11-03,STR031,PRD0088,555,475,239,791,R5,4.41,0
2023-10-08,STR032,PRD0054,271,357,117,511,R2,2.53,0
2024-09-22,STR039,PRD0032,246,223,93,376,R5,2.53,0
2023-07-30,STR033,PRD0032,350,424,329,445,R1,2.08,0
2024-09-29,STR020,PRD0113,875,40,449,466,R3,0.03,0
2024-06-23,STR048,PRD0043,896,4,96,804,R2,2.19,0
2023-01-08,STR014,PRD0081,665,393,212,846,R5,2.96,0
2023-06-25,STR005,PRD0092,741,372,63,1050,R1,1.8,0
2024-04-07,STR002,PRD0114,134,18,114,38,R2,3.22,1
2023-06-18,STR028,PRD0027,373,228,146,455,R3,3.52,0
2023-11-26,STR004,PRD0149,312,46,181,177,R4,4.18,0
2024-04-07,STR008,PRD0085,259,86,167,178,R2,0.83,0
2023-10-01,STR050,PRD0108,292,174,128,338,R2,0.71,0
2023-10-08,STR013,PRD0124,445,202,474,173,R2,2.05,0
2023-07-16,STR032,PRD0090,206,295,470,31,R2,3.78,1
2023-05-14,STR025,PRD0038,943,12,408,547,R4,4.1,0
2023-05-28,STR043,PRD0115,449,385,104,730,R1,4.87,0
2023-08-27,STR027,PRD0043,184,272,276,180,R1,1.6,0
2023-10-08,STR012,PRD0101,818,343,474,687,R4,2.2,0
2023-10-08,STR009,PRD0027,804,394,55,1143,R5,1.74,0
2024-12-22,STR044,PRD0083,142,459,387,214,R5,2.2,0
2024-08-11,STR006,PRD0121,792,335,196,931,R2,1.24,0
2023-06-18,STR021,PRD0088,459,148,208,399,R3,0.56,0
2024-05-26,STR050,PRD0031,422,113,276,259,R2,4.77,0
2024-01-14,STR019,PRD0046,848,349,214,983,R3,0.35,0
2024-04-14,STR006,PRD0073,101,169,152,118,R2,2.62,0
2023-07-02,STR014,PRD0027,432,8,407,33,R5,2.35,1
2024-08-25,STR013,PRD0116,173,105,19,259,R2,0.23,0
2024-12-29,STR045,PRD0029,113,99,153,59,R4,3.82,1
2023-01-01,STR017,PRD0060,834,311,2,1143,R2,0.82,0
2023-08-06,STR039,PRD0085,587,139,62,664,R5,1.12,0
2024-02-11,STR004,PRD0123,622,176,174,624,R4,0.74,0
2024-09-29,STR004,PRD0029,281,114,370,25,R4,3.49,1
2024-05-05,STR011,PRD0066,469,188,102,555,R4,3.0,0
2024-08-18,STR014,PRD0093,866,5,526,345,R5,1.97,0
2023-12-17,STR045,PRD0098,161,159,224,96,R4,3.73,1
2023-07-30,STR037,PRD0141,509,219,150,578,R1,2.91,0
2024-12-08,STR034,PRD0068,640,65,120,585,R4,2.17,0
2023-01-01,STR025,PRD0079,779,427,559,647,R4,2.78,0
2024-12-29,STR041,PRD0157,672,27,259,440,R5,2.18,0
2024-09-29,STR037,PRD0123,740,294,320,714,R1,3.52,0
2024-07-14,STR046,PRD0060,684,445,233,896,R3,4.95,0
2024-07-14,STR038,PRD0053,382,221,380,223,R3,2.52,0
2023-04-23,STR019,PRD0010,111,432,283,260,R3,0.21,0
2024-01-21,STR025,PRD0058,143,500,499,144,R4,0.61,0
2024-01-28,STR043,PRD0041,788,281,116,953,R1,1.08,0
2024-11-17,STR015,PRD0007,536,22,375,183,R5,1.27,0
2023-07-02,STR027,PRD0071,438,198,426,210,R1,3.82,0
2024-12-15,STR016,PRD0059,784,445,559,670,R2,1.68,0
2024-07-28,STR027,PRD0015,472,96,416,152,R1,2.86,0
2024-05-26,STR007,PRD0050,167,375,239,303,R5,0.44,0
2024-10-06,STR002,PRD0140,1000,460,155,1305,R2,0.22,0
2024-08-25,STR008,PRD0135,763,322,289,796,R2,1.8,0
2023-11-05,STR019,PRD0109,493,361,88,766,R3,4.64,0
2023-01-29,STR032,PRD0099,836,432,455,813,R2,3.4,0
2023-01-01,STR044,PRD0092,893,229,527,595,R5,2.07,0
2024-02-18,STR036,PRD0039,106,45,26,125,R3,4.21,0
2023-10-08,STR023,PRD0086,773,84,463,394,R5,4.31,0
2024-12-22,STR039,PRD0006,343,225,487,81,R5,2.73,1
2024-12-01,STR041,PRD0158,690,76,405,361,R5,4.29,0
2023-06-18,STR044,PRD0048,309,185,327,167,R5,4.9,0
2024-12-08,STR032,PRD0156,150,213,12,351,R2,4.14,0
2023-08-27,STR004,PRD0043,429,83,404,108,R4,2.27,0
2023-06-18,STR034,PRD0023,381,105,418,68,R4,1.97,1
2024-03-03,STR038,PRD0153,843,285,61,1067,R3,0.61,0
2023-08-20,STR015,PRD0143,950,385,262,1073,R5,2.33,0
2024-03-03,STR028,PRD0044,520,161,252,429,R3,2.17,0
2023-10-29,STR040,PRD0151,842,150,468,524,R2,4.95,0
2024-10-06,STR043,PRD0124,705,415,597,523,R1,1.43,0
2024-01-14,STR003,PRD0149,870,460,72,1258,R3,4.88,0
2023-10-15,STR042,PRD0102,303,488,277,514,R3,4.68,0
2023-09-17,STR041,PRD0035,689,248,85,852,R5,0.15,0
2023-12-10,STR034,PRD0142,825,176,472,529,R4,4.32,0
2023-05-21,STR019,PRD0145,277,251,20,508,R3,4.26,0
2024-03-03,STR023,PRD0026,490,219,350,359,R5,2.01,0
2023-01-15,STR007,PRD0105,776,295,234,837,R5,0.8,0
2024-08-25,STR047,PRD0088,313,401,357,357,R2,1.38,0
2023-09-17,STR001,PRD0062,892,277,53,1116,R2,1.06,0
2024-10-13,STR026,PRD0031,912,339,448,803,R3,1.22,0
2023-04-02,STR031,PRD0082,185,491,26,650,R5,1.35,0
2024-11-24,STR049,PRD0079,324,384,122,586,R3,0.35,0
2024-12-01,STR017,PRD0036,650,22,327,345,R2,2.21,0
2024-11-24,STR034,PRD0019,987,172,267,892,R4,1.13,0
2023-12-03,STR034,PRD0106,409,493,439,463,R4,1.37,0
2024-04-21,STR039,PRD0137,177,74,226,25,R5,1.0,1
2023-01-29,STR044,PRD0048,231,196,159,268,R5,1.4,0
2023-02-05,STR035,PRD0005,920,148,463,605,R5,2.39,0
2024-12-29,STR041,PRD0056,243,306,54,495,R5,3.59,0
2023-09-10,STR006,PRD0099,367,231,377,221,R2,1.42,0
2024-04-21,STR034,PRD0016,678,224,181,721,R4,0.57,0
2023-09-17,STR031,PRD0073,589,456,428,617,R5,3.48,0
2024-11-17,STR044,PRD0155,869,37,182,724,R5,3.36,0
2023-04-16,STR035,PRD0120,962,264,251,975,R5,0.14,0
2024-01-07,STR008,PRD0032,739,473,47,1165,R2,0.39,0
2023-10-15,STR041,PRD0015,479,448,302,625,R5,1.85,0
2023-02-26,STR030,PRD0084,143,16,59,100,R5,4.55,0
2023-07-30,STR004,PRD0133,840,213,302,751,R4,4.93,0
2024-12-01,STR001,PRD0124,659,367,400,626,R2,1.38,0
2023-03-05,STR013,PRD0045,636,216,344,508,R2,4.59,0
2024-08-04,STR015,PRD0069,569,448,314,703,R5,4.92,0
2023-01-22,STR005,PRD0109,103,351,313,141,R1,1.31,0
2023-01-01,STR039,PRD0011,769,153,267,655,R5,0.56,0
2024-04-07,STR028,PRD0027,656,114,57,713,R3,4.43,0
2023-10-29,STR033,PRD0096,648,165,516,297,R1,2.87,0
2023-09-24,STR008,PRD0076,188,341,371,158,R2,3.59,0
2023-04-23,STR027,PRD0072,659,125,34,750,R1,4.94,0
2024-02-04,STR013,PRD0065,290,219,496,13,R2,1.11,1
2023-10-22,STR007,PRD0090,757,479,164,1072,R5,4.0,0
2023-04-23,STR017,PRD0076,544,138,222,460,R2,3.08,0
2023-04-23,STR021,PRD0149,871,259,121,1009,R3,3.67,0
2023-09-03,STR048,PRD0029,476,417,304,589,R2,1.07,0
2023-12-17,STR001,PRD0144,175,71,221,25,R2,3.1,1
2023-10-29,STR036,PRD0140,546,179,579,146,R3,1.91,0
2023-04-16,STR034,PRD0088,536,466,362,640,R4,0.04,0
2023-10-22,STR020,PRD0030,104,59,144,19,R3,2.11,1
2023-04-23,STR044,PRD0053,963,52,432,583,R5,3.08,0
2024-05-19,STR019,PRD0149,906,423,243,1086,R3,3.25,0
2023-12-31,STR046,PRD0115,674,218,96,796,R3,0.98,0
2023-11-26,STR010,PRD0018,983,11,521,473,R1,3.89,0
2024-04-21,STR015,PRD0075,284,6,286,4,R5,3.63,1
2023-12-17,STR043,PRD0033,888,137,255,770,R1,3.61,0
2023-01-22,STR010,PRD0109,210,236,310,136,R1,4.99,0
2023-08-13,STR020,PRD0042,191,149,252,88,R3,2.11,1
2023-09-17,STR047,PRD0084,430,432,203,659,R2,0.44,0
2024-03-17,STR035,PRD0106,240,256,302,194,R5,2.51,0
2024-04-14,STR011,PRD0131,823,221,297,747,R4,1.14,0
2023-07-09,STR027,PRD0015,237,368,233,372,R1,4.38,0
2024-12-01,STR023,PRD0037,673,43,202,514,R5,2.04,0
2023-03-19,STR012,PRD0096,288,344,289,343,R4,0.43,0
2023-01-08,STR002,PRD0018,287,11,66,232,R2,4.15,0
2023-07-30,STR023,PRD0101,806,320,55,1071,R5,3.84,0
2023-01-22,STR033,PRD0143,580,109,106,583,R1,2.09,0
2024-02-25,STR009,PRD0015,114,100,181,33,R5,2.29,1
2023-10-22,STR046,PRD0063,890,101,467,524,R3,3.21,0
2023-04-23,STR050,PRD0020,629,7,28,608,R2,2.96,0
