RETURN_ID,ORDER_ID,RETURN_DATE,PRODUCT_ID,CUSTOMER_ID,RETURN_REASON,REFUND_AMOUNT,RETURN_STATUS,CHANNEL_ID
RET00057,ORD0007559,2023-04-16,PRD0151,CUS04852,Defective Product,1895.0,Approved,CH02
RET00058,ORD0008811,2024-07-06,PRD0041,CUS00139,Damaged Packaging,25348.7,Approved,CH02
RET00059,ORD0019102,2024-04-11,PRD0123,CUS02074,Defective Product,13729.4,Approved,CH02
RET00060,ORD0004700,2024-01-26,PRD0117,CUS02638,Damaged Packaging,3111.03,Approved,CH02
RET00061,ORD0001688,2023-10-31,PRD0153,CUS03944,Damaged Packaging,1152.53,Approved,CH03
RET00062,ORD0006920,2024-11-25,PRD0062,CUS04584,Damaged Packaging,6872.97,Approved,CH03
RET00063,ORD0015232,2023-12-21,PRD0008,CUS03035,Size/Fit Issue,78405.56,Approved,CH02
RET00064,ORD0004304,2023-10-14,PRD0017,CUS04471,Size/Fit Issue,84412.01,Approved,CH02
RET00065,ORD0002304,2023-10-16,PRD0035,CUS01177,Changed Mind,7562.88,Approved,CH01
RET00066,ORD0016932,2023-12-15,PRD0108,CUS02023,Arrived Late,3710.06,Rejected,CH01
RET00067,ORD0011994,2023-08-19,PRD0120,CUS01002,Wrong Item Delivered,2092.38,Approved,CH03
RET00068,ORD0019346,2023-09-03,PRD0019,CUS01441,Changed Mind,40660.62,Pending,CH02
RET00069,ORD0010868,2023-12-15,PRD0015,CUS03979,Not as Described,95826.03,Approved,CH01
RET00070,ORD0006415,2024-01-21,PRD0093,CUS00107,Defective Product,2085.37,Approved,CH03
RET00071,ORD0010295,2024-04-20,PRD0151,CUS02149,Damaged Packaging,1310.83,Rejected,CH01
RET00072,ORD0019091,2024-09-16,PRD0091,CUS03203,Defective Product,9756.44,Approved,CH02
RET00073,ORD0018224,2023-10-21,PRD0050,CUS00264,Damaged Packaging,26941.62,Approved,CH03
RET00074,ORD0012834,2023-03-23,PRD0078,CUS02063,Size/Fit Issue,17095.65,Approved,CH02
RET00075,ORD0001883,2023-10-14,PRD0030,CUS02399,Changed Mind,19422.61,Pending,CH03
RET00076,ORD0015354,2024-07-08,PRD0059,CUS02253,Changed Mind,15869.13,Pending,CH02
RET00077,ORD0016851,2024-10-10,PRD0109,CUS02835,Damaged Packaging,5697.89,Approved,CH02
RET00078,ORD0001455,2024-02-24,PRD0064,CUS04443,Defective Product,12636.79,Pending,CH01
RET00079,ORD0001301,2023-05-14,PRD0146,CUS01922,Wrong Item Delivered,130.56,Approved,CH02
RET00080,ORD0011860,2024-02-25,PRD0078,CUS02879,Not as Described,26838.22,Pending,CH02
RET00081,ORD0001685,2024-11-25,PRD0124,CUS00394,Damaged Packaging,13115.49,Approved,CH01
RET00082,ORD0015432,2023-10-13,PRD0121,CUS04762,Defective Product,10289.81,Approved,CH03
RET00083,ORD0006558,2023-04-05,PRD0077,CUS04461,Changed Mind,9947.27,Pending,CH02
RET00084,ORD0000378,2023-08-27,PRD0124,CUS04487,Changed Mind,14417.35,Approved,CH02
RET00085,ORD0010084,2024-06-13,PRD0059,CUS00551,Not as Described,13994.57,Approved,CH02
RET00086,ORD0016798,2024-07-24,PRD0018,CUS00294,Arrived Late,80150.4,Approved,CH01
RET00087,ORD0019800,2023-08-10,PRD0024,CUS03075,Changed Mind,6388.6,Approved,CH03
RET00088,ORD0018119,2024-02-09,PRD0001,CUS03261,Arrived Late,61773.64,Approved,CH03
RET00089,ORD0009210,2024-10-05,PRD0152,CUS00267,Defective Product,2834.38,Approved,CH02
RET00090,ORD0016927,2024-09-22,PRD0069,CUS01880,Not as Described,6640.75,Approved,CH01
RET00091,ORD0018485,2024-09-12,PRD0133,CUS03445,Defective Product,10888.75,Approved,CH02
RET00092,ORD0016269,2024-01-23,PRD0020,CUS03828,Wrong Item Delivered,34449.73,Rejected,CH02
RET00093,ORD0003769,2024-04-21,PRD0087,CUS03724,Wrong Item Delivered,3409.21,Rejected,CH03
RET00094,ORD0017676,2023-08-10,PRD0073,CUS04817,Wrong Item Delivered,23733.52,Pending,CH03
RET00095,ORD0014105,2024-03-07,PRD0156,CUS04112,Wrong Item Delivered,2608.13,Approved,CH02
RET00096,ORD0017662,2023-05-02,PRD0005,CUS02104,Defective Product,56457.67,Approved,CH01
RET00097,ORD0009366,2024-12-09,PRD0020,CUS02524,Size/Fit Issue,62525.06,Rejected,CH02
RET00098,ORD0002634,2023-11-15,PRD0027,CUS03156,Defective Product,16709.65,Approved,CH01
RET00099,ORD0007833,2024-08-22,PRD0131,CUS03367,Wrong Item Delivered,1237.45,Pending,CH02
RET00100,ORD0014945,2023-05-25,PRD0112,CUS04660,Wrong Item Delivered,192.64,Approved,CH03
RET00101,ORD0013315,2023-04-23,PRD0122,CUS01110,Arrived Late,14936.74,Pending,CH01
RET00102,ORD0011750,2024-06-15,PRD0003,CUS00995,Defective Product,7648.81,Approved,CH03
RET00103,ORD0003928,2024-08-08,PRD0019,CUS00990,Defective Product,62762.81,Approved,CH01
RET00104,ORD0011453,2024-01-01,PRD0090,CUS02058,Wrong Item Delivered,4160.31,Approved,CH03
RET00105,ORD0008127,2024-11-08,PRD0153,CUS04903,Defective Product,2112.54,Pending,CH01
RET00106,ORD0018192,2023-01-20,PRD0101,CUS00334,Size/Fit Issue,604.15,Approved,CH01
RET00107,ORD0007107,2023-10-24,PRD0139,CUS02882,Changed Mind,9310.8,Approved,CH02
RET00108,ORD0010996,2023-03-01,PRD0107,CUS02797,Not as Described,756.38,Approved,CH01
RET00109,ORD0004292,2023-05-04,PRD0031,CUS02623,Defective Product,13632.78,Approved,CH02
RET00110,ORD0013521,2023-10-26,PRD0003,CUS00329,Arrived Late,55831.32,Approved,CH03
RET00111,ORD0008469,2024-11-07,PRD0020,CUS04079,Wrong Item Delivered,60135.04,Pending,CH02
RET00112,ORD0003800,2023-04-02,PRD0035,CUS00254,Defective Product,15378.74,Approved,CH01
RET00113,ORD0015454,2023-07-27,PRD0101,CUS02318,Defective Product,1655.16,Approved,CH01
RET00114,ORD0007146,2024-12-30,PRD0021,CUS00186,Wrong Item Delivered,6398.5,Approved,CH01
RET00115,ORD0007647,2024-02-17,PRD0079,CUS01961,Changed Mind,19265.4,Pending,CH03
RET00116,ORD0002453,2023-09-02,PRD0130,CUS03392,Arrived Late,4004.87,Rejected,CH02
RET00117,ORD0014111,2024-12-12,PRD0003,CUS01230,Arrived Late,19016.04,Approved,CH02
RET00118,ORD0018105,2023-05-26,PRD0124,CUS03445,Arrived Late,13410.85,Approved,CH01
RET00119,ORD0004879,2023-06-22,PRD0102,CUS00718,Damaged Packaging,2511.41,Approved,CH02
RET00120,ORD0018181,2024-06-14,PRD0035,CUS02284,Not as Described,21678.45,Approved,CH02
RET00121,ORD0016286,2024-04-24,PRD0134,CUS04333,Changed Mind,1798.51,Pending,CH01
RET00122,ORD0008838,2023-07-14,PRD0121,CUS00044,Size/Fit Issue,7108.17,Rejected,CH01
RET00123,ORD0009510,2024-03-14,PRD0005,CUS00743,Changed Mind,41723.68,Approved,CH02
RET00124,ORD0012071,2023-10-02,PRD0006,CUS00812,Size/Fit Issue,71145.67,Approved,CH01
RET00125,ORD0007541,2024-04-05,PRD0038,CUS03371,Arrived Late,3375.07,Approved,CH01
RET00126,ORD0007606,2023-02-14,PRD0147,CUS03748,Wrong Item Delivered,314.98,Approved,CH03
RET00127,ORD0018274,2023-04-04,PRD0004,CUS02473,Wrong Item Delivered,41047.2,Pending,CH03
RET00128,ORD0007355,2023-08-22,PRD0019,CUS00023,Changed Mind,61260.49,Approved,CH01
RET00129,ORD0007089,2023-10-17,PRD0158,CUS02242,Changed Mind,734.46,Approved,CH02
RET00130,ORD0019453,2024-11-02,PRD0028,CUS00207,Changed Mind,12588.94,Pending,CH01
RET00131,ORD0008158,2024-09-14,PRD0142,CUS04611,Changed Mind,245.98,Approved,CH01
RET00132,ORD0012047,2023-06-20,PRD0047,CUS01356,Size/Fit Issue,44276.28,Approved,CH03
RET00133,ORD0015022,2024-04-02,PRD0107,CUS01967,Not as Described,4471.94,Approved,CH03
RET00134,ORD0005899,2024-12-21,PRD0069,CUS00866,Size/Fit Issue,10254.16,Approved,CH02
RET00135,ORD0014501,2024-07-15,PRD0015,CUS01968,Not as Described,96289.61,Approved,CH03
RET00136,ORD0018875,2023-11-05,PRD0074,CUS01859,Changed Mind,31319.81,Pending,CH03
RET00137,ORD0010697,2024-01-02,PRD0077,CUS03156,Arrived Late,2919.6,Approved,CH03
RET00138,ORD0008007,2024-10-28,PRD0134,CUS03882,Arrived Late,3075.68,Pending,CH01
RET00139,ORD0002720,2023-05-04,PRD0061,CUS03323,Damaged Packaging,2779.59,Pending,CH03
RET00140,ORD0014205,2024-06-30,PRD0015,CUS00602,Defective Product,161142.7,Approved,CH03
RET00141,ORD0018318,2024-07-24,PRD0117,CUS01518,Defective Product,7586.87,Approved,CH02
RET00142,ORD0004327,2024-03-09,PRD0097,CUS04595,Defective Product,2191.66,Approved,CH03
RET00143,ORD0008734,2024-12-18,PRD0123,CUS00505,Not as Described,12284.7,Approved,CH01
RET00144,ORD0006069,2024-06-28,PRD0059,CUS01797,Wrong Item Delivered,10214.27,Pending,CH01
RET00145,ORD0015555,2023-09-12,PRD0065,CUS01227,Wrong Item Delivered,15359.92,Approved,CH03
RET00146,ORD0019536,2023-12-12,PRD0060,CUS00752,Not as Described,13740.3,Approved,CH02
RET00147,ORD0015249,2024-01-07,PRD0006,CUS00796,Size/Fit Issue,186526.98,Approved,CH03
RET00148,ORD0001600,2024-05-31,PRD0114,CUS04589,Arrived Late,2430.89,Approved,CH01
RET00149,ORD0003790,2023-04-23,PRD0060,CUS04545,Arrived Late,1983.1,Approved,CH03
RET00150,ORD0004369,2023-03-19,PRD0085,CUS00860,Changed Mind,5817.19,Approved,CH01
RET00151,ORD0019423,2023-04-04,PRD0007,CUS04441,Not as Described,21160.52,Approved,CH03
RET00152,ORD0011696,2024-08-31,PRD0004,CUS02508,Changed Mind,31094.43,Approved,CH02
RET00153,ORD0000691,2023-07-10,PRD0144,CUS00922,Size/Fit Issue,2279.09,Approved,CH03
RET00154,ORD0000795,2023-11-28,PRD0112,CUS01008,Size/Fit Issue,1251.07,Pending,CH02
RET00155,ORD0015624,2023-05-18,PRD0075,CUS01807,Arrived Late,21937.62,Approved,CH01
RET00156,ORD0016984,2024-04-09,PRD0065,CUS02478,Size/Fit Issue,2371.01,Approved,CH01
RET00157,ORD0005378,2023-12-05,PRD0103,CUS04403,Damaged Packaging,2130.15,Approved,CH01
RET00158,ORD0013123,2023-04-20,PRD0117,CUS04317,Size/Fit Issue,2045.37,Approved,CH01
RET00159,ORD0003742,2024-02-17,PRD0157,CUS03923,Size/Fit Issue,1990.0,Approved,CH02
RET00160,ORD0017429,2023-07-23,PRD0056,CUS00520,Wrong Item Delivered,44326.36,Approved,CH01
RET00161,ORD0003318,2024-09-02,PRD0038,CUS02368,Changed Mind,16430.09,Approved,CH03
RET00162,ORD0018321,2023-06-14,PRD0045,CUS00930,Damaged Packaging,4935.72,Pending,CH01
RET00163,ORD0003002,2024-01-28,PRD0003,CUS02310,Damaged Packaging,21874.3,Pending,CH02
RET00164,ORD0003296,2024-03-16,PRD0129,CUS01468,Changed Mind,22018.84,Approved,CH01
RET00165,ORD0003196,2024-12-10,PRD0078,CUS00616,Defective Product,11208.21,Approved,CH03
RET00166,ORD0003095,2024-05-31,PRD0111,CUS04167,Damaged Packaging,2019.08,Approved,CH02
RET00167,ORD0001620,2023-03-30,PRD0050,CUS02316,Size/Fit Issue,4026.16,Approved,CH02
RET00168,ORD0011495,2023-05-10,PRD0081,CUS03501,Changed Mind,7384.08,Approved,CH03
RET00169,ORD0016420,2023-09-26,PRD0053,CUS00658,Damaged Packaging,33342.35,Approved,CH02
RET00170,ORD0016187,2023-05-24,PRD0030,CUS01401,Damaged Packaging,16617.53,Approved,CH01
RET00171,ORD0002769,2023-07-01,PRD0091,CUS03363,Changed Mind,4770.35,Rejected,CH01
RET00172,ORD0018028,2023-06-23,PRD0155,CUS00031,Defective Product,863.6,Approved,CH01
RET00173,ORD0007876,2024-04-26,PRD0054,CUS01904,Changed Mind,25324.2,Pending,CH03
RET00174,ORD0015368,2024-07-14,PRD0067,CUS00738,Wrong Item Delivered,13754.75,Pending,CH03
RET00175,ORD0019638,2024-07-01,PRD0129,CUS02801,Damaged Packaging,2634.5,Approved,CH03
RET00176,ORD0002427,2024-02-10,PRD0051,CUS03336,Not as Described,19721.5,Approved,CH01
RET00177,ORD0009484,2023-03-25,PRD0070,CUS01734,Size/Fit Issue,24064.22,Approved,CH02
RET00178,ORD0012900,2024-07-29,PRD0052,CUS02442,Not as Described,34803.87,Approved,CH02
RET00179,ORD0016928,2023-11-12,PRD0025,CUS02739,Defective Product,15012.31,Approved,CH01
RET00180,ORD0018732,2023-09-26,PRD0056,CUS00695,Damaged Packaging,51432.96,Approved,CH01
RET00181,ORD0016393,2023-12-18,PRD0010,CUS04174,Size/Fit Issue,7371.34,Approved,CH01
RET00182,ORD0014449,2023-11-17,PRD0094,CUS03470,Damaged Packaging,1739.76,Approved,CH03
RET00183,ORD0007751,2023-05-30,PRD0124,CUS04893,Wrong Item Delivered,5563.83,Pending,CH02
RET00184,ORD0010846,2023-07-27,PRD0140,CUS02313,Defective Product,5871.03,Approved,CH01
RET00185,ORD0007854,2023-11-05,PRD0076,CUS01420,Arrived Late,15140.83,Approved,CH03
RET00186,ORD0012397,2023-11-16,PRD0153,CUS03893,Not as Described,1332.46,Approved,CH03
RET00187,ORD0003120,2023-02-01,PRD0124,CUS03422,Changed Mind,31968.31,Rejected,CH03
RET00188,ORD0010167,2024-12-04,PRD0022,CUS03207,Size/Fit Issue,15513.74,Approved,CH01
RET00189,ORD0007296,2024-01-27,PRD0074,CUS04814,Wrong Item Delivered,36779.92,Approved,CH01
RET00190,ORD0014402,2023-12-25,PRD0123,CUS01540,Defective Product,25575.55,Pending,CH01
RET00191,ORD0008705,2023-08-20,PRD0037,CUS00477,Changed Mind,11429.71,Approved,CH01
RET00192,ORD0002632,2023-10-15,PRD0081,CUS02052,Defective Product,3680.78,Approved,CH01
RET00193,ORD0010956,2023-03-05,PRD0075,CUS04493,Changed Mind,9836.59,Approved,CH02
RET00194,ORD0006017,2023-09-29,PRD0095,CUS03718,Arrived Late,8773.44,Approved,CH02
RET00195,ORD0016492,2023-07-26,PRD0112,CUS01913,Defective Product,356.3,Approved,CH01
RET00196,ORD0007864,2023-09-26,PRD0097,CUS00178,Arrived Late,2344.58,Approved,CH02
RET00197,ORD0019795,2023-06-21,PRD0120,CUS03540,Arrived Late,445.83,Approved,CH03
RET00198,ORD0011904,2023-04-05,PRD0143,CUS04513,Damaged Packaging,850.18,Approved,CH01
RET00199,ORD0006096,2024-09-04,PRD0004,CUS00225,Defective Product,62234.05,Approved,CH02
RET00200,ORD0010201,2023-08-14,PRD0106,CUS04525,Damaged Packaging,3123.49,Pending,CH02
RET00201,ORD0013474,2023-04-15,PRD0032,CUS04219,Damaged Packaging,19464.3,Approved,CH01
RET00202,ORD0010967,2023-11-20,PRD0086,CUS04440,Wrong Item Delivered,7913.62,Approved,CH02
RET00203,ORD0003240,2023-03-11,PRD0128,CUS00926,Size/Fit Issue,22268.45,Approved,CH03
RET00204,ORD0014091,2023-04-19,PRD0146,CUS00836,Changed Mind,447.47,Approved,CH03
RET00205,ORD0009476,2023-09-29,PRD0082,CUS02491,Wrong Item Delivered,9389.93,Pending,CH02
RET00206,ORD0001717,2023-07-11,PRD0046,CUS01826,Arrived Late,18538.29,Approved,CH03
RET00207,ORD0016299,2023-04-24,PRD0130,CUS04041,Size/Fit Issue,20076.74,Approved,CH01
RET00208,ORD0000712,2024-10-31,PRD0131,CUS04650,Changed Mind,10723.75,Rejected,CH03
RET00209,ORD0012958,2023-06-15,PRD0158,CUS00397,Size/Fit Issue,686.49,Approved,CH03
RET00210,ORD0011739,2024-11-26,PRD0092,CUS01764,Arrived Late,3442.5,Approved,CH02
RET00211,ORD0013076,2024-09-30,PRD0120,CUS01660,Wrong Item Delivered,1898.69,Approved,CH02
RET00212,ORD0005748,2023-06-05,PRD0085,CUS00937,Wrong Item Delivered,6374.17,Approved,CH03
RET00213,ORD0013303,2024-09-22,PRD0117,CUS01920,Defective Product,1849.52,Approved,CH01
RET00214,ORD0014866,2023-05-11,PRD0157,CUS00274,Damaged Packaging,2931.37,Approved,CH01
RET00215,ORD0004172,2024-07-02,PRD0081,CUS01748,Arrived Late,8609.5,Pending,CH03
RET00216,ORD0008806,2023-09-19,PRD0031,CUS00766,Not as Described,14609.33,Approved,CH01
RET00217,ORD0012878,2023-06-08,PRD0100,CUS01253,Wrong Item Delivered,10108.98,Approved,CH01
RET00218,ORD0006313,2024-07-20,PRD0138,CUS04937,Not as Described,3938.17,Approved,CH02
RET00219,ORD0000177,2023-04-15,PRD0023,CUS00297,Wrong Item Delivered,1802.88,Approved,CH01
RET00220,ORD0003384,2023-09-12,PRD0095,CUS04955,Defective Product,4968.01,Pending,CH03
RET00221,ORD0013719,2024-11-20,PRD0113,CUS00314,Damaged Packaging,271.24,Approved,CH02
RET00222,ORD0004372,2023-02-10,PRD0123,CUS03786,Arrived Late,2402.63,Approved,CH01
RET00223,ORD0004901,2023-10-28,PRD0094,CUS03065,Defective Product,6308.58,Approved,CH01
RET00224,ORD0002039,2023-09-15,PRD0063,CUS03817,Arrived Late,7547.89,Approved,CH02
RET00225,ORD0012547,2023-09-07,PRD0158,CUS02349,Not as Described,322.12,Approved,CH02
RET00226,ORD0017487,2024-03-27,PRD0157,CUS03761,Not as Described,2680.35,Pending,CH02
RET00227,ORD0000271,2024-03-07,PRD0046,CUS01804,Size/Fit Issue,29573.07,Rejected,CH03
RET00228,ORD0015600,2023-10-05,PRD0088,CUS04443,Damaged Packaging,10971.88,Approved,CH02
RET00229,ORD0014427,2024-07-21,PRD0113,CUS04096,Changed Mind,1562.25,Approved,CH01
RET00230,ORD0003734,2023-03-29,PRD0128,CUS03175,Arrived Late,14381.28,Pending,CH03
RET00231,ORD0009125,2024-12-28,PRD0072,CUS03911,Damaged Packaging,8884.56,Approved,CH01
RET00232,ORD0001284,2023-09-08,PRD0034,CUS01965,Arrived Late,11206.4,Approved,CH01
RET00233,ORD0004710,2023-11-19,PRD0104,CUS02138,Arrived Late,4050.63,Pending,CH01
RET00234,ORD0010118,2024-10-05,PRD0007,CUS02816,Arrived Late,86771.93,Approved,CH03
RET00235,ORD0014692,2023-03-14,PRD0020,CUS00546,Arrived Late,60894.25,Approved,CH01
RET00236,ORD0005788,2024-04-01,PRD0154,CUS03796,Not as Described,418.92,Approved,CH01
RET00237,ORD0019962,2024-08-22,PRD0102,CUS02538,Not as Described,667.59,Rejected,CH03
RET00238,ORD0016639,2023-06-21,PRD0075,CUS04566,Defective Product,18665.78,Approved,CH01
RET00239,ORD0015977,2024-05-23,PRD0129,CUS05000,Changed Mind,14136.94,Approved,CH01
RET00240,ORD0006536,2024-10-21,PRD0023,CUS02242,Size/Fit Issue,834.26,Approved,CH01
RET00241,ORD0015837,2023-06-07,PRD0128,CUS01883,Defective Product,4713.68,Approved,CH01
RET00242,ORD0016742,2024-11-22,PRD0054,CUS01460,Size/Fit Issue,20140.34,Rejected,CH03
RET00243,ORD0008207,2023-12-17,PRD0079,CUS01132,Defective Product,21767.75,Approved,CH03
RET00244,ORD0000302,2024-03-31,PRD0153,CUS00440,Arrived Late,1067.3,Approved,CH02
RET00245,ORD0008129,2023-02-02,PRD0037,CUS00467,Not as Described,12498.39,Approved,CH03
RET00246,ORD0004864,2023-12-17,PRD0116,CUS00945,Not as Described,2110.18,Approved,CH03
RET00247,ORD0007531,2024-03-26,PRD0044,CUS01007,Damaged Packaging,43628.91,Rejected,CH03
RET00248,ORD0012978,2024-01-16,PRD0092,CUS03592,Changed Mind,3611.25,Approved,CH01
RET00249,ORD0011101,2023-01-22,PRD0130,CUS00601,Not as Described,8991.66,Approved,CH01
RET00250,ORD0012971,2023-12-26,PRD0103,CUS02260,Damaged Packaging,1417.04,Approved,CH03
RET00251,ORD0017559,2023-06-08,PRD0051,CUS04829,Damaged Packaging,1721.64,Approved,CH02
RET00252,ORD0019509,2024-09-10,PRD0145,CUS02568,Wrong Item Delivered,1538.1,Approved,CH02
RET00253,ORD0000488,2023-03-26,PRD0021,CUS03600,Defective Product,2933.03,Approved,CH03
RET00254,ORD0014482,2023-02-04,PRD0158,CUS00732,Wrong Item Delivered,1609.29,Pending,CH03
RET00255,ORD0000410,2024-05-05,PRD0069,CUS02843,Damaged Packaging,15411.3,Pending,CH01
RET00256,ORD0002456,2024-06-19,PRD0100,CUS00510,Not as Described,3360.47,Approved,CH02
RET00257,ORD0009824,2024-11-05,PRD0100,CUS02267,Changed Mind,5590.25,Approved,CH02
RET00258,ORD0017503,2024-09-24,PRD0132,CUS04579,Arrived Late,18374.94,Pending,CH03
RET00259,ORD0015116,2024-11-05,PRD0010,CUS01373,Defective Product,65084.05,Approved,CH02
RET00260,ORD0008693,2023-11-10,PRD0065,CUS01507,Damaged Packaging,10032.47,Approved,CH02
RET00261,ORD0007557,2024-01-31,PRD0046,CUS04629,Defective Product,41086.78,Pending,CH03
RET00262,ORD0000676,2023-05-25,PRD0092,CUS03387,Defective Product,736.75,Approved,CH01
RET00263,ORD0004379,2023-07-16,PRD0072,CUS03352,Not as Described,1484.01,Pending,CH01
RET00264,ORD0000144,2023-06-02,PRD0081,CUS02517,Not as Described,8279.0,Approved,CH03
RET00265,ORD0013456,2023-02-19,PRD0032,CUS02567,Arrived Late,3555.63,Approved,CH01
RET00266,ORD0017833,2024-06-03,PRD0102,CUS02215,Wrong Item Delivered,4955.62,Approved,CH01
