ORDER_ID,ORDER_DATE,PRODUCT_ID,PRODUCT_NAME,BRAND,CATEGORY,QUANTITY,UNIT_PRICE,DISCOUNT_PCT,TOTAL_SALES,CUSTOMER_ID,STORE_ID,CITY,STATE,REGION_ID,CHANNEL_ID,ORDER_STATUS,PAYMENT_METHOD,DELIVERY_DAYS,RETURN_REASON
ORD0000021,2024-09-30,PRD0117,Zero to One,Oxford,Books,7,812.65,20,4550.84,CUS01364,STR010,Jaipur,Rajasthan,R1,CH01,Delivered,COD,6.0,
ORD0000022,2023-10-15,PRD0069,Football,Puma,Sports,4,3446.71,20,11029.47,CUS00203,STR044,Jaipur,Rajasthan,R5,CH01,Delivered,COD,5.0,
ORD0000023,2023-04-10,PRD0098,Nail Polish Set,Biotique,Beauty,7,894.86,0,6264.02,CUS02858,STR034,Surat,Gujarat,R4,CH01,Pending,Net Banking,,
ORD0000024,2024-09-17,PRD0152,Biscuit Pack,Britannia,Grocery,3,550.48,15,1403.72,CUS04895,STR047,Kochi,Kerala,R2,CH02,Delivered,COD,3.0,
ORD0000025,2024-03-25,PRD0105,The Midnight Library,Bloomsbury,Books,1,468.15,20,374.52,CUS03903,STR036,Surat,Gujarat,R3,CH01,Pending,Net Banking,,
ORD0000026,2024-03-22,PRD0113,The Alchemist,Rupa,Books,10,306.67,10,2760.03,CUS03597,STR030,Mumbai,Maharashtra,R5,CH02,Delivered,Wallet,4.0,
ORD0000027,2024-10-25,PRD0146,Whole Wheat Atta,Britannia,Grocery,3,177.77,15,453.31,CUS03329,STR037,Chennai,Tamil Nadu,R1,CH01,Delivered,Net Banking,10.0,
ORD0000028,2023-08-16,PRD0048,Mixer Grinder,Milton,Home & Kitchen,2,6847.5,0,13695.0,CUS03638,STR048,Bengaluru,Karnataka,R2,CH01,Delivered,Net Banking,4.0,
ORD0000029,2023-12-14,PRD0092,Sunscreen SPF50,Lakme,Beauty,9,573.44,20,4128.77,CUS01066,STR008,Lucknow,Uttar Pradesh,R2,CH02,Delivered,Credit Card,1.0,
ORD0000030,2023-10-16,PRD0105,The Midnight Library,Bloomsbury,Books,5,468.15,5,2223.71,CUS01376,STR035,Kolkata,West Bengal,R5,CH03,Delivered,Credit Card,4.0,
ORD0000031,2023-08-17,PRD0014,Gaming Mouse,Apple,Electronics,10,18605.43,20,148843.44,CUS01767,STR010,Jaipur,Rajasthan,R1,CH01,Cancelled,Debit Card,,
ORD0000032,2023-05-05,PRD0072,Gym Gloves,Adidas,Sports,7,2089.39,0,14625.73,CUS00185,STR025,Chennai,Tamil Nadu,R4,CH03,Pending,Net Banking,,
ORD0000033,2023-09-17,PRD0145,Whole Wheat Atta,MDH,Grocery,1,448.77,15,381.45,CUS01857,STR017,Hyderabad,Telangana,R2,CH02,Shipped,Wallet,3.0,
ORD0000034,2024-10-02,PRD0049,Induction Cooktop,Philips,Home & Kitchen,9,3081.46,15,23573.17,CUS03586,STR022,Surat,Gujarat,R3,CH01,Delivered,Credit Card,10.0,
ORD0000035,2024-03-13,PRD0079,Swimming Goggles,Adidas,Sports,9,2719.15,10,22025.12,CUS01119,STR006,Chandigarh,Punjab,R2,CH03,Delivered,Wallet,1.0,
ORD0000036,2023-10-26,PRD0009,USB-C Hub,Sony,Electronics,5,31713.85,20,126855.4,CUS02171,STR025,Chennai,Tamil Nadu,R4,CH03,Cancelled,COD,,
ORD0000037,2024-09-15,PRD0087,Face Serum,L'Oreal,Beauty,8,888.31,10,6395.83,CUS04356,STR019,Bhopal,Madhya Pradesh,R3,CH02,Delivered,UPI,10.0,
ORD0000038,2023-12-25,PRD0134,Art & Craft Kit,Nerf,Toys,3,906.26,10,2446.9,CUS02097,STR001,Chandigarh,Punjab,R2,CH03,Delivered,Debit Card,3.0,
ORD0000039,2024-04-26,PRD0136,Science Kit,Hasbro,Toys,4,1348.08,15,4583.47,CUS02655,STR001,Chandigarh,Punjab,R2,CH03,Delivered,Debit Card,3.0,
ORD0000040,2023-06-01,PRD0094,Kajal Black,Biotique,Beauty,8,704.13,20,4506.43,CUS00245,STR022,Surat,Gujarat,R3,CH01,Cancelled,Net Banking,,
ORD0000041,2024-10-13,PRD0141,Basmati Rice 5kg,Britannia,Grocery,9,595.74,15,4557.41,CUS03659,STR034,Surat,Gujarat,R4,CH01,Delivered,Credit Card,1.0,
ORD0000042,2024-10-17,PRD0059,Microwave Oven,Cello,Home & Kitchen,3,2852.03,5,8128.29,CUS04835,STR047,Kochi,Kerala,R2,CH02,Delivered,UPI,8.0,
ORD0000043,2024-01-29,PRD0009,USB-C Hub,Sony,Electronics,9,31713.85,15,242610.95,CUS02671,STR006,Chandigarh,Punjab,R2,CH03,Returned,Credit Card,10.0,
ORD0000044,2024-12-07,PRD0034,Track Pants,Levi's,Clothing,10,1174.69,20,9397.52,CUS03867,STR035,Kolkata,West Bengal,R5,CH03,Pending,Credit Card,,
ORD0000045,2023-05-11,PRD0133,Art & Craft Kit,Funskool,Toys,2,1506.81,10,2712.26,CUS01663,STR032,Jaipur,Rajasthan,R2,CH02,Pending,Debit Card,,
ORD0000046,2024-07-03,PRD0146,Whole Wheat Atta,Britannia,Grocery,3,177.77,20,426.65,CUS03349,STR024,Chennai,Tamil Nadu,R5,CH03,Pending,Net Banking,,
ORD0000047,2023-11-01,PRD0148,Assorted Dal,ITC,Grocery,5,432.96,0,2164.8,CUS02538,STR026,Jaipur,Rajasthan,R3,CH02,Delivered,Credit Card,4.0,
ORD0000048,2023-10-09,PRD0047,Mixer Grinder,Prestige,Home & Kitchen,9,6463.55,0,58171.95,CUS04561,STR035,Kolkata,West Bengal,R5,CH03,Delivered,UPI,6.0,
ORD0000049,2024-10-28,PRD0021,Men's T-Shirt,H&M,Clothing,3,1235.71,20,2965.7,CUS00339,STR045,Lucknow,Uttar Pradesh,R4,CH02,Delivered,Debit Card,2.0,
ORD0000050,2024-06-09,PRD0039,Linen Shirt,Levi's,Clothing,3,1651.44,0,4954.32,CUS01206,STR002,Surat,Gujarat,R2,CH02,Delivered,Net Banking,6.0,
ORD0000051,2023-07-09,PRD0077,Cycling Helmet,Cosco,Sports,2,3822.67,15,6498.54,CUS02225,STR024,Chennai,Tamil Nadu,R5,CH03,Delivered,Net Banking,10.0,
ORD0000052,2024-11-16,PRD0036,Casual Shorts,H&M,Clothing,1,908.14,10,817.33,CUS00559,STR043,Ahmedabad,Gujarat,R1,CH01,Delivered,Credit Card,8.0,
ORD0000053,2023-07-29,PRD0082,Lipstick Matte,Biotique,Beauty,2,1599.16,10,2878.49,CUS00147,STR042,Chennai,Tamil Nadu,R3,CH01,Delivered,Wallet,10.0,
ORD0000054,2024-08-15,PRD0115,Sapiens,Bloomsbury,Books,3,541.39,0,1624.17,CUS02260,STR017,Hyderabad,Telangana,R2,CH02,Delivered,Wallet,7.0,
ORD0000055,2023-05-15,PRD0015,Keyboard Mechanical,Samsung,Electronics,6,25773.93,10,139179.22,CUS04380,STR031,Mumbai,Maharashtra,R5,CH01,Shipped,Credit Card,4.0,
ORD0000056,2023-07-03,PRD0004,"Smart TV 43""",Boat,Electronics,9,8296.08,15,63465.01,CUS03052,STR037,Chennai,Tamil Nadu,R1,CH01,Delivered,Credit Card,9.0,
ORD0000057,2024-03-10,PRD0056,Rice Cooker,Cello,Home & Kitchen,1,6383.1,15,5425.64,CUS04382,STR026,Jaipur,Rajasthan,R3,CH02,Delivered,UPI,5.0,
ORD0000058,2024-06-18,PRD0086,Mascara Volume,Lakme,Beauty,3,1773.75,5,5055.19,CUS04870,STR029,Ahmedabad,Gujarat,R2,CH03,Delivered,Net Banking,2.0,
ORD0000059,2024-07-20,PRD0069,Football,Puma,Sports,6,3446.71,20,16544.21,CUS04355,STR048,Bengaluru,Karnataka,R2,CH01,Shipped,COD,8.0,
ORD0000060,2024-07-24,PRD0002,Wireless Earbuds,Samsung,Electronics,1,27800.98,0,27800.98,CUS02990,STR007,Mumbai,Maharashtra,R5,CH02,Delivered,Net Banking,10.0,
ORD0000061,2024-09-08,PRD0124,Remote Control Car,Lego,Toys,1,3578.22,20,2862.58,CUS01084,STR043,Ahmedabad,Gujarat,R1,CH01,Delivered,UPI,10.0,
ORD0000062,2024-05-03,PRD0034,Track Pants,Levi's,Clothing,9,1174.69,5,10043.6,CUS00977,STR003,Hyderabad,Telangana,R3,CH03,Delivered,Wallet,6.0,
ORD0000063,2024-03-03,PRD0033,Track Pants,Zara,Clothing,3,2037.47,20,4889.93,CUS01859,STR016,Surat,Gujarat,R2,CH01,Delivered,UPI,5.0,
ORD0000064,2023-07-14,PRD0148,Assorted Dal,ITC,Grocery,8,432.96,20,2770.94,CUS01620,STR042,Chennai,Tamil Nadu,R3,CH01,Delivered,Credit Card,10.0,
ORD0000065,2024-03-23,PRD0027,Formal Shirt,Zara,Clothing,6,2232.68,10,12056.47,CUS04388,STR022,Surat,Gujarat,R3,CH01,Pending,UPI,,
ORD0000066,2024-01-08,PRD0110,Rich Dad Poor Dad,Penguin,Books,8,914.13,0,7313.04,CUS04951,STR014,Chandigarh,Punjab,R5,CH02,Delivered,Credit Card,1.0,
ORD0000067,2024-01-24,PRD0120,Ikigai,HarperCollins,Books,5,506.43,0,2532.15,CUS03765,STR022,Surat,Gujarat,R3,CH01,Returned,Debit Card,3.0,Not Needed
ORD0000068,2023-01-29,PRD0144,Refined Oil 1L,Amul,Grocery,10,298.6,15,2538.1,CUS01952,STR030,Mumbai,Maharashtra,R5,CH02,Delivered,Credit Card,6.0,
ORD0000069,2024-06-25,PRD0154,Coffee Powder,MDH,Grocery,9,130.08,5,1112.18,CUS04237,STR006,Chandigarh,Punjab,R2,CH03,Shipped,Credit Card,5.0,
ORD0000070,2023-12-11,PRD0148,Assorted Dal,ITC,Grocery,4,432.96,15,1472.06,CUS03683,STR031,Mumbai,Maharashtra,R5,CH01,Shipped,Net Banking,8.0,
ORD0000071,2023-02-09,PRD0044,Electric Kettle,Philips,Home & Kitchen,5,6813.47,5,32363.98,CUS02113,STR049,Ahmedabad,Gujarat,R3,CH02,Shipped,Credit Card,6.0,
ORD0000072,2024-01-07,PRD0078,Cycling Helmet,Adidas,Sports,9,3182.36,15,24345.05,CUS03789,STR040,Kochi,Kerala,R2,CH03,Delivered,Net Banking,6.0,
ORD0000073,2023-03-26,PRD0122,Building Blocks Set,Hasbro,Toys,7,3248.67,10,20466.62,CUS02766,STR008,Lucknow,Uttar Pradesh,R2,CH02,Delivered,COD,1.0,
ORD0000074,2023-05-16,PRD0041,Non-Stick Cookware,Cello,Home & Kitchen,1,3291.52,5,3126.94,CUS04681,STR040,Kochi,Kerala,R2,CH03,Delivered,COD,1.0,
ORD0000075,2024-08-19,PRD0076,Water Bottle,Adidas,Sports,8,3548.45,20,22710.08,CUS02401,STR009,Kochi,Kerala,R5,CH02,Cancelled,UPI,,
ORD0000076,2024-10-26,PRD0008,Laptop Stand,Samsung,Electronics,10,18897.82,10,170080.38,CUS00409,STR047,Kochi,Kerala,R2,CH02,Delivered,UPI,7.0,
ORD0000077,2024-02-29,PRD0091,Sunscreen SPF50,Lakme,Beauty,8,1803.26,15,12262.17,CUS01869,STR031,Mumbai,Maharashtra,R5,CH01,Delivered,Credit Card,7.0,
ORD0000078,2024-04-02,PRD0098,Nail Polish Set,Biotique,Beauty,3,894.86,10,2416.12,CUS01134,STR045,Lucknow,Uttar Pradesh,R4,CH02,Delivered,Credit Card,1.0,
ORD0000079,2023-03-29,PRD0057,Pressure Cooker,Philips,Home & Kitchen,4,8530.97,0,34123.88,CUS04912,STR027,Bengaluru,Karnataka,R1,CH01,Delivered,UPI,5.0,
ORD0000080,2024-10-06,PRD0016,Keyboard Mechanical,Apple,Electronics,3,21367.81,15,54487.92,CUS02721,STR007,Mumbai,Maharashtra,R5,CH02,Delivered,Wallet,2.0,
ORD0000081,2023-12-01,PRD0118,Zero to One,Oxford,Books,7,551.9,10,3476.97,CUS01494,STR012,Chandigarh,Punjab,R4,CH02,Cancelled,Debit Card,,
ORD0000082,2024-01-17,PRD0126,Puzzle 1000pc,Hasbro,Toys,10,2214.69,0,22146.9,CUS03450,STR022,Surat,Gujarat,R3,CH01,Cancelled,Wallet,,
ORD0000083,2024-05-22,PRD0017,Power Bank 20K,Boat,Electronics,3,14088.46,20,33812.3,CUS02179,STR034,Surat,Gujarat,R4,CH01,Pending,Credit Card,,
ORD0000084,2024-09-28,PRD0085,Mascara Volume,Maybelline,Beauty,5,826.89,15,3514.28,CUS04322,STR040,Kochi,Kerala,R2,CH03,Pending,Credit Card,,
ORD0000085,2024-10-19,PRD0041,Non-Stick Cookware,Cello,Home & Kitchen,4,3291.52,10,11849.47,CUS04414,STR037,Chennai,Tamil Nadu,R1,CH01,Shipped,Wallet,7.0,
ORD0000086,2023-03-09,PRD0124,Remote Control Car,Lego,Toys,6,3578.22,5,20395.85,CUS00676,STR031,Mumbai,Maharashtra,R5,CH01,Cancelled,UPI,,
ORD0000087,2023-10-26,PRD0044,Electric Kettle,Philips,Home & Kitchen,3,6813.47,10,18396.37,CUS03534,STR011,Nagpur,Maharashtra,R4,CH03,Delivered,Credit Card,7.0,
ORD0000088,2023-03-30,PRD0084,Foundation SPF30,Maybelline,Beauty,4,1578.5,5,5998.3,CUS00350,STR001,Chandigarh,Punjab,R2,CH03,Shipped,UPI,10.0,
ORD0000089,2023-04-15,PRD0010,USB-C Hub,LG,Electronics,7,9864.01,10,62143.26,CUS00456,STR046,Delhi,Delhi,R3,CH01,Pending,Net Banking,,
ORD0000090,2024-08-15,PRD0018,Power Bank 20K,Samsung,Electronics,5,14371.44,5,68264.34,CUS02554,STR042,Chennai,Tamil Nadu,R3,CH01,Delivered,Net Banking,4.0,
ORD0000091,2024-10-06,PRD0084,Foundation SPF30,Maybelline,Beauty,1,1578.5,10,1420.65,CUS02129,STR021,Kolkata,West Bengal,R3,CH01,Delivered,Credit Card,2.0,
ORD0000092,2024-09-24,PRD0103,Business Analytics,HarperCollins,Books,10,608.94,5,5784.93,CUS04037,STR040,Kochi,Kerala,R2,CH03,Shipped,Wallet,1.0,
ORD0000093,2024-12-14,PRD0111,Deep Work,Rupa,Books,5,375.07,20,1500.28,CUS02980,STR029,Ahmedabad,Gujarat,R2,CH03,Delivered,Credit Card,5.0,
ORD0000094,2024-01-14,PRD0060,Microwave Oven,Philips,Home & Kitchen,7,2229.65,20,12486.04,CUS04707,STR044,Jaipur,Rajasthan,R5,CH01,Delivered,Debit Card,4.0,
ORD0000095,2024-01-06,PRD0152,Biscuit Pack,Britannia,Grocery,3,550.48,20,1321.15,CUS02841,STR012,Chandigarh,Punjab,R4,CH02,Delivered,Wallet,4.0,
ORD0000096,2024-05-23,PRD0086,Mascara Volume,Lakme,Beauty,4,1773.75,20,5676.0,CUS01624,STR030,Mumbai,Maharashtra,R5,CH02,Delivered,Credit Card,4.0,
ORD0000097,2024-09-08,PRD0006,LED Monitor,Samsung,Electronics,5,30264.22,10,136188.99,CUS01905,STR031,Mumbai,Maharashtra,R5,CH01,Delivered,Wallet,4.0,
ORD0000098,2024-11-07,PRD0013,Gaming Mouse,Samsung,Electronics,7,18903.79,10,119093.88,CUS01885,STR012,Chandigarh,Punjab,R4,CH02,Delivered,Credit Card,3.0,
ORD0000099,2023-04-23,PRD0076,Water Bottle,Adidas,Sports,5,3548.45,0,17742.25,CUS03897,STR049,Ahmedabad,Gujarat,R3,CH02,Shipped,COD,6.0,
ORD0000100,2024-05-02,PRD0049,Induction Cooktop,Philips,Home & Kitchen,3,3081.46,0,9244.38,CUS03758,STR046,Delhi,Delhi,R3,CH01,Delivered,Debit Card,1.0,
ORD0000101,2024-12-27,PRD0083,Foundation SPF30,Maybelline,Beauty,1,1961.93,5,1863.83,CUS03275,STR005,Kolkata,West Bengal,R1,CH01,Delivered,Credit Card,6.0,
ORD0000102,2024-03-31,PRD0025,Denim Jeans,H&M,Clothing,2,2500.99,10,4501.78,CUS03994,STR002,Surat,Gujarat,R2,CH02,Cancelled,Debit Card,,
ORD0000103,2024-03-25,PRD0137,Doll House,Hasbro,Toys,10,2170.68,10,19536.12,CUS00444,STR032,Jaipur,Rajasthan,R2,CH02,Shipped,Wallet,1.0,
ORD0000104,2024-11-21,PRD0070,Football,Nike,Sports,5,3671.45,10,16521.53,CUS01248,STR010,Jaipur,Rajasthan,R1,CH01,Delivered,UPI,2.0,
ORD0000105,2024-11-19,PRD0152,Biscuit Pack,Britannia,Grocery,6,550.48,10,2972.59,CUS01281,STR040,Kochi,Kerala,R2,CH03,Cancelled,Credit Card,,
ORD0000106,2023-10-21,PRD0083,Foundation SPF30,Maybelline,Beauty,1,1961.93,15,1667.64,CUS04184,STR015,Bhopal,Madhya Pradesh,R5,CH02,Pending,UPI,,
ORD0000107,2024-08-09,PRD0151,Biscuit Pack,Britannia,Grocery,6,409.92,0,2459.52,CUS02044,STR006,Chandigarh,Punjab,R2,CH03,Delivered,Wallet,4.0,
ORD0000108,2023-07-20,PRD0080,Swimming Goggles,Nike,Sports,2,4595.7,20,7353.12,CUS02081,STR040,Kochi,Kerala,R2,CH03,Shipped,Net Banking,2.0,
ORD0000109,2023-07-04,PRD0086,Mascara Volume,Lakme,Beauty,6,1773.75,10,9578.25,CUS04074,STR045,Lucknow,Uttar Pradesh,R4,CH02,Delivered,UPI,7.0,
ORD0000110,2024-08-03,PRD0111,Deep Work,Rupa,Books,9,375.07,5,3206.85,CUS01423,STR015,Bhopal,Madhya Pradesh,R5,CH02,Returned,Net Banking,4.0,Defective
ORD0000111,2023-01-12,PRD0111,Deep Work,Rupa,Books,3,375.07,0,1125.21,CUS03363,STR008,Lucknow,Uttar Pradesh,R2,CH02,Shipped,COD,6.0,
ORD0000112,2023-08-12,PRD0111,Deep Work,Rupa,Books,3,375.07,0,1125.21,CUS02589,STR016,Surat,Gujarat,R2,CH01,Cancelled,UPI,,
ORD0000113,2023-03-24,PRD0118,Zero to One,Oxford,Books,6,551.9,0,3311.4,CUS00600,STR028,Chennai,Tamil Nadu,R3,CH02,Delivered,UPI,6.0,
ORD0000114,2024-09-16,PRD0156,Tea Leaves,Britannia,Grocery,9,349.09,10,2827.63,CUS03158,STR036,Surat,Gujarat,R3,CH01,Shipped,Net Banking,10.0,
ORD0000115,2024-01-26,PRD0115,Sapiens,Bloomsbury,Books,5,541.39,5,2571.6,CUS00634,STR030,Mumbai,Maharashtra,R5,CH02,Shipped,Wallet,7.0,
ORD0000116,2024-05-30,PRD0007,Laptop Stand,Sony,Electronics,10,12164.38,0,121643.8,CUS00345,STR033,Hyderabad,Telangana,R1,CH02,Delivered,UPI,5.0,
ORD0000117,2024-09-09,PRD0107,Atomic Habits,HarperCollins,Books,1,987.15,5,937.79,CUS00787,STR047,Kochi,Kerala,R2,CH02,Delivered,Net Banking,9.0,
ORD0000118,2023-11-19,PRD0135,Science Kit,Lego,Toys,2,3093.7,20,4949.92,CUS04566,STR033,Hyderabad,Telangana,R1,CH02,Delivered,UPI,5.0,
ORD0000119,2023-02-04,PRD0101,Python for Beginners,Penguin,Books,7,443.1,5,2946.62,CUS00939,STR043,Ahmedabad,Gujarat,R1,CH01,Delivered,UPI,7.0,
ORD0000120,2024-04-25,PRD0131,Action Figure,Lego,Toys,6,1530.47,0,9182.82,CUS04389,STR031,Mumbai,Maharashtra,R5,CH01,Delivered,Wallet,6.0,
ORD0000121,2023-09-18,PRD0108,Atomic Habits,Rupa,Books,6,531.55,0,3189.3,CUS00375,STR039,Delhi,Delhi,R5,CH03,Shipped,Net Banking,6.0,
ORD0000122,2023-03-20,PRD0103,Business Analytics,HarperCollins,Books,9,608.94,5,5206.44,CUS04562,STR049,Ahmedabad,Gujarat,R3,CH02,Delivered,Credit Card,9.0,
ORD0000123,2024-03-19,PRD0009,USB-C Hub,Sony,Electronics,3,31713.85,15,80870.32,CUS03926,STR001,Chandigarh,Punjab,R2,CH03,Delivered,UPI,9.0,
ORD0000124,2024-08-21,PRD0029,Ethnic Saree,H&M,Clothing,8,1688.94,5,12835.94,CUS02379,STR044,Jaipur,Rajasthan,R5,CH01,Shipped,Net Banking,4.0,
ORD0000125,2024-07-18,PRD0091,Sunscreen SPF50,Lakme,Beauty,1,1803.26,15,1532.77,CUS02317,STR027,Bengaluru,Karnataka,R1,CH01,Delivered,Wallet,1.0,
ORD0000126,2023-03-31,PRD0137,Doll House,Hasbro,Toys,7,2170.68,20,12155.81,CUS00408,STR015,Bhopal,Madhya Pradesh,R5,CH02,Delivered,COD,10.0,
ORD0000127,2023-02-14,PRD0150,Amul Butter,Nestle,Grocery,6,540.37,0,3242.22,CUS04667,STR041,Chandigarh,Punjab,R5,CH01,Shipped,Debit Card,5.0,
ORD0000128,2023-07-07,PRD0156,Tea Leaves,Britannia,Grocery,7,349.09,15,2077.09,CUS01675,STR036,Surat,Gujarat,R3,CH01,Cancelled,Debit Card,,
ORD0000129,2023-04-20,PRD0100,BB Cream,Maybelline,Beauty,10,1384.82,0,13848.2,CUS02159,STR031,Mumbai,Maharashtra,R5,CH01,Cancelled,Net Banking,,
ORD0000130,2023-03-16,PRD0135,Science Kit,Lego,Toys,8,3093.7,10,22274.64,CUS03424,STR033,Hyderabad,Telangana,R1,CH02,Delivered,COD,6.0,
ORD0000131,2023-11-16,PRD0126,Puzzle 1000pc,Hasbro,Toys,7,2214.69,10,13952.55,CUS00689,STR007,Mumbai,Maharashtra,R5,CH02,Delivered,UPI,6.0,
ORD0000132,2023-04-02,PRD0156,Tea Leaves,Britannia,Grocery,4,349.09,10,1256.72,CUS03295,STR024,Chennai,Tamil Nadu,R5,CH03,Delivered,UPI,9.0,
ORD0000133,2024-12-04,PRD0013,Gaming Mouse,Samsung,Electronics,4,18903.79,20,60492.13,CUS03596,STR041,Chandigarh,Punjab,R5,CH01,Cancelled,UPI,,
ORD0000134,2024-01-08,PRD0009,USB-C Hub,Sony,Electronics,9,31713.85,10,256882.18,CUS02864,STR009,Kochi,Kerala,R5,CH02,Delivered,Credit Card,4.0,
ORD0000135,2024-12-16,PRD0121,Building Blocks Set,Funskool,Toys,8,1972.8,5,14993.28,CUS03907,STR046,Delhi,Delhi,R3,CH01,Delivered,Credit Card,2.0,
ORD0000136,2023-06-15,PRD0097,Nail Polish Set,Biotique,Beauty,8,902.27,0,7218.16,CUS04565,STR032,Jaipur,Rajasthan,R2,CH02,Delivered,Credit Card,7.0,
ORD0000137,2024-06-20,PRD0028,Formal Shirt,Levi's,Clothing,9,2444.64,15,18701.5,CUS02320,STR024,Chennai,Tamil Nadu,R5,CH03,Shipped,UPI,2.0,
ORD0000138,2023-09-10,PRD0037,Polo T-Shirt,Levi's,Clothing,3,1866.42,10,5039.33,CUS00472,STR017,Hyderabad,Telangana,R2,CH02,Returned,Debit Card,6.0,Not Needed
ORD0000139,2024-11-02,PRD0007,Laptop Stand,Sony,Electronics,6,12164.38,10,65687.65,CUS00474,STR043,Ahmedabad,Gujarat,R1,CH01,Delivered,UPI,9.0,
ORD0000140,2024-04-12,PRD0010,USB-C Hub,LG,Electronics,10,9864.01,20,78912.08,CUS04617,STR043,Ahmedabad,Gujarat,R1,CH01,Pending,COD,,
ORD0000141,2023-07-13,PRD0127,Board Game Family,Funskool,Toys,4,1758.39,20,5626.85,CUS03754,STR026,Jaipur,Rajasthan,R3,CH02,Delivered,Credit Card,5.0,
ORD0000142,2023-03-02,PRD0097,Nail Polish Set,Biotique,Beauty,4,902.27,0,3609.08,CUS03210,STR007,Mumbai,Maharashtra,R5,CH02,Delivered,Debit Card,4.0,
