product_id,product (brand),type,length x depth x width (in cm),category || sub_category
P0057,Butter Milk - Spiced (Nandini),Salts,4 x 22 x 9,"Foodgrains, Oil & Masala || Salt, Sugar & Jaggery"
P0058,Soap Bar - Care (Lifebuoy),Buttermilk & Lassi,3 x 21 x 8,"Bakery, Cakes & Dairy || Dairy"
P0059,Lime Bath Soap - 99.9% Germ Protection (Cinthol),Bathing Bars & Soaps,9.1 x 29.7 x 13.2,Beauty & Hygiene || Bath & Hand Wash
P0060,Fresh Splash Water Lily & Cooling Mint Soap Bar (Lux),Bathing Bars & Soaps,7.5 x 20.5 x 5.4,Beauty & Hygiene || Bath & Hand Wash
P0061,Jasmine Bloom Soap Bar (Lux),Bathing Bars & Soaps,9.3 x 32 x 19.2,Beauty & Hygiene || Bath & Hand Wash
P0062,50-50 Maska Chaska Salted Biscuits (Britannia),Bathing Bars & Soaps,,Beauty & Hygiene || Bath & Hand Wash
P0063,Biscuits - Monaco Salted Snack (Parle),Salted Biscuits,7.5 x 7.5 x 7.5,Snacks & Branded Foods || Biscuits & Cookies
P0064,Biscuits - Googly (Bisk Farm),Salted Biscuits,7 x 10 x 7,Snacks & Branded Foods || Biscuits & Cookies
P0065,Marie Light Oats Biscuits (Sunfeast),Cookies,8.5 x 33 x 32,Snacks & Branded Foods || Biscuits & Cookies
P0066,Marie Light Biscuits - Active (Sunfeast),"Marie, Health, Digestive",0.3 x 15.5 x 8.5,Snacks & Branded Foods || Biscuits & Cookies
P0067,Cheese Cracker (Mcvities),"Marie, Health, Digestive",5.4 x 20.5 x 7.5,Snacks & Branded Foods || Biscuits & Cookies
P0068,Bounce Biscuits - Pineapple Creme (Sunfeast),Salted Biscuits,13 x 9 x 13,Snacks & Branded Foods || Biscuits & Cookies
P0069,Veda Marie Light Biscuits (Sunfeast),Cream Biscuits & Wafers,3 x 12 x 8.5,Snacks & Branded Foods || Biscuits & Cookies
P0070,Thinz - Almond (Bisk Farm),"Marie, Health, Digestive",8.7 x 14 x 8.7,Snacks & Branded Foods || Biscuits & Cookies
P0071,Dream Cream - Choco Vanilla Cream Biscuit - Cookie (Sunfeast),"Marie, Health, Digestive",4.9 x 16.5 x 6.5,Snacks & Branded Foods || Biscuits & Cookies
P0072,Good Day Butter Cookies (Britannia),Cream Biscuits & Wafers,3 x 12 x 12,Snacks & Branded Foods || Biscuits & Cookies
P0073,Bounce Biscuits - Elaichi Creme (Sunfeast),Cookies,2 x 30 x 30,Snacks & Branded Foods || Biscuits & Cookies
P0074,Happy Happy Choco-Chip Cookies (Parle),Cream Biscuits & Wafers,9 x 6 x 9,Snacks & Branded Foods || Biscuits & Cookies
P0075,Top Spin Crackers (Parle),Cookies,6 x 26.7 x 26,Snacks & Branded Foods || Biscuits & Cookies
P0076,Biscuit - Nariyal (Patanjali),Salted Biscuits,2 x 10 x 2,Snacks & Branded Foods || Biscuits & Cookies
P0077,Butter Cookies (Amul),Cookies,3 x 23.5 x 17,Snacks & Branded Foods || Biscuits & Cookies
P0078,Chocos Crunchy Bites (Kelloggs),Cookies,7.5 x 11.5 x 7.5,Snacks & Branded Foods || Biscuits & Cookies
P0079,Chocos - Magic Hearts (Kelloggs),Kids Cereal,2 x 13 x 6,Snacks & Branded Foods || Breakfast Cereals
P0080,Chocos Webs - Spiderman (Kelloggs),Kids Cereal,2 x 24 x 2,Snacks & Branded Foods || Breakfast Cereals
P0082,"Breakfast Cereal - Chocolate Flavour, Small Pack (Nestle Koko Krunch)",Kids Cereal,3.4 x 17.6 x 8.1,Snacks & Branded Foods || Breakfast Cereals
P0083,Fiber Rich Choclaq (Zerobeli),Kids Cereal,2.2 x 7.7 x 10.6,Snacks & Branded Foods || Breakfast Cereals
P0084,Honey Almond Corn Flakes (Zerobeli),Flakes,4 x 14 x 12,Snacks & Branded Foods || Breakfast Cereals
P0085,Centre Filled Cup Cake - with Vanilla Cream (Winkies),Flakes,12 x 26 x 11,Snacks & Branded Foods || Breakfast Cereals
P0086,Strawberry Muffils (Britannia),Muffins & Cup Cakes,39 x 34 x 49,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0087,Centre Filled Chocolate Cake - with Vanilla Cream (Winkies),Tea Cakes & Slice Cakes,2 x 5.7 x 19,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0088,Cake NOVO Finger - Chocolate (Winkies),Tea Cakes & Slice Cakes,18 x 24 x 8,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0089,"Chocolate Roll - Swiss, Mini (Winkies)",Tea Cakes & Slice Cakes,2 x 15 x 8,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0090,Choco Muffills (Britannia),Tea Cakes & Slice Cakes,1 x 5 x 6,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0091,Roll Yo! Choco Swiss Roll (Britannia),Tea Cakes & Slice Cakes,2 x 27 x 21,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0092,Happy Happy Egg Cake - Vanilla (Parle),Tea Cakes & Slice Cakes,6 x 15 x 8,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0093,Spyroll (Bauli),Tea Cakes & Slice Cakes,7 x 18 x 7,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0094,Roll - Swiss Single (Dream Bake),Tea Cakes & Slice Cakes,3.8 x 14.3 x 3.8,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0095,Choco Layer Cake (Britannia),Tea Cakes & Slice Cakes,40 x 100 x 50,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0096,Gems - Sugar Coated Chocolate (Cadbury),Tea Cakes & Slice Cakes,3.4 x 14.5 x 4.4,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0097,Shots (Cadbury Dairy Milk),Chocolates,1 x 19.2 x 9,Snacks & Branded Foods || Chocolates & Candies
P0098,Chewing Gum - Peppermint (Doublemint),Chocolates,4 x 16 x 12.5,Snacks & Branded Foods || Chocolates & Candies
P0099,Xtra Peppermint Flavour - Chewing Gum Stick (Center Fresh),Mints & Chewing Gum,3 x 11.3 x 10,Snacks & Branded Foods || Chocolates & Candies
P0100,Chewing Gum Stick - Fruits Flavour (Center Fruit),Mints & Chewing Gum,2 x 27 x 21,Snacks & Branded Foods || Chocolates & Candies
P0101,Jellicious - Jelimals (Candyman),Mints & Chewing Gum,4.5 x 17.6 x 4.5,Snacks & Branded Foods || Chocolates & Candies
P0102,Breath Mint - The Mint With The Hole (Polo),"Toffee, Candy & Lollypop",7 x 27 x 40,Snacks & Branded Foods || Chocolates & Candies
P0103,White Chocolate Bar (Nestle ),"Toffee, Candy & Lollypop",9 x 30 x 9,Snacks & Branded Foods || Chocolates & Candies
P0104,Sunrise Coffee (Nescafe ),Chocolates,3 x 20 x 11,Snacks & Branded Foods || Chocolates & Candies
P0105,Traditional Filter Coffee Decoction (iD),Instant Coffee,11 x 13 x 16,Beverages || Coffee
P0108,"Coffee - Premix, Instant (Narasus)",Instant Coffee,10 x 25 x 32,Beverages || Coffee
P0109,"Brinjal - Varikatri, Organically Grown (Fresho)",Instant Coffee,7 x 18 x 11,Beverages || Coffee
P0110,Dill Leaves (Fresho),Organic Vegetables,6.2 x 16.8 x 6.2,Fruits & Vegetables || Fresh Vegetables
P0111,Sugarcane (Fresho),Leafy Vegetables,7.8 x 9.5 x 9.4,Fruits & Vegetables || Fresh Vegetables
P0112,Juice - Mango Refresh (Maaza),Seasonal Fruits,17.5 x 9.5 x 24,Fruits & Vegetables || Fresh Fruits
P0113,Coriander Leaves (Fresho),Juices,2 x 17 x 6,Beverages || Fruit Juices & Drinks
P0114,Lemon Grass (Fresho),Indian & Exotic Herbs,2 x 7.5 x 9,Fruits & Vegetables || Herbs & Seasonings
P0115,"Chikki, Peanut Bar (Paper Boat)",Indian & Exotic Herbs,3 x 14 x 5.5,Fruits & Vegetables || Herbs & Seasonings
P0116,Secret Schezwan Fried Rice Masala (Chings),Chikki & Gajjak,0.5 x 14 x 6,Snacks & Branded Foods || Indian Mithai
P0117,Paneer Chilli Masala (Ching'S Secret),Blended Masalas,5 x 10.8 x 5.6,"Foodgrains, Oil & Masala || Masalas & Spices"
P0118,Secret Veg Manchurian Masala (Chings),Blended Masalas,5 x 28 x 16,"Foodgrains, Oil & Masala || Masalas & Spices"
P0119,Masala - Lemon Rice Powder (MTR),Blended Masalas,15 x 15 x 15,"Foodgrains, Oil & Masala || Masalas & Spices"
P0122,Masala - Tomato Rice Powder (MTR),Blended Masalas,5 x 28 x 16,"Foodgrains, Oil & Masala || Masalas & Spices"
P0123,Secret Chowmein Hakka Noodles Masala (Chings),Blended Masalas,5.5 x 22.5 x 19,"Foodgrains, Oil & Masala || Masalas & Spices"
P0124,Lime Bath Soap - 99.9% Germ Protection (Cinthol),Blended Masalas,17 x 24 x 17,"Foodgrains, Oil & Masala || Masalas & Spices"
P0125,Utensil Scrubber - Green (Milton - Spotzero),Bathing Bars & Soaps,2 x 5 x 9,Beauty & Hygiene || Men's Grooming
P0126,Noodles - Fiery Chilli (Top Ramen ),"Utensil Scrub-Pad, Glove",4 x 16 x 5,"Cleaning & Household || Mops, Brushes & Scrubs"
P0127,"Brinjal - Varikatri, Organically Grown (Fresho)",Instant Noodles,10 x 30 x 20,"Snacks & Branded Foods || Noodle, Pasta, Vermicelli"
P0128,Mint - Organically Grown (Fresho),Organic Vegetables,9 x 14 x 9,Fruits & Vegetables || Organic Fruits & Vegetables
P0129,Kale (Fresho),Organic Vegetables,22.2 x 22.2 x 44.4,Fruits & Vegetables || Organic Fruits & Vegetables
P0130,Tulsi Leaves (Fresho),Organic Vegetables,2.5 x 17 x 13,Fruits & Vegetables || Organic Fruits & Vegetables
P0131,Pooja Agarbatti - Treya 3 in 1 (Mangaldeep),Organic Vegetables,1 x 12 x 11,Fruits & Vegetables || Organic Fruits & Vegetables
P0132,"Incense Sticks - Namo Paduka, Scented (GIRI)","Agarbatti, Incense Sticks",5 x 28 x 16,Cleaning & Household || Pooja Needs
P0133,Instant Sweet Corn Cup-A-Soup (Knorr),"Agarbatti, Incense Sticks",9 x 28 x 20,Cleaning & Household || Pooja Needs
P0134,Cup-A-Soup - Hot & Sour Veg (Knorr),Soups,6 x 30 x 10,Snacks & Branded Foods || Ready To Cook & Eat
P0135,Instant Mixed Vegetable Cup-A-Soup (Knorr),Soups,3 x 15 x 55,Snacks & Branded Foods || Ready To Cook & Eat
P0136,Namkeen - Aloo Bhujia (Haldirams ),Soups,3.3 x 25.9 x 8.5,Snacks & Branded Foods || Ready To Cook & Eat
P0137,Namkeen - Bhujia Sev (Haldirams ),Namkeen & Savoury Snacks,23.6 x 24.1 x 8.3,Snacks & Branded Foods || Snacks & Namkeen
P0138,Namkeen - Tasty Nuts (Haldirams ),Namkeen & Savoury Snacks,5 x 47 x 28.5,Snacks & Branded Foods || Snacks & Namkeen
P0139,Potato Chips - Calm Cream & Onion Flavour (Lays),Namkeen & Savoury Snacks,4 x 17 x 11,Snacks & Branded Foods || Snacks & Namkeen
P0140,Namkeen - Lite Chiwda (Haldirams ),Chips & Corn Snacks,2 x 27 x 21,Snacks & Branded Foods || Snacks & Namkeen
P0141,Namkeen - Mixture (Haldirams ),Namkeen & Savoury Snacks,6 x 20 x 12,Snacks & Branded Foods || Snacks & Namkeen
P0142,Nachos Cheese Tortilla Chips (Doritos),Namkeen & Savoury Snacks,7 x 12 x 12,Snacks & Branded Foods || Snacks & Namkeen
P0143,Namkeen - Lemon Bhel (Haldirams ),Chips & Corn Snacks,3 x 26 x 13,Snacks & Branded Foods || Snacks & Namkeen
P0144,Namkeen - Chilli Chatka (Kurkure),Namkeen & Savoury Snacks,4.5 x 21 x 14.3,Snacks & Branded Foods || Snacks & Namkeen
P0145,Namkeen - Madras Mixture (Townbus),Chips & Corn Snacks,4 x 12.5 x 4,Snacks & Branded Foods || Snacks & Namkeen
P0146,Namkeen - Ribbon Pakoda (Townbus),Namkeen & Savoury Snacks,3.6 x 3.5 x 20,Snacks & Branded Foods || Snacks & Namkeen
P0147,Namkeen - Green Chutney Rajasthani Style (Kurkure),Namkeen & Savoury Snacks,12.5 x 37 x 12.5,Snacks & Branded Foods || Snacks & Namkeen
P0148,Sweet Chilli Tortilla Chips (Doritos),Chips & Corn Snacks,6 x 7 x 12.2,Snacks & Branded Foods || Snacks & Namkeen
P0149,Namkeen - Corn Flakes Mixture (Townbus),Chips & Corn Snacks,1.8 x 5.5 x 16.3,Snacks & Branded Foods || Snacks & Namkeen
P0150,Mad Angles Chips - Tomato Madness (Bingo),Namkeen & Savoury Snacks,6 x 14 x 14,Snacks & Branded Foods || Snacks & Namkeen
P0151,Namkeen - Naughty Tomatoes (Kurkure),Chips & Corn Snacks,2 x 15 x 11.5,Snacks & Branded Foods || Snacks & Namkeen
P0152,Masala Balls Snacks (Cheetos),Chips & Corn Snacks,5 x 19 x 13,Snacks & Branded Foods || Snacks & Namkeen
P0154,Mad Angles Achari Masti (Bingo),Chips & Corn Snacks,3 x 20 x 12,Snacks & Branded Foods || Snacks & Namkeen
P0155,Instant Diet Popcorn - Contains Olive Oil (PIPO),Namkeen & Savoury Snacks,,Snacks & Branded Foods || Snacks & Namkeen
P0156,Instant Popcorn - Chilli Surprise (PIPO),Chips & Corn Snacks,5 x 20 x 8,Snacks & Branded Foods || Snacks & Namkeen
P0157,Instant Popcorn - Butter Lovers (PIPO),Chips & Corn Snacks,6 x 6 x 15,Snacks & Branded Foods || Snacks & Namkeen
P0158,Namkeen - Moong Dal (Haldirams ),Chips & Corn Snacks,15 x 8 x 2,Snacks & Branded Foods || Snacks & Namkeen
P0159,Hot & Sweet Chilli (Lays),Namkeen & Savoury Snacks,20 x 28 x 25,Snacks & Branded Foods || Snacks & Namkeen
P0160,Namkeen - Butter Murukku (Townbus),Chips & Corn Snacks,30 x 1 x 21,Snacks & Branded Foods || Snacks & Namkeen
P0161,Namkeen - Khara Boondi (Townbus),Namkeen & Savoury Snacks,7 x 6 x 7,Snacks & Branded Foods || Snacks & Namkeen
P0162,Mad Angles Cheese Nachos Chips (Bingo),Namkeen & Savoury Snacks,2 x 8.8 x 3.6,Snacks & Branded Foods || Snacks & Namkeen
P0163,Potato Crisps - Cream 'N' Onion (Parle),Chips & Corn Snacks,2 x 13 x 4,Snacks & Branded Foods || Snacks & Namkeen
P0164,"Gel Pen - Black, Octane (Classmate)",Chips & Corn Snacks,4.4 x 15.8 x 9,Snacks & Branded Foods || Snacks & Namkeen
P0165,Butter Gelpen - Blue (Cello),"Pen, Pencils",1 x 13 x 12,Cleaning & Household || Stationery
P0166,Glare Mech Pencil (Nataraj),"Pen, Pencils",5 x 19 x 13,Cleaning & Household || Stationery
P0167,Tru Mango (Amul),"Pen, Pencils",20 x 33.5 x 21.8,Cleaning & Household || Stationery
P0169,Tru Litchi (Amul),"Flavoured, Soya Milk",8 x 19 x 12,"Bakery, Cakes & Dairy || Dairy"
P0170,Tru Orange (Amul),"Flavoured, Soya Milk",23.7 x 11.7 x 22.3,"Bakery, Cakes & Dairy || Dairy"
P0171,Tru Apple (Amul),"Flavoured, Soya Milk",4.5 x 17 x 4.5,"Bakery, Cakes & Dairy || Dairy"
P0172,Daily Fresh Dahi (Britannia),"Flavoured, Soya Milk",28 x 4.5 x 28,"Bakery, Cakes & Dairy || Dairy"
P0173,Dishwash Bar (Pril),Curd,2 x 27 x 21,"Bakery, Cakes & Dairy || Dairy"
P0174,Active - Detergent Cake Blue (Wheel ),Dishwash Bars & Powders,3 x 17 x 9,Cleaning & Household || Detergents & Dishwash
P0175,Strawberry Drink (Ala Fresh),Detergent Bars,2 x 20 x 10,Cleaning & Household || Detergents & Dishwash
P0176,Apple Drink (Ala Fresh),Gourmet Juices & Drinks,,Gourmet & World Food || Drinks & Beverages
P0177,Pineapple Drink (Ala Fresh),Gourmet Juices & Drinks,1 x 12 x 8,Gourmet & World Food || Drinks & Beverages
P0178,Watermelon Drink (Ala Fresh),Gourmet Juices & Drinks,3.5 x 16.5 x 4.5,Gourmet & World Food || Drinks & Beverages
P0179,Orange Drink (Ala Fresh),Gourmet Juices & Drinks,7 x 14 x 12,Gourmet & World Food || Drinks & Beverages
P0180,Litchi Drink (Ala Fresh),Gourmet Juices & Drinks,22 x 59 x 29,Gourmet & World Food || Drinks & Beverages
P0181,Kiwi Drink (Ala Fresh),Gourmet Juices & Drinks,4.1 x 17.3 x 10.1,Gourmet & World Food || Drinks & Beverages
P0182,Apple Juice Based Drink (Appy Fizz),Gourmet Juices & Drinks,5 x 37 x 27,Gourmet & World Food || Drinks & Beverages
P0183,Mint - Organically Grown (Fresho),Cold Drinks,14.2 x 3.8 x 11,Beverages || Energy & Soft Drinks
P0184,Lemon Grass (Fresho),Organic Vegetables,6 x 30 x 10,Fruits & Vegetables || Exotic Fruits & Veggies
P0185,"Sanitary Napkin - Extra Long, Travel Pack (Niine)",Indian & Exotic Herbs,1 x 20 x 30,Fruits & Vegetables || Exotic Fruits & Veggies
P0186,Cabbage (Fresho),Sanitary Napkins,8 x 16 x 8,Beauty & Hygiene || Feminine Hygiene
P0187,Cucumber (Fresho),Cabbage & Cauliflower,9 x 25 x 19,Fruits & Vegetables || Fresh Vegetables
P0188,Colocasia (Fresho),Cucumber & Capsicum,10 x 30 x 25,Fruits & Vegetables || Fresh Vegetables
P0189,Betel Leaf (Fresho),Root Vegetables,4 x 14.7 x 11,Fruits & Vegetables || Fresh Vegetables
P0190,Colocasia - Organically Grown (Fresho),Leafy Vegetables,6 x 19 x 14,Fruits & Vegetables || Fresh Vegetables
P0192,Colocasia - Organically Grown (Fresho),Organic Vegetables,15 x 15 x 40,Fruits & Vegetables || Fresh Vegetables
P0193,Organic Garlic Powder - Dehydrated (bb Royal),Organic Vegetables,6 x 3 x 6,Fruits & Vegetables || Organic Fruits & Vegetables
P0194,Orange Chewy Dragees (Mentos),Organic Masalas & Spices,6 x 7 x 9,"Foodgrains, Oil & Masala || Organic Staples"
P0195,Moonfils Orange (Bauli),"Toffee, Candy & Lollypop",6.5 x 7.5 x 12,Snacks & Branded Foods || Chocolates & Candies
P0196,Beetroot (Fresho),"Croissants, Bagels",5 x 23 x 20,"Bakery, Cakes & Dairy || Gourmet Breads"
P0197,Basale Leaf (Fresho),Root Vegetables,6 x 18 x 10,Fruits & Vegetables || Fresh Vegetables
P0198,Pain Relief Cream (Moov),Leafy Vegetables,1 x 16 x 3,Fruits & Vegetables || Fresh Vegetables
P0199,Yippee Magic Masala Noodles (Sunfeast),Everyday Medicine,15 x 24.9 x 9.3,Beauty & Hygiene || Health & Medicine
P0200,1-2-3 Noodles - Chicken Flavour (Wai Wai),Instant Noodles,4 x 13.5 x 9,"Snacks & Branded Foods || Noodle, Pasta, Vermicelli"
P0201,1-2-3 Noodles - Veg Masala Flavour (Wai Wai),Instant Noodles,3 x 14.5 x 4.9,"Snacks & Branded Foods || Noodle, Pasta, Vermicelli"
P0202,"Capsicum - Green, Organically Grown (Fresho)",Instant Noodles,1 x 1 x 1,"Snacks & Branded Foods || Noodle, Pasta, Vermicelli"
P0203,Puja Wicks - Lingam Batti (Jaji),Organic Vegetables,1 x 1 x 1,Fruits & Vegetables || Organic Fruits & Vegetables
P0204,1-2-3 Noodles - Chicken Flavour (Wai Wai),Camphor & Wicks,1.6 x 24 x 7,Cleaning & Household || Pooja Needs
P0205,1-2-3 Noodles - Veg Masala Flavour (Wai Wai),Instant Noodles,4 x 17.5 x 10,Snacks & Branded Foods || Snacks & Namkeen
P0206,Khatta Meetha (Tasties),Instant Noodles,6 x 12 x 6,Snacks & Branded Foods || Snacks & Namkeen
P0208,Moong Dal (Tasties),Namkeen & Savoury Snacks,1 x 1 x 1,Snacks & Branded Foods || Snacks & Namkeen
P0209,Aloo Bhujia (Tasties),Namkeen & Savoury Snacks,6 x 30.4 x 20,Snacks & Branded Foods || Snacks & Namkeen
P0210,CUBE Detergent Bar 2 In 1 (Ok),Namkeen & Savoury Snacks,5.2 x 33.5 x 12,Snacks & Branded Foods || Snacks & Namkeen
P0211,"Capsicum - Green, Organically Grown (Fresho)",Detergent Bars,14 x 7.2 x 15.7,Cleaning & Household || Detergents & Dishwash
