store_id,storetype_id,store_szie,city_id,state - state abr - city,lat / long
S0054,ST03,15 qm,C022,UT - Utah - Salt Lake City,40.6681 / -111.9083
S0030,ST03,13 qm,C006,IL - Illinois - Evanston,42.0586 / -87.6845
S0056,ST04,42 qm,C015,CA - California - Pasadena,33.7866 / -118.2987
S0138,ST04,30 qm,C022,MO - Missouri - Springfield,37.1136 / -93.2896
S0050,ST04,31 qm,C014,FL - Florida - Miami,25.8507 / -80.2366
S0005,ST04,19 qm,C001,KY - Kentucky - Louisville,38.2306 / -85.7905
S0064,ST03,17 qm,C026,LA - Louisiana - Shreveport,32.4589 / -93.7143
S0013,ST04,33 qm,C026,TX - Texas - Katy,29.8678 / -95.8298
S0118,ST03,20 qm,C023,CO - Colorado - Denver,39.7388 / -104.4083
S0042,ST04,25 qm,C020,OH - Ohio - Dayton,39.7617 / -84.1498
S0086,ST03,12 qm,C003,TX - Texas - El Paso,31.6948 / -106.3
S0134,ST03,12 qm,C020,CA - California - Torrance,33.7866 / -118.2987
