PRODUCT_ID,PRODUCT_NAME,BRAND,CATEGORY,PRICE,PACK_SIZE,HSN_CODE
P00072,Paracetamol 250mg,NutriX,Dermatology,588.48,10 tablets,8461
P00073,Azithromycin SR,NutriX,Diabetes,479.77,15 tablets,3417
P00074,Paracetamol XL,CureAll,Diabetes,223.52,1 bottle,9486
P00075,Metformin 250mg,NutriX,Antibiotic,444.51,60 tablets,9702
P00076,Amlodipine 100ml,PharmaOne,Dermatology,589.77,1 bottle,9270
P00077,Azithromycin XL,BioHeal,Supplement,711.6,60 tablets,8373
P00078,Vitamin C XL,NutriX,Gastro,732.21,100 ml,8939
P00079,Cetirizine 100mg,BioHeal,Antibiotic,683.6,15 tablets,5451
P00080,Pantoprazole 100mg,CureAll,Supplement,160.27,60 tablets,3503
P00081,Cetirizine 250mg,MediFast,Diabetes,327.72,60 tablets,7812
P00082,Paracetamol 500mg,MediFast,Diabetes,861.5,100 ml,1320
P00083,Omeprazole 10ml,BioHeal,Analgesic,896.75,30 tablets,7389
P00084,Azithromycin 100ml,NutriX,Dermatology,224.06,60 tablets,8956
P00085,Paracetamol 10ml,PharmaOne,Diabetes,693.49,60 tablets,3091
P00086,Omeprazole 100ml,HealCo,Diabetes,570.46,1 bottle,1444
P00087,Amoxicillin SR,MediFast,Supplement,826.17,15 tablets,1823
P00088,Vitamin C 10ml,PharmaOne,Cough & Cold,442.87,30 tablets,7211
P00089,Vitamin C XL,MediFast,Gastro,796.47,60 tablets,1317
P00090,Amlodipine 250mg,PharmaOne,Cough & Cold,624.63,1 bottle,1659
P00091,Paracetamol 500mg,NutriX,Analgesic,597.84,15 tablets,3068
P00092,Metformin SR,CureAll,Cough & Cold,452.48,30 tablets,7043
P00093,Ibuprofen 100ml,CureAll,Supplement,917.19,10 tablets,1420
P00094,Vitamin C 100ml,MediFast,Diabetes,895.57,15 tablets,2245
P00095,Omeprazole SR,NutriX,Antibiotic,668.39,30 tablets,2983
P00096,Omeprazole XL,HealCo,Cardiac,515.45,1 bottle,7071
P00097,Amoxicillin 100ml,PharmaOne,Analgesic,810.11,60 tablets,2729
P00098,Azithromycin 100mg,BioHeal,Supplement,425.0,1 bottle,9548
P00099,Vitamin C 100ml,BioHeal,Dermatology,425.08,1 bottle,5397
P00100,Pantoprazole XL,NutriX,Antibiotic,279.4,60 tablets,4995
P00101,Metformin 100ml,MediFast,Cardiac,46.69,30 tablets,3979
P00102,Metformin 500mg,PharmaOne,Gastro,336.52,100 ml,5526
P00103,Amlodipine 250mg,NutriX,Antibiotic,244.46,60 tablets,9004
P00104,Amlodipine XL,NutriX,Dermatology,620.69,60 tablets,8342
P00105,Paracetamol 250mg,LifeCare,Cough & Cold,396.09,15 tablets,6016
P00106,Omeprazole 100mg,BioHeal,Cardiac,415.72,1 bottle,6419
P00107,Pantoprazole SR,BioHeal,Gastro,305.16,15 tablets,2976
P00108,Cetirizine 100mg,CureAll,Supplement,198.13,1 bottle,8933
P00109,Vitamin C SR,LifeCare,Antibiotic,794.34,30 tablets,4727
P00110,Pantoprazole 500mg,LifeCare,Analgesic,678.46,15 tablets,5494
P00111,Paracetamol 250mg,LifeCare,Supplement,613.22,60 tablets,2680
P00112,Paracetamol 100ml,LifeCare,Dermatology,465.2,30 tablets,4020
P00113,Paracetamol 100mg,BioHeal,Antibiotic,784.57,60 tablets,9056
P00114,Amoxicillin 100ml,HealCo,Supplement,158.75,100 ml,5978
P00115,Amoxicillin 500mg,CureAll,Diabetes,583.88,100 ml,4697
P00116,Amlodipine 10ml,BioHeal,Dermatology,296.54,100 ml,8025
P00117,Vitamin C 100ml,HealCo,Antibiotic,901.26,15 tablets,4457
P00118,Vitamin C SR,CureAll,Supplement,243.07,100 ml,2229
P00119,Ibuprofen 250mg,MediFast,Dermatology,661.12,60 tablets,5771
P00120,Paracetamol 500mg,LifeCare,Gastro,673.78,60 tablets,2166
P00121,Cetirizine 100mg,NutriX,Diabetes,126.74,15 tablets,3441
P00122,Vitamin C XL,MedPlus,Antibiotic,75.46,30 tablets,5728
P00123,Metformin 250mg,BioHeal,Gastro,670.75,30 tablets,9199
P00124,Amlodipine 10ml,BioHeal,Antibiotic,576.17,60 tablets,6280
P00125,Omeprazole 100mg,HealCo,Antibiotic,232.9,1 bottle,1339
P00126,Vitamin C 100ml,HealCo,Supplement,457.57,1 bottle,8245
P00127,Vitamin C 500mg,MediFast,Dermatology,921.22,60 tablets,6700
P00128,Azithromycin 100mg,PharmaOne,Antibiotic,817.69,30 tablets,7744
P00129,Metformin 100mg,MediFast,Analgesic,442.99,30 tablets,5135
P00130,Pantoprazole 250mg,MediFast,Analgesic,631.62,100 ml,8569
P00131,Azithromycin 250mg,NutriX,Cardiac,599.05,60 tablets,8242
P00132,Paracetamol 500mg,LifeCare,Supplement,882.74,60 tablets,8941
P00133,Amoxicillin 250mg,NutriX,Supplement,309.0,10 tablets,7684
P00134,Amoxicillin 500mg,CureAll,Dermatology,900.77,1 bottle,3522
P00135,Metformin SR,LifeCare,Gastro,406.41,60 tablets,8736
P00136,Cetirizine 10ml,MedPlus,Diabetes,197.27,100 ml,9327
P00137,Ibuprofen XL,CureAll,Gastro,738.59,60 tablets,6568
P00138,Amlodipine 100mg,HealCo,Gastro,695.23,100 ml,9022
P00139,Ibuprofen 10ml,BioHeal,Cardiac,329.17,100 ml,7180
P00140,Metformin 100mg,NutriX,Cough & Cold,551.77,15 tablets,7730
P00141,Paracetamol 100mg,BioHeal,Diabetes,379.05,1 bottle,3492
P00142,Metformin 250mg,MedPlus,Cardiac,828.82,60 tablets,2633
P00143,Amlodipine 10ml,HealCo,Supplement,401.28,1 bottle,3529
P00144,Amoxicillin 10ml,LifeCare,Cardiac,599.63,60 tablets,2315
P00145,Pantoprazole XL,MediFast,Cardiac,602.92,60 tablets,9864
P00146,Paracetamol 100ml,CureAll,Cough & Cold,606.98,30 tablets,4727
P00147,Amoxicillin 10ml,CureAll,Antibiotic,432.62,1 bottle,5906
P00148,Paracetamol 250mg,PharmaOne,Analgesic,292.83,30 tablets,8056
P00149,Ibuprofen 500mg,MediFast,Supplement,178.08,10 tablets,7267
P00150,Omeprazole SR,NutriX,Dermatology,868.93,15 tablets,4804
P00151,Metformin SR,LifeCare,Dermatology,257.45,10 tablets,8622
P00152,Vitamin C SR,MedPlus,Antibiotic,430.81,30 tablets,5901
P00153,Azithromycin SR,LifeCare,Dermatology,806.13,15 tablets,7302
P00154,Metformin 250mg,NutriX,Diabetes,551.89,100 ml,5847
P00155,Vitamin C 250mg,MediFast,Gastro,27.53,1 bottle,1803
P00156,Omeprazole SR,BioHeal,Gastro,741.44,15 tablets,6772
P00157,Cetirizine SR,NutriX,Gastro,650.32,1 bottle,3240
P00158,Amoxicillin SR,HealCo,Gastro,753.41,10 tablets,6977
P00159,Ibuprofen 250mg,LifeCare,Cardiac,715.16,15 tablets,4289
P00160,Ibuprofen XL,PharmaOne,Gastro,792.34,30 tablets,8894
P00161,Vitamin C SR,PharmaOne,Antibiotic,455.55,10 tablets,3306
P00162,Cetirizine XL,MediFast,Cardiac,103.98,60 tablets,1228
P00163,Vitamin C 100ml,CureAll,Dermatology,362.78,1 bottle,5295
P00164,Omeprazole 10ml,PharmaOne,Antibiotic,647.6,60 tablets,1410
P00165,Omeprazole 100ml,PharmaOne,Cough & Cold,622.32,1 bottle,8606
P00166,Vitamin C SR,MediFast,Antibiotic,149.99,10 tablets,5986
P00167,Metformin 250mg,CureAll,Cough & Cold,845.15,15 tablets,7367
P00168,Metformin 100mg,MediFast,Supplement,843.43,1 bottle,2622
P00169,Metformin 100ml,MediFast,Gastro,50.43,30 tablets,4559
P00170,Metformin 10ml,NutriX,Cardiac,112.4,1 bottle,7018
P00171,Amlodipine SR,PharmaOne,Analgesic,390.27,15 tablets,3001
P00172,Metformin 250mg,NutriX,Analgesic,67.04,30 tablets,4990
P00173,Ibuprofen XL,NutriX,Antibiotic,791.73,100 ml,4394
P00174,Omeprazole 500mg,NutriX,Cardiac,740.16,100 ml,1046
P00175,Vitamin C XL,MedPlus,Supplement,522.4,15 tablets,2801
P00176,Paracetamol 500mg,HealCo,Cardiac,754.69,15 tablets,6304
P00177,Paracetamol 500mg,LifeCare,Analgesic,137.89,60 tablets,9619
P00178,Amoxicillin SR,CureAll,Dermatology,436.9,30 tablets,9408
P00179,Omeprazole 250mg,BioHeal,Cough & Cold,899.24,10 tablets,9543
P00180,Vitamin C 10ml,HealCo,Analgesic,948.69,60 tablets,7984
P00181,Amoxicillin 10ml,BioHeal,Antibiotic,856.32,30 tablets,3430
P00182,Amoxicillin 500mg,LifeCare,Cardiac,374.24,100 ml,9692
P00183,Vitamin C 10ml,MediFast,Antibiotic,757.58,10 tablets,4522
P00184,Azithromycin 10ml,NutriX,Diabetes,335.21,60 tablets,7532
P00185,Azithromycin SR,CureAll,Cardiac,416.89,1 bottle,5176
P00186,Pantoprazole 500mg,BioHeal,Antibiotic,104.84,10 tablets,2527
P00187,Azithromycin 250mg,PharmaOne,Supplement,537.42,100 ml,6400
P00188,Amoxicillin 10ml,PharmaOne,Diabetes,827.33,1 bottle,1842
P00189,Vitamin C 100ml,LifeCare,Cardiac,116.35,100 ml,4485
P00190,Ibuprofen SR,BioHeal,Cough & Cold,807.97,30 tablets,7022
P00191,Amoxicillin XL,LifeCare,Cough & Cold,770.72,100 ml,1430
P00192,Omeprazole SR,LifeCare,Analgesic,187.79,1 bottle,6062
P00193,Pantoprazole 100mg,HealCo,Supplement,828.97,100 ml,7566
P00194,Amoxicillin 500mg,HealCo,Antibiotic,713.88,15 tablets,7163
P00195,Azithromycin 10ml,PharmaOne,Supplement,364.15,1 bottle,6314
P00196,Omeprazole 100ml,CureAll,Analgesic,164.69,100 ml,1815
P00197,Amoxicillin 100mg,BioHeal,Diabetes,471.67,60 tablets,7785
P00198,Vitamin C 500mg,CureAll,Cardiac,419.82,30 tablets,8972
P00199,Amlodipine SR,LifeCare,Analgesic,225.08,100 ml,1897
P00200,Paracetamol 500mg,LifeCare,Cough & Cold,733.64,30 tablets,5742
P00201,Pantoprazole 250mg,HealCo,Dermatology,714.72,15 tablets,3116
P00202,Azithromycin 100ml,NutriX,Cardiac,87.03,1 bottle,1693
P00203,Azithromycin 250mg,BioHeal,Antibiotic,821.76,100 ml,8033
P00204,Omeprazole 10ml,MediFast,Gastro,127.11,10 tablets,6321
P00205,Ibuprofen XL,BioHeal,Cardiac,101.96,10 tablets,4986
P00206,Azithromycin 100ml,MediFast,Antibiotic,388.06,30 tablets,6562
P00207,Cetirizine 100mg,MedPlus,Antibiotic,494.75,10 tablets,9693
P00208,Amlodipine 500mg,PharmaOne,Cardiac,696.46,1 bottle,3419
P00209,Cetirizine 250mg,MedPlus,Gastro,203.46,100 ml,3504
P00210,Amoxicillin 500mg,BioHeal,Dermatology,721.63,100 ml,8354
P00211,Omeprazole SR,PharmaOne,Cardiac,160.39,10 tablets,8682
P00212,Metformin SR,LifeCare,Gastro,570.02,30 tablets,9312
P00213,Amoxicillin 100mg,BioHeal,Dermatology,54.97,30 tablets,5703
P00214,Amoxicillin SR,CureAll,Diabetes,450.32,100 ml,1672
P00215,Metformin XL,NutriX,Cardiac,582.66,100 ml,3471
P00216,Paracetamol 10ml,CureAll,Cardiac,933.62,10 tablets,9266
P00217,Ibuprofen 250mg,NutriX,Dermatology,941.62,100 ml,9564
P00218,Omeprazole 500mg,PharmaOne,Cardiac,873.68,60 tablets,7697
P00219,Pantoprazole SR,HealCo,Cardiac,81.3,10 tablets,7333
P00220,Vitamin C 100mg,MedPlus,Cardiac,95.8,1 bottle,3317
P00221,Pantoprazole 100mg,MediFast,Supplement,573.39,10 tablets,6072
P00222,Amlodipine 10ml,PharmaOne,Supplement,643.21,1 bottle,9624
P00223,Amoxicillin SR,MediFast,Cardiac,36.95,30 tablets,3953
P00224,Cetirizine 100mg,BioHeal,Cough & Cold,230.69,15 tablets,3538
P00225,Amoxicillin 100mg,CureAll,Analgesic,635.59,100 ml,3147
P00226,Omeprazole 10ml,MedPlus,Supplement,188.19,1 bottle,3712
P00227,Metformin 250mg,MediFast,Cardiac,649.02,15 tablets,8277
P00228,Omeprazole 100mg,BioHeal,Cough & Cold,516.63,30 tablets,8684
P00229,Cetirizine 100mg,BioHeal,Dermatology,735.58,60 tablets,9239
P00230,Amlodipine 10ml,MedPlus,Cough & Cold,765.17,15 tablets,5096
P00231,Paracetamol SR,BioHeal,Cardiac,535.72,10 tablets,9452
P00232,Amoxicillin 100mg,CureAll,Supplement,273.7,100 ml,3414
P00233,Azithromycin 250mg,NutriX,Dermatology,842.71,10 tablets,7797
P00234,Paracetamol 10ml,PharmaOne,Cough & Cold,379.13,10 tablets,7142
P00235,Cetirizine 250mg,PharmaOne,Antibiotic,800.43,1 bottle,6493
P00236,Ibuprofen 500mg,HealCo,Gastro,873.18,60 tablets,3273
P00237,Metformin 10ml,HealCo,Antibiotic,37.67,15 tablets,3449
P00238,Amlodipine SR,MediFast,Antibiotic,741.84,15 tablets,5934
P00239,Amoxicillin 250mg,NutriX,Diabetes,614.23,100 ml,8489
P00240,Amoxicillin 250mg,BioHeal,Analgesic,607.72,100 ml,4963
P00241,Ibuprofen 100mg,MediFast,Analgesic,591.77,15 tablets,7825
P00242,Ibuprofen SR,CureAll,Cardiac,82.94,100 ml,9914
P00243,Amlodipine XL,HealCo,Diabetes,832.2,10 tablets,7338
P00244,Pantoprazole 100mg,HealCo,Cardiac,753.32,30 tablets,4950
P00245,Amoxicillin XL,PharmaOne,Supplement,61.23,100 ml,6546
P00246,Ibuprofen XL,BioHeal,Dermatology,607.51,15 tablets,2033
P00247,Metformin 250mg,LifeCare,Cough & Cold,60.74,15 tablets,1686
P00248,Pantoprazole 100mg,MediFast,Dermatology,255.58,1 bottle,4131
P00249,Vitamin C 100mg,HealCo,Cardiac,274.09,30 tablets,8159
P00250,Azithromycin SR,BioHeal,Diabetes,335.3,15 tablets,9129
P00251,Metformin 100mg,LifeCare,Antibiotic,696.19,10 tablets,8055
P00252,Omeprazole XL,MedPlus,Gastro,318.73,10 tablets,6372
P00253,Vitamin C 100mg,BioHeal,Diabetes,174.98,60 tablets,6759
P00254,Metformin 250mg,PharmaOne,Diabetes,275.34,10 tablets,2229
P00255,Azithromycin 100mg,MedPlus,Analgesic,152.78,100 ml,8179
P00256,Paracetamol 500mg,CureAll,Cough & Cold,744.02,30 tablets,6933
P00257,Azithromycin 100ml,HealCo,Supplement,651.53,30 tablets,7095
P00258,Metformin XL,CureAll,Supplement,512.4,60 tablets,6150
P00259,Vitamin C 500mg,CureAll,Analgesic,704.18,60 tablets,9482
P00260,Azithromycin 100ml,CureAll,Gastro,740.72,1 bottle,8311
P00261,Cetirizine 100ml,LifeCare,Dermatology,206.17,15 tablets,2213
P00262,Metformin 500mg,BioHeal,Antibiotic,773.78,30 tablets,6692
P00263,Amoxicillin 100ml,LifeCare,Gastro,811.77,1 bottle,3852
P00264,Pantoprazole 100ml,NutriX,Antibiotic,936.17,15 tablets,4878
P00265,Metformin 250mg,PharmaOne,Cardiac,454.69,100 ml,3126
P00266,Omeprazole 250mg,CureAll,Gastro,390.29,1 bottle,8842
P00267,Amlodipine 10ml,MediFast,Antibiotic,136.55,30 tablets,2215
P00268,Metformin 10ml,PharmaOne,Supplement,836.5,100 ml,3981
P00269,Ibuprofen 10ml,HealCo,Antibiotic,501.83,30 tablets,3697
P00270,Ibuprofen 100mg,NutriX,Cardiac,901.16,100 ml,5653
P00271,Amoxicillin 100mg,NutriX,Gastro,136.41,30 tablets,9740
P00272,Amoxicillin 100ml,MedPlus,Supplement,179.22,100 ml,6531
P00273,Omeprazole 250mg,HealCo,Antibiotic,62.28,1 bottle,5336
P00274,Cetirizine XL,MediFast,Analgesic,483.18,1 bottle,9938
P00275,Vitamin C SR,LifeCare,Dermatology,247.74,1 bottle,7653
P00276,Vitamin C 10ml,CureAll,Analgesic,167.01,60 tablets,8933
P00277,Metformin 500mg,PharmaOne,Supplement,310.7,1 bottle,6231
P00278,Pantoprazole 10ml,MedPlus,Cardiac,498.93,10 tablets,6228
P00279,Cetirizine 10ml,CureAll,Gastro,438.12,15 tablets,2586
P00280,Paracetamol 100mg,MediFast,Diabetes,250.89,15 tablets,6364
P00281,Omeprazole SR,PharmaOne,Cough & Cold,729.7,60 tablets,9433
P00282,Metformin 10ml,LifeCare,Dermatology,41.55,60 tablets,9281
P00283,Metformin 500mg,NutriX,Cardiac,65.25,30 tablets,9108
P00284,Omeprazole XL,BioHeal,Gastro,519.12,10 tablets,8060
P00285,Ibuprofen 100mg,PharmaOne,Diabetes,360.32,60 tablets,1838
P00286,Omeprazole 100ml,NutriX,Cardiac,534.5,10 tablets,7329
P00287,Amlodipine 10ml,LifeCare,Antibiotic,139.66,10 tablets,7453
P00288,Pantoprazole XL,PharmaOne,Cardiac,722.12,15 tablets,9341
P00289,Azithromycin 100ml,HealCo,Analgesic,56.19,1 bottle,6456
P00290,Metformin 100ml,BioHeal,Supplement,583.82,100 ml,3290
P00291,Pantoprazole 100ml,PharmaOne,Supplement,385.45,100 ml,5902
P00292,Omeprazole 100mg,BioHeal,Gastro,461.65,10 tablets,7035
P00293,Pantoprazole SR,CureAll,Diabetes,562.84,1 bottle,1436
P00294,Omeprazole 10ml,LifeCare,Cough & Cold,690.9,100 ml,8871
P00295,Ibuprofen 100ml,MediFast,Supplement,784.15,15 tablets,1517
P00296,Omeprazole SR,CureAll,Cough & Cold,37.61,30 tablets,7861
P00297,Ibuprofen 10ml,NutriX,Diabetes,486.69,100 ml,8726
P00298,Paracetamol SR,MedPlus,Cough & Cold,541.62,1 bottle,8837
P00299,Amlodipine 10ml,PharmaOne,Supplement,447.49,100 ml,6608
P00300,Amlodipine 100mg,LifeCare,Dermatology,198.81,15 tablets,5571
P00301,Amlodipine 100mg,NutriX,Gastro,737.19,1 bottle,4396
P00302,Metformin 100mg,BioHeal,Cardiac,541.25,1 bottle,5480
P00303,Vitamin C 250mg,MediFast,Diabetes,781.09,15 tablets,5758
P00304,Paracetamol 100mg,CureAll,Cardiac,879.33,1 bottle,5201
P00305,Metformin 500mg,NutriX,Gastro,887.71,1 bottle,5450
P00306,Ibuprofen 250mg,NutriX,Cough & Cold,67.21,100 ml,4697
P00307,Cetirizine 250mg,CureAll,Diabetes,327.17,60 tablets,2647
P00308,Ibuprofen 250mg,MedPlus,Diabetes,627.19,60 tablets,8822
P00309,Cetirizine XL,LifeCare,Cardiac,285.44,10 tablets,2465
P00310,Omeprazole 500mg,HealCo,Supplement,408.63,15 tablets,1595
P00311,Azithromycin XL,BioHeal,Supplement,891.05,30 tablets,1613
P00312,Paracetamol 100mg,CureAll,Cardiac,284.64,1 bottle,9901
P00313,Amlodipine 10ml,MedPlus,Dermatology,273.74,10 tablets,6417
P00314,Ibuprofen SR,BioHeal,Gastro,688.3,10 tablets,6523
P00315,Vitamin C 100ml,NutriX,Supplement,588.19,1 bottle,7643
P00316,Azithromycin 100ml,PharmaOne,Antibiotic,392.77,10 tablets,4027
P00317,Ibuprofen 10ml,PharmaOne,Cough & Cold,26.35,60 tablets,4858
P00318,Metformin XL,LifeCare,Cardiac,300.81,1 bottle,1187
P00319,Vitamin C SR,PharmaOne,Cough & Cold,77.78,10 tablets,8625
P00320,Vitamin C 500mg,MediFast,Gastro,661.97,1 bottle,5833
P00321,Pantoprazole 100ml,NutriX,Cough & Cold,910.35,60 tablets,3509
P00322,Metformin SR,PharmaOne,Diabetes,672.8,60 tablets,9806
P00323,Cetirizine XL,NutriX,Antibiotic,508.72,100 ml,6927
P00324,Amoxicillin 100ml,CureAll,Analgesic,790.76,100 ml,4312
P00325,Omeprazole 100ml,MedPlus,Supplement,325.15,100 ml,8239
P00326,Amoxicillin SR,NutriX,Dermatology,104.58,100 ml,8298
P00327,Paracetamol 10ml,MedPlus,Diabetes,444.82,10 tablets,8575
P00328,Vitamin C SR,HealCo,Diabetes,256.65,10 tablets,4570
P00329,Omeprazole 250mg,HealCo,Diabetes,340.41,10 tablets,9866
P00330,Paracetamol 250mg,BioHeal,Analgesic,286.99,15 tablets,3218
P00331,Azithromycin 100mg,MediFast,Dermatology,828.75,60 tablets,7154
P00332,Amoxicillin SR,MedPlus,Cardiac,130.33,100 ml,7439
P00333,Amlodipine 500mg,NutriX,Analgesic,723.25,30 tablets,8585
P00334,Amlodipine 10ml,MediFast,Cough & Cold,250.19,30 tablets,3541
P00335,Vitamin C 500mg,CureAll,Analgesic,772.81,60 tablets,1256
P00336,Cetirizine 500mg,CureAll,Antibiotic,572.37,60 tablets,1797
P00337,Cetirizine SR,HealCo,Diabetes,428.24,100 ml,4559
P00338,Paracetamol 500mg,LifeCare,Cough & Cold,778.68,1 bottle,6224
P00339,Omeprazole 100ml,PharmaOne,Cough & Cold,300.64,15 tablets,9540
P00340,Cetirizine 10ml,LifeCare,Gastro,76.69,100 ml,3869
P00341,Azithromycin 100ml,BioHeal,Analgesic,924.23,1 bottle,7244
P00342,Amlodipine 100mg,MediFast,Diabetes,158.77,60 tablets,4012
P00343,Amlodipine 10ml,NutriX,Cough & Cold,299.68,1 bottle,3365
P00344,Metformin 250mg,MediFast,Diabetes,538.28,15 tablets,7363
P00345,Cetirizine 100mg,NutriX,Cardiac,621.44,60 tablets,7079
P00346,Amoxicillin 100ml,NutriX,Analgesic,269.67,1 bottle,1647
P00347,Amoxicillin 500mg,NutriX,Dermatology,214.27,30 tablets,5967
P00348,Paracetamol 500mg,NutriX,Antibiotic,714.6,60 tablets,4974
P00349,Omeprazole SR,NutriX,Diabetes,871.07,100 ml,6269
P00350,Vitamin C 10ml,BioHeal,Cardiac,306.83,30 tablets,9401
P00351,Metformin 10ml,CureAll,Dermatology,728.31,30 tablets,4328
P00352,Pantoprazole 100mg,MediFast,Analgesic,543.15,15 tablets,3390
P00353,Paracetamol 100mg,MediFast,Gastro,161.74,30 tablets,4768
P00354,Azithromycin 100ml,NutriX,Dermatology,532.1,1 bottle,6530
P00355,Vitamin C XL,BioHeal,Dermatology,448.57,1 bottle,6770
