INVENTORY_DATE,STORE_ID,PRODUCT_ID,OPENING_STOCK,PURCHASES,SALES,CLOSING_STOCK,REGION_ID
2025-06-15,S0201,P00201,77,42,112,7,R8
2024-05-14,S0208,P00922,116,66,76,106,R8
2023-03-20,S0136,P00915,79,82,15,146,R8
2024-05-04,S0073,P00787,488,97,168,417,R8
2025-08-27,S0488,P00256,83,69,98,54,R7
2023-09-09,S0159,P00318,36,70,60,46,R5
2025-02-28,S0135,P00456,386,52,3,435,R8
2023-05-09,S0068,P00801,146,11,150,7,R2
2023-08-01,S0083,P00916,329,31,306,54,R8
2024-02-06,S0421,P00785,218,0,107,111,R5
2023-06-24,S0278,P00120,306,98,311,93,R8
2024-07-15,S0039,P00597,207,80,61,226,R7
2025-03-26,S0448,P00122,459,68,497,30,R7
2024-01-22,S0002,P00793,154,82,171,65,R5
2025-08-18,S0439,P00631,34,45,49,30,R4
2024-03-07,S0081,P00062,257,96,314,39,R1
2025-10-18,S0354,P00102,365,98,382,81,R4
2024-07-25,S0240,P00562,224,21,236,9,R7
2025-09-21,S0429,P00077,279,80,304,55,R9
2025-05-24,S0157,P00746,281,56,277,60,R6
2024-05-09,S0029,P00729,410,79,137,352,R6
2024-09-06,S0108,P00751,80,33,108,5,R2
2025-02-05,S0070,P00786,387,35,42,380,R6
2024-07-31,S0425,P00451,267,47,88,226,R7
2024-09-26,S0145,P00626,269,44,187,126,R5
2023-02-06,S0357,P00365,64,98,115,47,R10
2023-01-27,S0487,P00025,116,65,164,17,R8
2025-08-02,S0123,P00189,433,1,193,241,R8
2024-05-05,S0392,P00067,337,82,238,181,R2
2024-03-03,S0140,P00996,67,71,123,15,R5
2023-07-28,S0496,P00956,171,84,253,2,R1
2023-11-07,S0016,P00842,331,77,287,121,R10
2025-10-17,S0028,P00868,100,92,1,191,R7
2023-04-19,S0277,P00400,500,42,187,355,R8
2025-10-13,S0315,P00082,169,82,93,158,R10
2023-08-04,S0093,P00121,10,32,33,9,R1
2024-07-03,S0176,P00330,22,79,71,30,R7
2025-06-22,S0499,P00480,19,28,44,3,R3
2024-02-08,S0061,P00087,90,95,145,40,R2
2025-02-13,S0243,P00886,457,22,220,259,R3
2024-05-16,S0393,P00766,390,28,108,310,R3
2024-09-07,S0014,P00052,279,19,81,217,R1
2025-10-25,S0123,P00818,242,55,238,59,R6
2023-06-04,S0417,P00237,82,44,47,79,R9
2023-05-21,S0452,P00021,116,3,2,117,R10
2024-01-29,S0258,P00274,303,6,120,189,R4
2024-01-09,S0263,P00451,30,64,31,63,R2
2024-03-11,S0147,P00341,228,70,205,93,R7
2023-11-28,S0022,P00132,67,7,66,8,R5
2024-03-26,S0016,P00059,485,20,424,81,R9
2025-09-24,S0258,P00303,198,46,26,218,R8
2025-07-19,S0358,P00150,162,29,26,165,R8
2024-09-08,S0335,P00078,95,35,56,74,R6
2023-07-07,S0481,P00376,293,49,174,168,R6
2023-09-03,S0494,P00291,300,56,148,208,R1
2025-06-02,S0152,P00178,439,71,474,36,R4
2023-04-14,S0158,P00215,337,33,253,117,R9
2023-09-07,S0214,P00608,446,80,395,131,R7
2023-10-06,S0260,P00260,133,95,15,213,R4
2023-08-22,S0311,P00218,398,51,22,427,R8
2023-02-19,S0201,P00308,188,17,77,128,R1
2024-05-25,S0152,P00035,282,16,47,251,R6
2024-03-14,S0267,P00823,10,45,23,32,R7
2024-05-05,S0436,P00066,411,38,130,319,R5
2025-08-20,S0006,P00577,118,63,24,157,R9
2025-09-08,S0128,P00790,162,85,200,47,R10
2024-10-05,S0222,P00873,293,67,105,255,R8
2024-06-07,S0087,P00902,162,92,8,246,R1
2025-04-27,S0279,P00829,204,81,249,36,R2
2024-07-31,S0291,P00396,342,85,13,414,R8
2023-06-16,S0132,P00191,279,76,233,122,R2
2023-10-05,S0089,P00213,13,82,54,41,R10
2025-01-02,S0458,P00011,352,34,256,130,R9
2024-10-18,S0335,P00095,360,0,271,89,R5
2025-09-10,S0448,P00253,202,72,106,168,R4
2024-12-07,S0134,P00585,266,78,54,290,R3
2024-05-24,S0108,P00829,139,28,35,132,R5
2025-08-13,S0236,P00994,325,38,274,89,R9
2024-07-06,S0335,P00515,328,43,55,316,R1
2023-06-22,S0458,P00397,20,40,60,0,R5
2024-09-12,S0201,P00209,481,100,558,23,R3
2024-09-03,S0240,P00586,500,35,104,431,R9
2023-08-06,S0344,P00734,285,46,37,294,R5
2023-04-25,S0449,P00935,94,15,24,85,R4
2025-08-02,S0098,P00860,401,27,337,91,R10
2024-01-12,S0239,P00848,251,98,228,121,R6
2023-01-20,S0263,P00224,64,21,55,30,R7
2025-02-14,S0022,P00208,66,16,12,70,R9
2023-11-22,S0463,P00386,173,17,57,133,R6
2025-03-05,S0237,P00472,182,27,13,196,R7
2023-11-23,S0039,P00363,62,48,53,57,R2
2025-01-25,S0281,P00925,481,74,323,232,R8
2024-12-29,S0150,P00933,189,39,209,19,R6
2024-08-15,S0392,P00523,348,23,138,233,R9
2025-02-27,S0354,P00253,266,39,111,194,R5
2025-09-09,S0380,P00762,460,12,385,87,R2
2024-09-29,S0145,P00318,237,99,41,295,R2
2025-04-25,S0185,P00129,335,79,349,65,R7
2024-04-24,S0225,P00119,488,44,317,215,R5
2024-11-17,S0267,P00320,107,59,78,88,R8
2025-01-22,S0318,P00061,22,9,9,22,R8
2023-08-28,S0349,P00680,424,63,224,263,R2
2024-01-22,S0005,P00724,341,55,18,378,R6
2025-06-01,S0233,P00420,64,85,139,10,R10
2025-10-28,S0369,P00319,262,59,204,117,R7
2024-06-19,S0201,P00345,416,56,287,185,R1
2024-03-19,S0215,P00684,324,29,197,156,R8
2025-02-15,S0304,P00558,298,61,318,41,R8
2024-11-12,S0173,P00075,442,0,368,74,R10
2024-07-26,S0303,P00238,50,63,21,92,R2
2023-11-26,S0356,P00340,227,65,1,291,R6
2025-10-10,S0234,P00413,405,67,359,113,R5
2025-10-31,S0008,P00556,226,99,310,15,R2
2024-07-31,S0429,P00615,312,71,125,258,R2
2024-01-11,S0394,P00874,465,27,231,261,R7
2025-01-26,S0371,P00640,124,14,114,24,R1
2025-08-02,S0010,P00301,37,80,95,22,R2
2023-03-17,S0322,P00626,170,93,68,195,R2
2023-07-03,S0370,P00599,205,36,182,59,R10
2023-01-04,S0343,P00930,357,5,238,124,R10
2025-08-17,S0482,P00767,178,55,54,179,R6
2025-02-18,S0176,P00572,404,6,41,369,R2
2023-06-16,S0286,P00347,23,78,59,42,R2
2024-12-26,S0164,P00003,271,48,163,156,R1
2023-04-09,S0073,P00224,172,53,119,106,R4
2024-11-15,S0409,P00417,458,44,107,395,R6
2023-04-27,S0275,P00724,195,80,257,18,R10
2025-07-02,S0047,P00557,436,58,447,47,R2
2023-01-07,S0482,P00940,139,52,138,53,R3
2025-02-22,S0146,P00644,355,51,303,103,R6
2024-04-13,S0339,P00190,411,4,90,325,R6
2024-10-24,S0082,P00178,288,41,304,25,R5
2023-12-27,S0468,P00376,266,50,232,84,R7
2025-01-29,S0080,P00506,262,15,199,78,R3
2024-02-03,S0143,P00039,29,53,59,23,R1
2023-02-17,S0383,P00866,464,56,207,313,R3
2023-08-12,S0276,P00715,248,19,4,263,R8
2025-07-04,S0163,P00258,249,31,118,162,R8
2024-10-10,S0197,P00431,489,15,138,366,R9
2025-01-04,S0387,P00252,355,15,56,314,R9
2025-02-21,S0115,P00361,249,57,137,169,R6
2025-06-29,S0296,P00474,206,1,148,59,R10
2025-05-02,S0058,P00759,15,79,64,30,R10
2025-04-11,S0108,P00294,390,91,452,29,R3
2025-05-23,S0068,P00991,217,73,70,220,R6
2025-08-23,S0398,P00939,84,2,51,35,R1
2025-05-17,S0166,P00953,480,9,395,94,R7
2023-09-18,S0371,P00176,329,28,178,179,R1
2024-07-20,S0082,P00671,91,65,151,5,R7
2023-11-18,S0074,P00631,395,46,273,168,R9
2023-12-13,S0134,P00518,283,44,101,226,R8
2025-02-03,S0472,P00023,413,66,432,47,R1
2024-09-07,S0090,P00659,259,44,178,125,R5
2025-07-31,S0231,P00156,26,15,29,12,R1
2024-09-24,S0291,P00963,144,16,118,42,R9
2023-10-27,S0139,P00247,383,22,127,278,R6
2023-06-10,S0392,P00320,290,69,85,274,R4
2025-06-10,S0121,P00313,445,4,126,323,R9
2023-11-23,S0187,P00965,111,55,78,88,R4
2023-07-15,S0022,P00044,403,82,185,300,R2
2025-05-28,S0376,P00321,494,96,401,189,R8
2024-12-05,S0309,P00622,97,46,90,53,R8
2024-02-07,S0413,P00292,436,91,131,396,R1
2024-12-17,S0239,P00843,73,19,63,29,R9
2025-10-19,S0367,P00816,23,17,21,19,R10
2025-08-06,S0360,P00454,441,28,387,82,R7
2024-09-12,S0390,P00857,416,41,99,358,R2
2024-01-01,S0286,P00348,344,15,221,138,R3
2024-02-21,S0292,P00736,125,48,162,11,R6
2023-11-12,S0236,P00200,201,60,242,19,R9
2023-04-22,S0409,P00451,89,93,93,89,R5
2023-02-17,S0397,P00030,392,15,367,40,R10
2024-10-25,S0241,P00524,63,90,26,127,R2
2024-07-27,S0362,P00611,414,71,317,168,R6
2024-01-29,S0210,P00835,364,84,71,377,R2
2025-08-09,S0186,P00460,280,1,107,174,R10
2024-06-11,S0230,P00421,168,32,139,61,R3
2024-07-25,S0137,P00410,208,46,121,133,R5
2024-12-16,S0308,P00049,261,72,136,197,R10
2024-11-18,S0431,P00664,190,33,115,108,R1
2024-10-15,S0227,P00080,102,47,75,74,R6
2025-06-19,S0288,P00261,16,85,81,20,R3
2025-08-03,S0272,P00919,197,37,35,199,R6
2025-07-12,S0244,P00150,11,79,26,64,R9
2025-02-06,S0448,P00804,445,74,261,258,R5
2023-11-26,S0179,P00887,421,32,194,259,R7
2023-06-24,S0118,P00830,169,96,255,10,R7
2024-10-17,S0029,P00410,107,9,0,116,R8
2023-11-14,S0102,P00652,230,92,29,293,R10
2023-05-01,S0178,P00995,423,67,266,224,R10
2024-05-15,S0376,P00639,12,44,46,10,R1
2025-01-22,S0084,P00038,62,82,113,31,R6
2023-04-12,S0230,P00282,283,47,78,252,R6
2024-11-10,S0304,P00855,270,59,77,252,R3
2023-09-25,S0015,P00549,394,71,424,41,R2
2025-04-13,S0028,P00497,113,25,28,110,R5
2025-07-15,S0068,P00123,456,58,295,219,R2
2023-05-03,S0156,P00236,382,88,72,398,R1
2025-01-21,S0235,P00713,112,59,161,10,R4
2024-02-05,S0154,P00882,367,93,316,144,R5
2023-01-31,S0421,P00043,54,60,82,32,R3
2024-10-17,S0312,P00051,312,95,277,130,R8
2024-01-22,S0399,P00449,499,83,504,78,R6
2023-05-22,S0336,P00043,80,30,66,44,R4
2023-04-09,S0408,P00765,313,37,241,109,R10
2024-03-30,S0271,P00950,373,28,190,211,R8
2024-07-23,S0162,P00440,208,80,105,183,R10
2023-02-02,S0271,P00758,117,26,26,117,R10
2024-04-01,S0052,P00606,86,75,82,79,R6
2025-06-18,S0374,P00759,258,55,163,150,R6
2023-06-11,S0272,P00552,103,57,82,78,R6
2023-05-11,S0115,P00321,360,59,127,292,R7
2025-09-03,S0049,P00031,91,39,2,128,R9
2023-04-10,S0485,P00336,75,59,120,14,R5
2024-05-21,S0210,P00414,253,73,35,291,R4
2025-01-20,S0127,P00497,211,35,98,148,R5
2023-07-10,S0024,P00815,371,87,290,168,R7
2025-09-29,S0439,P00702,468,19,109,378,R5
2025-08-12,S0392,P00100,297,74,12,359,R10
2025-07-22,S0110,P00924,104,57,157,4,R3
2023-04-20,S0299,P00559,298,46,197,147,R9
2023-03-13,S0265,P00092,262,25,130,157,R3
2024-01-01,S0232,P00616,116,61,49,128,R8
2023-06-26,S0033,P00156,366,1,320,47,R4
2025-09-27,S0113,P00325,253,99,304,48,R3
2024-08-26,S0224,P00826,347,81,123,305,R2
2023-05-15,S0499,P00375,175,33,180,28,R3
2023-02-26,S0185,P00336,361,95,294,162,R9
2023-07-01,S0359,P00830,49,77,8,118,R5
2023-09-11,S0486,P00139,491,59,185,365,R6
2023-08-06,S0108,P00684,212,7,83,136,R2
2024-11-03,S0338,P00508,421,56,431,46,R6
2025-09-28,S0098,P00268,267,23,100,190,R4
2023-09-19,S0496,P00319,442,26,209,259,R9
2025-02-14,S0183,P00704,239,18,145,112,R8
2024-12-15,S0125,P00985,70,58,63,65,R9
2025-04-19,S0119,P00992,36,44,7,73,R9
2024-12-31,S0221,P00845,489,93,40,542,R2
2025-02-17,S0447,P00307,278,79,43,314,R3
2023-07-24,S0056,P00336,205,5,164,46,R6
2024-10-19,S0404,P00244,241,22,54,209,R5
2024-01-11,S0243,P00900,108,75,136,47,R4
2024-12-02,S0006,P00835,50,46,41,55,R6
2024-09-06,S0299,P00878,214,57,113,158,R1
2025-10-27,S0134,P00262,122,43,18,147,R4
2023-07-23,S0126,P00772,151,15,30,136,R2
2023-03-19,S0435,P00520,495,24,358,161,R9
2023-02-04,S0409,P00116,468,64,425,107,R6
2025-06-15,S0077,P00421,277,17,188,106,R4
2023-10-07,S0011,P00934,16,3,13,6,R9
2023-03-10,S0052,P00259,382,2,215,169,R10
2024-06-22,S0309,P00474,241,61,83,219,R2
2025-06-27,S0481,P00099,381,76,282,175,R6
2025-07-17,S0082,P00663,225,58,122,161,R10
2024-03-16,S0267,P00774,293,41,303,31,R3
2025-10-04,S0334,P00525,127,5,105,27,R6
2023-11-03,S0050,P00345,84,11,29,66,R3
2023-03-08,S0016,P00606,319,21,246,94,R6
2023-03-20,S0420,P00719,175,25,37,163,R6
2023-02-23,S0121,P00290,241,30,65,206,R5
2023-03-06,S0482,P00303,60,50,43,67,R7
2023-10-13,S0279,P00326,471,75,278,268,R5
2024-07-23,S0207,P00943,475,54,464,65,R4
2024-01-15,S0158,P00185,130,98,62,166,R10
2023-06-05,S0314,P00097,413,57,51,419,R8
2024-02-11,S0389,P00659,187,38,33,192,R9
2023-05-16,S0140,P00422,377,43,124,296,R6
2024-10-18,S0258,P00222,232,25,180,77,R2
2023-09-11,S0462,P00386,62,8,36,34,R2
2024-04-12,S0415,P00353,14,70,76,8,R1
2025-09-06,S0035,P00156,351,9,12,348,R3
2025-09-24,S0083,P00786,141,33,162,12,R9
2023-12-24,S0356,P00592,260,21,269,12,R7
2023-06-17,S0251,P00724,306,41,235,112,R5
2023-07-07,S0424,P00738,374,0,170,204,R4
2023-10-30,S0426,P00083,188,43,210,21,R4
2024-11-17,S0130,P00809,402,24,285,141,R1
2024-07-18,S0234,P00100,225,31,168,88,R2
2025-07-30,S0040,P00387,477,8,383,102,R9
2023-05-02,S0136,P00019,10,95,102,3,R1
2025-05-12,S0494,P00752,239,74,113,200,R4
2023-02-25,S0176,P00429,52,48,88,12,R2
2023-02-09,S0104,P00630,192,35,210,17,R8
2023-02-01,S0203,P00674,238,31,11,258,R1
2024-10-02,S0494,P00767,410,69,279,200,R6
2024-07-20,S0273,P00371,209,67,21,255,R1
2025-06-02,S0367,P00368,359,22,89,292,R1
2023-03-26,S0059,P00014,206,48,99,155,R10
2025-05-19,S0307,P00298,109,4,47,66,R7
2025-01-09,S0497,P00297,418,91,279,230,R10
2025-09-05,S0019,P00357,291,85,80,296,R4
2023-03-10,S0204,P00503,35,29,49,15,R4
2025-07-21,S0062,P00786,390,82,184,288,R2
2025-09-08,S0463,P00969,375,4,323,56,R7
2023-10-20,S0406,P00026,312,34,135,211,R2
2024-04-06,S0479,P00880,434,63,141,356,R4
2023-03-13,S0271,P00511,69,39,2,106,R5
2023-11-05,S0263,P00299,181,14,195,0,R10
2024-08-22,S0313,P00430,52,58,34,76,R8
2025-03-11,S0014,P00099,244,42,157,129,R7
2023-02-16,S0457,P00594,351,76,280,147,R9
2023-09-19,S0298,P00606,439,87,380,146,R3
2024-09-27,S0067,P00454,142,21,53,110,R5
2024-03-21,S0258,P00456,108,24,18,114,R1
2024-05-16,S0431,P00196,343,18,129,232,R3
2023-07-23,S0006,P00572,318,10,58,270,R8
2023-06-08,S0420,P00176,441,8,226,223,R7
2023-10-06,S0044,P00478,255,12,41,226,R9
2025-01-20,S0070,P00673,389,97,50,436,R8
2024-01-04,S0327,P00737,254,88,278,64,R3
2024-01-30,S0266,P00804,374,27,1,400,R6
2023-03-15,S0116,P00330,98,56,36,118,R1
2025-01-29,S0214,P00859,446,9,98,357,R4
2025-09-22,S0351,P00196,466,32,489,9,R7
2023-05-25,S0058,P00621,365,73,274,164,R4
2023-02-07,S0270,P00679,230,59,40,249,R9
2023-04-24,S0234,P00398,393,60,138,315,R4
2023-01-05,S0139,P00343,374,5,279,100,R6
2025-01-18,S0234,P00370,427,93,339,181,R1
2023-09-26,S0229,P00512,208,61,191,78,R3
2025-08-30,S0005,P00600,348,30,105,273,R4
2024-08-16,S0280,P00367,433,90,81,442,R7
2024-01-12,S0416,P00974,422,64,148,338,R6
2023-03-27,S0375,P00924,444,42,478,8,R8
2023-08-03,S0021,P00706,108,62,68,102,R10
2024-05-13,S0092,P00593,232,23,224,31,R6
2023-11-28,S0046,P00363,247,40,170,117,R4
2025-03-07,S0313,P00510,271,18,289,0,R5
2024-06-02,S0056,P00518,422,28,326,124,R7
2025-02-02,S0299,P00295,60,3,11,52,R7
2023-05-24,S0359,P00407,106,6,53,59,R1
2023-08-13,S0405,P00447,275,9,139,145,R3
2023-11-07,S0165,P00979,394,88,153,329,R5
2023-10-06,S0451,P00399,373,42,379,36,R5
2024-07-08,S0170,P00330,330,9,207,132,R5
2025-03-24,S0195,P00843,470,42,337,175,R10
2024-03-16,S0212,P00493,445,14,102,357,R1
2023-09-27,S0301,P00418,266,86,338,14,R4
2024-02-26,S0327,P00718,407,87,98,396,R6
2023-05-06,S0159,P00938,493,36,350,179,R6
2024-10-22,S0261,P00097,94,40,29,105,R6
2023-08-10,S0001,P00400,139,50,77,112,R6
2023-06-30,S0475,P00398,22,1,5,18,R5
2024-09-12,S0191,P00702,280,84,28,336,R3
2023-09-11,S0387,P00097,244,88,62,270,R6
2025-02-05,S0058,P00378,417,27,115,329,R6
2024-02-15,S0073,P00141,437,15,272,180,R4
2025-01-13,S0063,P00234,101,0,89,12,R5
2023-08-05,S0098,P00864,420,100,126,394,R5
2023-02-19,S0324,P00465,53,11,64,0,R5
2024-10-01,S0108,P00108,240,27,121,146,R7
2023-11-26,S0289,P00312,345,4,63,286,R7
2023-05-18,S0236,P00111,91,84,106,69,R10
2025-07-20,S0073,P00496,196,77,247,26,R10
2023-06-15,S0272,P00035,415,28,435,8,R10
2024-02-27,S0063,P00070,442,7,154,295,R2
2025-05-28,S0290,P00872,175,22,48,149,R1
2024-10-16,S0010,P00838,245,81,13,313,R10
2023-09-13,S0459,P00315,359,48,88,319,R9
2024-05-26,S0200,P00050,399,77,289,187,R8
2023-02-20,S0093,P00891,246,64,182,128,R3
2025-09-27,S0254,P00001,333,83,17,399,R5
2024-11-01,S0299,P00449,490,57,257,290,R10
2023-07-20,S0239,P00228,75,70,128,17,R2
2024-03-18,S0481,P00566,348,35,88,295,R5
2024-05-07,S0464,P00876,304,3,224,83,R2
2023-10-14,S0162,P00919,95,78,167,6,R10
2024-06-10,S0417,P00951,237,65,36,266,R8
2024-07-30,S0252,P00538,70,73,29,114,R2
2024-09-15,S0228,P00022,184,23,184,23,R10
2024-06-02,S0450,P00126,309,69,72,306,R8
2023-09-01,S0432,P00474,159,5,15,149,R2
2025-04-17,S0044,P00744,405,44,253,196,R5
2023-03-03,S0099,P00222,350,81,195,236,R1
2024-11-18,S0244,P00168,142,62,194,10,R10
2023-12-30,S0140,P00421,456,83,94,445,R4
2023-02-01,S0093,P00083,148,78,2,224,R8
2024-02-09,S0216,P00346,134,62,162,34,R2
2025-09-23,S0361,P00267,439,19,104,354,R4
2024-04-23,S0212,P00809,72,5,40,37,R3
2024-02-12,S0438,P00290,45,36,65,16,R5
2024-10-21,S0272,P00590,242,1,173,70,R9
2023-08-05,S0365,P00848,61,77,51,87,R10
2024-10-04,S0116,P00070,384,29,269,144,R10
2025-03-03,S0345,P00211,185,46,98,133,R7
2024-09-23,S0372,P00029,233,35,56,212,R9
2025-07-21,S0380,P00167,307,50,256,101,R7
2023-07-17,S0362,P00883,247,58,95,210,R10
2023-04-13,S0465,P00795,105,26,104,27,R9
2025-05-08,S0289,P00755,151,8,155,4,R4
2025-02-18,S0472,P00145,24,90,45,69,R4
2023-07-01,S0147,P00510,314,39,316,37,R3
2024-05-27,S0033,P00700,490,90,201,379,R10
2025-01-01,S0314,P00873,312,0,228,84,R4
2025-04-23,S0165,P00792,286,79,51,314,R1
2023-04-21,S0354,P00760,339,33,244,128,R4
2023-09-01,S0484,P00822,452,22,205,269,R9
2023-09-16,S0295,P00487,299,9,172,136,R10
2023-07-01,S0144,P00684,45,79,12,112,R4
2025-01-19,S0192,P00177,269,92,119,242,R1
2024-03-19,S0212,P00455,143,7,83,67,R9
2023-10-16,S0458,P00142,492,78,184,386,R7
2025-07-02,S0011,P00883,458,8,145,321,R5
2024-03-14,S0292,P00059,359,43,347,55,R2
2024-04-01,S0498,P00717,457,52,0,509,R3
2024-12-16,S0199,P00540,457,1,305,153,R9
2023-01-27,S0128,P00297,465,67,351,181,R7
2025-09-24,S0324,P00775,161,17,5,173,R10
2024-07-10,S0067,P00410,353,33,44,342,R10
2025-05-01,S0352,P00292,362,100,356,106,R3
2024-03-31,S0468,P00841,262,51,42,271,R5
2023-04-01,S0378,P00325,198,38,15,221,R4
2024-06-22,S0205,P00812,197,31,99,129,R2
2023-09-16,S0194,P00438,358,80,149,289,R10
2025-03-28,S0136,P00240,249,0,135,114,R2
2024-01-29,S0231,P00266,48,75,90,33,R4
2023-05-31,S0477,P00868,280,38,227,91,R1
2024-11-23,S0359,P00823,280,21,52,249,R10
2025-10-12,S0336,P00878,249,7,216,40,R10
2024-08-10,S0387,P00419,500,55,415,140,R6
2024-06-30,S0346,P00368,173,40,6,207,R6
2024-11-06,S0416,P00959,445,100,214,331,R8
2023-04-07,S0462,P00327,426,25,21,430,R9
2023-06-10,S0439,P00008,208,67,182,93,R4
2024-07-15,S0386,P00489,110,99,121,88,R5
2023-12-04,S0113,P00070,367,59,104,322,R7
2025-02-12,S0023,P00579,90,28,47,71,R10
2023-02-11,S0471,P00186,317,85,213,189,R1
2024-04-16,S0229,P00042,476,63,485,54,R10
