loan_id,account_id,Date,amount,duration,payments,status
6903,9337,2017-06-04,52128,24,2172,Contract Finished
5918,4576,2017-06-04,300204,36,8339,Contract Finished
6642,8027,2017-06-05,77640,12,6470,Contract Finished
6210,5927,2017-06-06,87216,48,1817,Loan not payed
6279,6273,2017-06-07,87360,24,3640,Contract Finished
7249,11065,2017-06-12,69360,48,1445,Contract Finished
6736,8558,2017-06-14,288360,60,4806,Running Contract
6112,5442,2017-06-17,174744,24,7281,Loan not payed
5319,1811,2017-06-23,239460,60,3991,Running Contract
6596,7844,2017-06-25,91584,24,3816,Contract Finished
5837,4260,2017-06-29,244560,60,4076,Running Contract
5657,3354,2017-07-05,4980,12,415,Contract Finished
5533,2762,2017-07-05,111384,24,4641,Contract Finished
6232,6051,2017-07-08,276660,36,7685,Loan not payed
6888,9265,2017-07-11,39576,12,3298,Contract Finished
6066,5228,2017-07-11,173808,24,7242,Contract Finished
5549,2824,2017-07-16,50460,60,841,Running Contract
5060,426,2017-07-19,252060,60,4201,Client in debt
6004,4937,2017-07-23,143904,24,5996,Contract Finished
5126,790,2017-07-24,208128,48,4336,Loan not payed
7220,10911,2017-07-28,131292,36,3647,Contract Finished
6668,8129,2017-07-30,74736,36,2076,Contract Finished
5395,2176,2017-07-30,299088,36,8308,Loan not payed
6836,9093,2017-08-03,189300,60,3155,Running Contract
6064,5215,2017-08-04,14628,12,1219,Contract Finished
6919,9403,2017-08-05,120888,36,3358,Contract Finished
6841,9104,2017-08-07,172080,48,3585,Contract Finished
6038,5120,2017-08-10,323472,48,6739,Contract Finished
6729,8519,2017-08-11,74688,12,6224,Contract Finished
7198,10788,2017-08-23,45768,12,3814,Contract Finished
6686,8260,2017-08-25,224604,36,6239,Contract Finished
5836,4259,2017-08-27,79632,24,3318,Contract Finished
7061,10105,2017-08-27,121896,24,5079,Contract Finished
5595,3050,2017-09-02,82896,12,6908,Contract Finished
5723,3674,2017-09-10,23628,12,1969,Contract Finished
6120,5481,2017-09-11,209184,48,4358,Contract Finished
6895,9307,2017-09-19,41904,12,3492,Contract Finished
5882,4427,2017-09-26,87816,12,7318,Contract Finished
5754,3834,2017-09-28,23052,12,1921,Contract Finished
6594,7824,2017-09-28,189696,24,7904,Loan not payed
6738,8566,2017-09-29,230220,36,6395,Loan not payed
6624,7965,2017-09-30,71460,12,5955,Contract Finished
6216,5952,2017-09-30,141240,24,5885,Contract Finished
6229,6040,2017-10-02,11736,24,489,Contract Finished
5887,4448,2017-10-03,192744,36,5354,Contract Finished
6808,8982,2017-10-12,227880,36,6330,Contract Finished
6297,6363,2017-10-25,17508,12,1459,Contract Finished
5161,1012,2017-10-28,98184,24,4091,Contract Finished
5390,2167,2017-10-30,170256,24,7094,Contract Finished
6150,5622,2017-11-02,83016,12,6918,Contract Finished
6223,5991,2017-11-03,61056,48,1272,Contract Finished
5032,290,2017-11-03,123696,48,2577,Contract Finished
6253,6148,2017-11-04,59760,24,2490,Contract Finished
6460,7133,2017-11-06,48672,36,1352,Contract Finished
6645,8041,2017-11-06,140400,36,3900,Contract Finished
5176,1106,2017-11-12,192552,24,8023,Loan not payed
5269,1527,2017-11-19,164052,36,4557,Loan not payed
5351,1978,2017-12-04,205200,36,5700,Contract Finished
5861,4337,2017-12-08,51408,24,2142,Contract Finished
5450,2345,2017-12-11,199680,60,3328,Running Contract
7142,10451,2017-12-19,482940,60,8049,Client in debt
6306,6425,2017-12-20,36684,12,3057,Contract Finished
6272,6226,2017-12-20,398640,60,6644,Running Contract
5044,344,2017-12-21,100980,60,1683,Running Contract
5576,2962,2017-12-21,31248,12,2604,Contract Finished
7192,10738,2017-12-21,115992,36,3222,Contract Finished
5739,3747,2018-01-02,76380,12,6365,Contract Finished
6526,7523,2018-01-03,288468,36,8013,Contract Finished
5624,3166,2018-01-03,177744,48,3703,Client in debt
6244,6118,2018-01-08,270648,36,7518,Loan not payed
5131,816,2018-01-08,48624,24,2026,Contract Finished
6960,9640,2018-01-11,76416,24,3184,Contract Finished
6358,6715,2018-01-14,137880,60,2298,Client in debt
5418,2245,2018-01-16,347952,48,7249,Running Contract
6598,7857,2018-01-18,68112,12,5676,Contract Finished
5464,2419,2018-01-30,95808,12,7984,Contract Finished
6591,7819,2018-02-02,20832,48,434,Running Contract
5724,3678,2018-02-05,316140,60,5269,Client in debt
6315,6472,2018-02-06,43164,12,3597,Contract Finished
5876,4413,2018-02-08,221280,48,4610,Running Contract
6986,9750,2018-02-11,151728,48,3161,Client in debt
6294,6353,2018-02-12,79920,60,1332,Running Contract
5132,817,2018-02-17,538500,60,8975,Running Contract
5877,4414,2018-02-23,97224,24,4051,Contract Finished
6227,6030,2018-03-04,28248,24,1177,Contract Finished
7241,11021,2018-03-04,168984,24,7041,Loan not payed
6737,8564,2018-03-11,76680,24,3195,Contract Finished
7004,9869,2018-03-15,331560,60,5526,Running Contract
6169,5700,2018-03-16,103680,60,1728,Client in debt
5208,1247,2018-03-16,99696,48,2077,Client in debt
6694,8316,2018-03-19,134784,24,5616,Contract Finished
5599,3064,2018-03-21,15420,12,1285,Contract Finished
6546,7607,2018-03-27,31728,24,1322,Contract Finished
5414,2228,2018-03-29,185952,48,3874,Running Contract
5453,2361,2018-04-01,156672,36,4352,Contract Finished
5740,3752,2018-04-02,18564,12,1547,Contract Finished
5804,4079,2018-04-05,158976,48,3312,Running Contract
6745,8625,2018-04-10,47304,24,1971,Contract Finished
6950,9591,2018-04-11,104712,24,4363,Contract Finished
6996,9828,2018-04-13,126600,24,5275,Contract Finished
5352,1993,2018-04-15,68400,12,5700,Loan not payed
6151,5628,2018-04-25,225420,60,3757,Running Contract
5310,1762,2018-04-28,248148,36,6893,Contract Finished
5045,347,2018-05-01,187224,24,7801,Loan not payed
6929,9472,2018-05-08,36396,12,3033,Contract Finished
5151,960,2018-05-24,189060,60,3151,Running Contract
5212,1256,2018-05-29,71064,36,1974,Contract Finished
5138,854,2018-05-30,87216,48,1817,Running Contract
5713,3629,2018-05-30,158760,60,2646,Running Contract
6704,8377,2018-06-01,417060,60,6951,Running Contract
6474,7190,2018-06-06,63360,60,1056,Running Contract
6676,8159,2018-06-13,29784,24,1241,Contract Finished
6965,9656,2018-06-13,139536,24,5814,Contract Finished
6725,8489,2018-06-23,265320,36,7370,Contract Finished
7166,10630,2018-06-24,198240,24,8260,Contract Finished
7138,10440,2018-07-03,60000,60,1000,Running Contract
5970,4774,2018-07-09,465072,48,9689,Running Contract
6157,5650,2018-07-10,98592,24,4108,Contract Finished
6153,5632,2018-07-25,285600,60,4760,Running Contract
5693,3489,2018-08-01,44088,24,1837,Contract Finished
5922,4580,2018-08-05,20220,12,1685,Contract Finished
5959,4727,2018-08-11,107640,24,4485,Contract Finished
5980,4825,2018-08-18,21396,12,1783,Contract Finished
6764,8776,2018-08-26,33984,48,708,Running Contract
5237,1375,2018-08-29,45336,24,1889,Contract Finished
6726,8492,2018-09-03,85860,60,1431,Running Contract
6933,9493,2018-09-09,188688,48,3931,Running Contract
5145,915,2018-09-16,309552,48,6449,Running Contract
7008,9897,2018-09-22,36168,12,3014,Contract Finished
7227,10942,2018-10-02,314520,60,5242,Running Contract
6600,7861,2018-10-08,21852,36,607,Contract Finished
6712,8405,2018-10-14,266220,60,4437,Running Contract
7057,10093,2018-10-20,231696,36,6436,Contract Finished
7176,10663,2018-10-28,260028,36,7223,Contract Finished
7304,11349,2018-10-29,419880,60,6998,Running Contract
6362,6738,2018-10-31,37908,12,3159,Contract Finished
5880,4423,2018-10-31,73836,36,2051,Contract Finished
6535,7546,2018-11-02,41952,12,3496,Contract Finished
5449,2343,2018-11-04,99336,24,4139,Contract Finished
6342,6609,2018-11-12,60156,36,1671,Loan not payed
5409,2218,2018-11-18,182040,60,3034,Running Contract
6955,9627,2018-11-22,244368,48,5091,Running Contract
6985,9731,2018-11-22,113796,36,3161,Contract Finished
5125,789,2018-11-23,73056,48,1522,Running Contract
5805,4081,2018-11-28,137904,24,5746,Loan not payed
6185,5774,2018-11-28,31176,24,1299,Contract Finished
7243,11042,2018-12-04,217152,36,6032,Contract Finished
6403,6924,2018-12-05,194880,48,4060,Running Contract
6578,7765,2018-12-11,27984,12,2332,Contract Finished
5413,2227,2018-12-12,92976,24,3874,Contract Finished
6949,9583,2018-12-12,104712,24,4363,Contract Finished
6545,7606,2018-12-12,191880,60,3198,Running Contract
6178,5742,2018-12-16,232560,48,4845,Running Contract
5160,1011,2018-12-18,204000,60,3400,Running Contract
6785,8899,2018-12-25,125340,60,2089,Running Contract
6540,7562,2018-12-31,309600,48,6450,Running Contract
6589,7815,2019-01-01,189696,24,7904,Contract Finished
5900,4503,2019-01-01,135360,48,2820,Running Contract
5999,4907,2019-01-03,98832,48,2059,Running Contract
6043,5126,2019-01-11,20352,48,424,Running Contract
5482,2496,2019-01-12,165120,60,2752,Running Contract
7263,11138,2019-01-19,89880,24,3745,Contract Finished
6013,4995,2019-02-03,128988,36,3583,Client in debt
5750,3804,2019-02-08,63252,12,5271,Contract Finished
6027,5066,2019-02-10,61656,24,2569,Loan not payed
6303,6400,2019-02-12,72408,24,3017,Loan not payed
7213,10884,2019-02-13,113544,36,3154,Running Contract
6659,8092,2019-02-20,56100,60,935,Running Contract
6175,5735,2019-02-21,290700,60,4845,Client in debt
5610,3112,2019-02-24,123216,48,2567,Running Contract
5563,2912,2019-03-01,380160,60,6336,Running Contract
5989,4852,2019-03-04,213300,36,5925,Running Contract
6698,8327,2019-03-10,247728,48,5161,Running Contract
5312,1772,2019-03-13,202788,36,5633,Running Contract
7189,10728,2019-03-21,154656,48,3222,Running Contract
6816,9017,2019-03-26,100224,48,2088,Client in debt
6137,5574,2019-04-10,44628,12,3719,Contract Finished
5128,808,2019-04-11,215616,48,4492,Client in debt
5470,2456,2019-04-15,200976,48,4187,Running Contract
5593,3037,2019-04-18,277884,36,7719,Client in debt
5350,1967,2019-04-21,249312,48,5194,Running Contract
6063,5213,2019-04-25,320976,48,6687,Client in debt
6501,7418,2019-04-29,30276,12,2523,Loan not payed
5452,2352,2019-04-29,49440,60,824,Running Contract
4961,19,2019-04-29,30276,12,2523,Loan not payed
4973,67,2019-05-02,165960,24,6915,Contract Finished
6190,5794,2019-05-06,123600,60,2060,Running Contract
6715,8411,2019-05-06,220620,60,3677,Running Contract
5892,4462,2019-05-14,66480,24,2770,Loan not payed
6550,7614,2019-05-18,320592,48,6679,Running Contract
5706,3608,2019-05-24,161496,36,4486,Running Contract
5148,940,2019-05-29,284280,60,4738,Running Contract
6734,8547,2019-05-30,173016,36,4806,Running Contract
6109,5422,2019-06-03,368880,60,6148,Running Contract
6961,9645,2019-06-06,176148,36,4893,Running Contract
6810,9006,2019-06-08,186384,48,3883,Running Contract
5494,2572,2019-06-13,360000,48,7500,Running Contract
5311,1766,2019-06-15,30060,60,501,Running Contract
5445,2322,2019-06-29,46320,24,1930,Contract Finished
5301,1698,2019-07-06,141948,36,3943,Running Contract
7034,10001,2019-07-11,19044,36,529,Running Contract
6751,8680,2019-07-14,85716,36,2381,Running Contract
6667,8127,2019-07-15,155880,24,6495,Contract Finished
6130,5541,2019-07-18,32640,48,680,Running Contract
5429,2268,2019-07-18,20196,36,561,Running Contract
5725,3679,2019-07-23,444864,48,9268,Running Contract
6019,5033,2019-07-25,11400,12,950,Contract Finished
6421,6985,2019-07-25,96768,36,2688,Running Contract
6992,9790,2019-07-27,133968,48,2791,Running Contract
5136,846,2019-07-28,187104,24,7796,Contract Finished
5337,1886,2019-07-31,162468,36,4513,Running Contract
5495,2580,2019-08-02,89340,60,1489,Running Contract
7013,9928,2019-08-02,89340,60,1489,Running Contract
6012,4994,2019-08-03,258444,36,7179,Running Contract
6471,7184,2019-08-04,155640,24,6485,Contract Finished
6296,6358,2019-08-06,270384,48,5633,Running Contract
7305,11359,2019-08-06,54024,12,4502,Contract Finished
6144,5593,2019-08-09,44376,12,3698,Contract Finished
6283,6289,2019-08-11,85632,48,1784,Running Contract
7246,11054,2019-08-20,148920,60,2482,Running Contract
5088,544,2019-08-22,91152,24,3798,Contract Finished
5988,4851,2019-08-22,141648,24,5902,Contract Finished
5282,1583,2019-08-24,388512,48,8094,Client in debt
5938,4650,2019-08-25,402000,60,6700,Running Contract
5606,3084,2019-08-28,253512,36,7042,Client in debt
5385,2143,2019-09-09,71460,36,1985,Running Contract
6865,9199,2019-09-11,29448,12,2454,Loan not payed
5586,2994,2019-09-14,48744,36,1354,Running Contract
6302,6397,2019-09-16,181020,60,3017,Running Contract
7194,10762,2019-09-17,68832,36,1912,Running Contract
6461,7136,2019-09-19,74124,36,2059,Running Contract
6732,8533,2019-09-19,174048,48,3626,Running Contract
6613,7926,2019-09-22,84120,24,3505,Contract Finished
7036,10019,2019-09-25,194940,36,5415,Running Contract
5897,4476,2019-09-25,15192,24,633,Contract Finished
6995,9814,2019-09-26,96168,12,8014,Contract Finished
5415,2236,2019-09-26,139464,36,3874,Client in debt
7136,10436,2019-09-28,54396,36,1511,Running Contract
7271,11186,2019-10-02,392460,60,6541,Running Contract
5375,2106,2019-10-03,101520,12,8460,Contract Finished
5635,3230,2019-10-04,77184,36,2144,Running Contract
6817,9024,2019-10-04,70656,48,1472,Running Contract
5923,4585,2019-10-10,64656,48,1347,Running Contract
5329,1862,2019-10-16,396120,60,6602,Running Contract
6644,8039,2019-10-20,93600,24,3900,Contract Finished
6354,6688,2019-10-23,22968,36,638,Running Contract
5082,501,2019-10-24,262980,60,4383,Running Contract
6585,7795,2019-10-29,372120,60,6202,Running Contract
6921,9422,2019-10-29,86184,12,7182,Contract Finished
5366,2062,2019-10-29,86184,12,7182,Contract Finished
5886,4447,2019-10-31,192744,36,5354,Running Contract
5741,3754,2019-11-03,68544,24,2856,Contract Finished
4996,132,2019-11-06,88440,12,7370,Contract Finished
6015,5001,2019-11-09,110112,24,4588,Contract Finished
6309,6434,2019-11-11,110136,24,4589,Contract Finished
6073,5263,2019-11-12,276300,60,4605,Running Contract
6006,4948,2019-11-15,359760,60,5996,Running Contract
5611,3115,2019-11-15,321180,60,5353,Running Contract
6944,9548,2019-11-15,46176,48,962,Running Contract
7101,10297,2019-11-18,421008,48,8771,Running Contract
6599,7859,2019-11-19,72120,12,6010,Contract Finished
6940,9510,2019-11-22,228276,36,6341,Running Contract
5209,1250,2019-11-25,182640,48,3805,Running Contract
5388,2153,2019-11-28,61560,12,5130,Contract Finished
6011,4981,2019-11-28,179328,48,3736,Running Contract
5591,3021,2019-12-04,155616,48,3242,Running Contract
7154,10520,2019-12-05,417600,60,6960,Running Contract
7130,10411,2019-12-11,123408,24,5142,Contract Finished
6818,9030,2019-12-12,155616,48,3242,Running Contract
5625,3189,2019-12-15,222180,60,3703,Client in debt
6805,8972,2019-12-21,45024,48,938,Running Contract
7233,10963,2019-12-25,115812,36,3217,Running Contract
7308,11362,2019-12-27,129408,24,5392,Contract Finished
5895,4473,2020-01-03,93960,60,1566,Running Contract
7122,10365,2020-01-04,260640,36,7240,Client in debt
6173,5724,2020-01-08,232560,48,4845,Running Contract
6142,5591,2020-01-21,221880,60,3698,Running Contract
5358,2018,2020-01-21,38520,12,3210,Contract Finished
6095,5358,2020-01-24,68340,60,1139,Running Contract
6878,9242,2020-01-24,23184,12,1932,Contract Finished
6554,7637,2020-01-29,390096,48,8127,Running Contract
6793,8931,2020-01-30,186300,60,3105,Running Contract
7286,11271,2020-01-31,67320,36,1870,Running Contract
6076,5269,2020-02-02,117420,60,1957,Running Contract
5134,825,2020-02-02,53076,12,4423,Contract Finished
5419,2246,2020-02-05,415800,60,6930,Running Contract
6255,6158,2020-02-08,247920,48,5165,Client in debt
5656,3353,2020-02-09,146064,24,6086,Running Contract
6934,9494,2020-02-09,116832,12,9736,Contract Finished
6028,5072,2020-02-09,317520,60,5292,Running Contract
6490,7262,2020-02-10,73260,60,1221,Running Contract
6415,6950,2020-02-12,475680,48,9910,Running Contract
7087,10215,2020-02-20,44304,24,1846,Running Contract
5420,2247,2020-02-24,72504,24,3021,Running Contract
5977,4803,2020-02-25,59136,48,1232,Running Contract
6824,9052,2020-02-26,71976,24,2999,Client in debt
5207,1244,2020-02-28,35904,48,748,Running Contract
7115,10351,2020-03-04,88704,48,1848,Running Contract
7250,11069,2020-03-04,119136,48,2482,Running Contract
6010,4969,2020-03-06,150180,60,2503,Running Contract
6088,5317,2020-03-07,90180,36,2505,Running Contract
5682,3455,2020-03-07,67464,12,5622,Contract Finished
7201,10807,2020-03-07,67464,12,5622,Contract Finished
6938,9504,2020-03-10,341280,60,5688,Running Contract
6875,9235,2020-03-13,83280,48,1735,Running Contract
5953,4715,2020-03-14,97176,24,4049,Running Contract
5942,4681,2020-03-15,162624,48,3388,Running Contract
5382,2134,2020-03-17,22932,36,637,Running Contract
6377,6792,2020-03-17,17184,12,1432,Contract Finished
5931,4618,2020-03-17,66696,24,2779,Client in debt
5992,4863,2020-03-18,76080,12,6340,Contract Finished
5790,4033,2020-03-20,84288,48,1756,Running Contract
6753,8688,2020-03-20,67980,12,5665,Contract Finished
6562,7674,2020-03-21,94488,24,3937,Running Contract
7046,10049,2020-03-28,91632,12,7636,Contract Finished
5868,4361,2020-03-29,90156,12,7513,Contract Finished
5784,3967,2020-03-29,84600,36,2350,Client in debt
5878,4415,2020-04-01,74040,12,6170,Contract Finished
5110,675,2020-04-01,102240,60,1704,Running Contract
5210,1252,2020-04-01,148140,36,4115,Running Contract
7230,10954,2020-04-02,18720,60,312,Running Contract
5005,176,2020-04-10,27456,12,2288,Contract Finished
6871,9225,2020-04-13,164256,48,3422,Running Contract
5363,2051,2020-04-22,293880,60,4898,Client in debt
7253,11079,2020-04-26,98304,12,8192,Contract Finished
6055,5181,2020-04-28,399120,60,6652,Running Contract
5072,472,2020-04-28,196800,24,8200,Client in debt
6913,9377,2020-04-29,99936,24,4164,Running Contract
6386,6856,2020-04-30,124344,36,3454,Running Contract
5634,3229,2020-05-01,39024,12,3252,Contract Finished
5758,3859,2020-05-02,307200,60,5120,Client in debt
6819,9031,2020-05-03,50112,24,2088,Running Contract
7088,10233,2020-05-03,239160,60,3986,Running Contract
5039,314,2020-05-03,66840,24,2785,Running Contract
5532,2754,2020-05-04,335280,48,6985,Running Contract
6037,5118,2020-05-04,53232,48,1109,Running Contract
6322,6510,2020-05-06,76992,24,3208,Running Contract
6887,9263,2020-05-08,39576,12,3298,Contract Finished
6660,8094,2020-05-09,220428,36,6123,Running Contract
5451,2350,2020-05-11,159744,48,3328,Running Contract
6014,4999,2020-05-18,165168,36,4588,Running Contract
5556,2872,2020-05-19,268320,60,4472,Running Contract
6346,6649,2020-05-22,100260,60,1671,Running Contract
5850,4293,2020-05-22,164196,36,4561,Running Contract
5940,4660,2020-05-28,106944,24,4456,Running Contract
7119,10361,2020-06-02,86880,12,7240,Contract Finished
5253,1447,2020-06-03,100080,48,2085,Running Contract
6851,9138,2020-06-03,272220,60,4537,Client in debt
6695,8320,2020-06-04,309660,60,5161,Running Contract
6908,9353,2020-06-08,188616,24,7859,Running Contract
7255,11096,2020-06-09,213300,60,3555,Running Contract
5674,3418,2020-06-10,207264,48,4318,Running Contract
6278,6265,2020-06-10,87360,24,3640,Running Contract
5486,2516,2020-06-13,466608,48,9721,Running Contract
5174,1093,2020-06-13,385104,48,8023,Running Contract
6621,7957,2020-06-14,42900,12,3575,Contract Finished
6313,6461,2020-06-15,150912,36,4192,Running Contract
6435,7045,2020-06-16,288720,48,6015,Running Contract
6970,9677,2020-06-17,31620,60,527,Running Contract
6310,6440,2020-06-17,34572,12,2881,Contract Finished
5932,4626,2020-06-18,33348,12,2779,Contract Finished
6877,9241,2020-06-19,285240,60,4754,Running Contract
6763,8772,2020-06-19,88272,48,1839,Running Contract
7085,10202,2020-06-19,305424,48,6363,Running Contract
7049,10063,2020-06-24,233424,36,6484,Running Contract
6959,9633,2020-06-30,59448,24,2477,Client in debt
5214,1270,2020-07-01,74772,36,2077,Running Contract
6350,6678,2020-07-09,294384,48,6133,Running Contract
5063,442,2020-07-10,357840,48,7455,Client in debt
5041,319,2020-07-11,369000,60,6150,Running Contract
5086,525,2020-07-16,210384,48,4383,Running Contract
6942,9513,2020-07-16,18324,12,1527,Contract Finished
5270,1528,2020-07-21,191088,48,3981,Running Contract
6705,8381,2020-07-25,333648,48,6951,Client in debt
7051,10068,2020-07-28,77808,12,6484,Contract Finished
6758,8742,2020-07-29,33144,12,2762,Contract Finished
6249,6138,2020-07-30,67608,24,2817,Running Contract
5808,4099,2020-07-31,41856,48,872,Running Contract
5377,2116,2020-08-04,92400,12,7700,Contract Finished
5446,2334,2020-08-04,48312,24,2013,Running Contract
5856,4320,2020-08-09,51360,12,4280,Loan not payed
4986,97,2020-08-10,102876,12,8573,Contract Finished
7001,9859,2020-08-10,300600,60,5010,Running Contract
6677,8169,2020-08-12,97980,60,1633,Running Contract
6665,8114,2020-08-15,99300,60,1655,Running Contract
5817,4127,2020-08-15,100800,24,4200,Client in debt
6984,9730,2020-08-15,116040,60,1934,Running Contract
6541,7565,2020-08-17,153504,48,3198,Running Contract
5117,718,2020-08-20,76944,12,6412,Contract Finished
6097,5362,2020-08-21,202848,48,4226,Running Contract
5389,2165,2020-08-22,78600,24,3275,Running Contract
7219,10905,2020-08-23,57120,48,1190,Running Contract
6338,6592,2020-08-24,390660,60,6511,Running Contract
6922,9424,2020-08-26,83628,36,2323,Running Contract
5367,2064,2020-08-26,83628,36,2323,Running Contract
5638,3249,2020-08-27,68124,12,5677,Contract Finished
5830,4190,2020-08-28,405780,60,6763,Running Contract
5338,1888,2020-08-30,57360,12,4780,Loan not payed
6007,4949,2020-08-30,289920,48,6040,Running Contract
6612,7907,2020-08-31,97392,12,8116,Contract Finished
5718,3637,2020-09-01,14028,12,1169,Contract Finished
6104,5395,2020-09-05,158184,36,4394,Running Contract
5229,1329,2020-09-06,23520,12,1960,Contract Finished
6625,7966,2020-09-07,473280,60,7888,Client in debt
5206,1242,2020-09-07,128544,24,5356,Running Contract
5963,4746,2020-09-07,204780,60,3413,Running Contract
4990,110,2020-09-08,162576,36,4516,Running Contract
6641,8026,2020-09-09,128268,36,3563,Running Contract
5369,2080,2020-09-12,214596,36,5961,Running Contract
6196,5837,2020-09-14,177804,36,4939,Running Contract
5236,1374,2020-09-15,389136,48,8107,Running Contract
5719,3664,2020-09-20,271584,48,5658,Running Contract
5643,3273,2020-09-21,94512,12,7876,Loan not payed
7050,10065,2020-09-23,311232,48,6484,Running Contract
6355,6699,2020-09-24,127200,48,2650,Running Contract
6688,8268,2020-09-26,8616,24,359,Running Contract
6239,6083,2020-09-28,360864,48,7518,Client in debt
5531,2753,2020-09-30,66432,24,2768,Running Contract
6113,5445,2020-10-01,78696,36,2186,Running Contract
7181,10679,2020-10-02,197808,24,8242,Running Contract
6118,5477,2020-10-04,349392,48,7279,Running Contract
7264,11141,2020-10-07,44940,12,3745,Contract Finished
5343,1906,2020-10-08,44952,24,1873,Running Contract
5051,378,2020-10-11,230400,60,3840,Running Contract
5779,3942,2020-10-14,107352,36,2982,Running Contract
6605,7890,2020-10-14,79344,48,1653,Running Contract
6655,8085,2020-10-17,260400,60,4340,Client in debt
6534,7542,2020-10-19,590820,60,9847,Running Contract
5681,3448,2020-10-20,68664,24,2861,Running Contract
6607,7894,2020-10-21,153144,36,4254,Running Contract
6242,6097,2020-10-22,26208,36,728,Running Contract
7242,11027,2020-10-23,48096,24,2004,Running Contract
7277,11231,2020-10-24,89280,12,7440,Contract Finished
6675,8158,2020-11-01,238716,36,6631,Running Contract
5398,2187,2020-11-04,53472,12,4456,Contract Finished
5956,4725,2020-11-04,168264,36,4674,Running Contract
5731,3711,2020-11-05,460980,60,7683,Client in debt
6956,9631,2020-11-09,59448,24,2477,Running Contract
6437,7052,2020-11-09,63972,36,1777,Client in debt
5447,2335,2020-11-12,541200,60,9020,Client in debt
5973,4784,2020-11-24,219456,48,4572,Running Contract
6075,5267,2020-11-26,129312,24,5388,Client in debt
5281,1580,2020-11-27,194256,24,8094,Running Contract
5103,666,2020-11-28,12540,12,1045,Contract Finished
6468,7176,2020-11-30,203940,60,3399,Running Contract
7209,10857,2020-11-30,385560,60,6426,Client in debt
5584,2986,2020-12-06,24792,24,1033,Running Contract
4988,103,2020-12-06,265320,36,7370,Client in debt
6502,7424,2020-12-08,30276,12,2523,Contract Finished
5651,3329,2020-12-08,19248,12,1604,Contract Finished
4962,25,2020-12-08,30276,12,2523,Contract Finished
5862,4342,2020-12-09,100128,24,4172,Running Contract
7199,10789,2020-12-09,45768,12,3814,Contract Finished
6727,8505,2020-12-10,42840,12,3570,Contract Finished
7279,11244,2020-12-11,155760,24,6490,Running Contract
