account_id,district_id,frequency,Date,Account_type,Card_Assigned
232,45,MONTHLY ISSUANCE,2020-11-29,Savings account,Silver
1798,46,MONTHLY ISSUANCE,2020-11-28,Savings account,Silver
421,75,MONTHLY ISSUANCE,2020-11-27,NRI account,Silver
3715,74,MONTHLY ISSUANCE,2020-11-27,Savings account,Silver
934,9,MONTHLY ISSUANCE,2020-11-27,Savings account,Silver
3333,44,MONTHLY ISSUANCE,2020-11-27,Salary account,Silver
215,31,MONTHLY ISSUANCE,2020-11-25,Salary account,Silver
1523,52,ISSUANCE AFTER TRANSACTION,2020-11-24,NRI account,Gold
3102,33,MONTHLY ISSUANCE,2020-11-23,Savings account,Silver
295,66,MONTHLY ISSUANCE,2020-11-23,NRI account,Silver
2979,10,MONTHLY ISSUANCE,2020-11-22,Savings account,Silver
2850,57,MONTHLY ISSUANCE,2020-11-22,Savings account,Silver
2832,12,MONTHLY ISSUANCE,2020-11-22,Salary account,Silver
3105,37,MONTHLY ISSUANCE,2020-11-21,Savings account,Silver
2162,50,MONTHLY ISSUANCE,2020-11-21,NRI account,Silver
1125,1,WEEKLY ISSUANCE,2020-11-21,Savings account,Diamond
3382,23,WEEKLY ISSUANCE,2020-11-20,Savings account,Diamond
2125,43,WEEKLY ISSUANCE,2020-11-20,NRI account,Diamond
3396,1,MONTHLY ISSUANCE,2020-11-20,Salary account,Silver
3365,11,MONTHLY ISSUANCE,2020-11-18,Savings account,Silver
2693,17,MONTHLY ISSUANCE,2020-11-17,NRI account,Silver
1866,4,MONTHLY ISSUANCE,2020-11-17,Savings account,Silver
149,43,MONTHLY ISSUANCE,2020-11-16,NRI account,Silver
3082,33,MONTHLY ISSUANCE,2020-11-16,NRI account,Silver
3156,1,ISSUANCE AFTER TRANSACTION,2020-11-16,Salary account,Gold
2438,71,MONTHLY ISSUANCE,2020-11-16,Salary account,Silver
1833,54,MONTHLY ISSUANCE,2020-11-15,Salary account,Silver
2221,58,MONTHLY ISSUANCE,2020-11-15,NRI account,Silver
2658,27,MONTHLY ISSUANCE,2020-11-14,Salary account,Silver
2721,74,MONTHLY ISSUANCE,2020-11-14,NRI account,Silver
2920,73,MONTHLY ISSUANCE,2020-11-13,Savings account,Silver
566,8,MONTHLY ISSUANCE,2020-11-13,Savings account,Silver
1245,68,MONTHLY ISSUANCE,2020-11-12,NRI account,Silver
1348,55,MONTHLY ISSUANCE,2020-11-12,Savings account,Silver
3423,11,MONTHLY ISSUANCE,2020-11-10,Salary account,Silver
2831,1,MONTHLY ISSUANCE,2020-11-10,Savings account,Silver
2211,61,ISSUANCE AFTER TRANSACTION,2020-11-10,Salary account,Gold
3360,71,MONTHLY ISSUANCE,2020-11-10,Salary account,Silver
952,41,MONTHLY ISSUANCE,2020-11-09,Savings account,Silver
696,54,MONTHLY ISSUANCE,2020-11-09,NRI account,Silver
2998,21,MONTHLY ISSUANCE,2020-11-09,Salary account,Silver
867,60,MONTHLY ISSUANCE,2020-11-09,NRI account,Silver
1208,4,MONTHLY ISSUANCE,2020-11-09,Savings account,Silver
2391,2,MONTHLY ISSUANCE,2020-11-07,NRI account,Silver
1140,49,MONTHLY ISSUANCE,2020-11-07,Salary account,Silver
644,4,MONTHLY ISSUANCE,2020-11-06,NRI account,Silver
2402,18,MONTHLY ISSUANCE,2020-11-06,NRI account,Silver
3395,16,MONTHLY ISSUANCE,2020-11-05,NRI account,Silver
2296,29,MONTHLY ISSUANCE,2020-11-05,Savings account,Silver
10613,55,MONTHLY ISSUANCE,2020-11-04,Salary account,Silver
606,75,MONTHLY ISSUANCE,2020-11-04,NRI account,Silver
9227,51,MONTHLY ISSUANCE,2020-11-04,NRI account,Silver
1723,70,MONTHLY ISSUANCE,2020-11-04,Salary account,Silver
3404,33,MONTHLY ISSUANCE,2020-11-04,Savings account,Silver
1657,12,MONTHLY ISSUANCE,2020-11-04,Salary account,Silver
639,1,MONTHLY ISSUANCE,2020-11-03,NRI account,Silver
3325,11,MONTHLY ISSUANCE,2020-11-03,NRI account,Silver
1703,72,MONTHLY ISSUANCE,2020-11-02,Savings account,Silver
3598,76,MONTHLY ISSUANCE,2020-11-02,Savings account,Silver
782,42,MONTHLY ISSUANCE,2020-10-30,Salary account,Silver
2784,40,MONTHLY ISSUANCE,2020-10-30,NRI account,Silver
671,60,MONTHLY ISSUANCE,2020-10-29,Salary account,Silver
643,64,MONTHLY ISSUANCE,2020-10-28,Savings account,Silver
1340,52,MONTHLY ISSUANCE,2020-10-28,NRI account,Silver
2703,61,MONTHLY ISSUANCE,2020-10-28,Savings account,Silver
2413,33,MONTHLY ISSUANCE,2020-10-27,Savings account,Silver
3963,9,MONTHLY ISSUANCE,2020-10-27,Salary account,Silver
876,4,MONTHLY ISSUANCE,2020-10-26,Salary account,Silver
1172,6,MONTHLY ISSUANCE,2020-10-25,Savings account,Silver
398,69,MONTHLY ISSUANCE,2020-10-24,NRI account,Silver
2174,18,MONTHLY ISSUANCE,2020-10-24,Savings account,Silver
3705,20,MONTHLY ISSUANCE,2020-10-24,Salary account,Silver
1209,23,MONTHLY ISSUANCE,2020-10-23,NRI account,Silver
2371,15,WEEKLY ISSUANCE,2020-10-23,Salary account,Diamond
852,57,MONTHLY ISSUANCE,2020-10-23,Savings account,Silver
2152,22,MONTHLY ISSUANCE,2020-10-23,Savings account,Silver
3857,54,MONTHLY ISSUANCE,2020-10-22,Salary account,Silver
156,64,MONTHLY ISSUANCE,2020-10-22,Savings account,Silver
3922,68,MONTHLY ISSUANCE,2020-10-22,NRI account,Silver
2910,68,MONTHLY ISSUANCE,2020-10-21,NRI account,Silver
2756,24,MONTHLY ISSUANCE,2020-10-21,Savings account,Silver
1572,72,MONTHLY ISSUANCE,2020-10-21,NRI account,Silver
1615,1,MONTHLY ISSUANCE,2020-10-20,Salary account,Silver
2311,28,MONTHLY ISSUANCE,2020-10-19,NRI account,Silver
2556,46,MONTHLY ISSUANCE,2020-10-19,Savings account,Silver
961,1,MONTHLY ISSUANCE,2020-10-18,Savings account,Silver
2579,24,MONTHLY ISSUANCE,2020-10-18,Savings account,Silver
3919,34,MONTHLY ISSUANCE,2020-10-18,NRI account,Silver
3875,44,MONTHLY ISSUANCE,2020-10-18,NRI account,Silver
550,24,MONTHLY ISSUANCE,2020-10-17,Savings account,Silver
3324,3,MONTHLY ISSUANCE,2020-10-17,Salary account,Silver
1061,44,MONTHLY ISSUANCE,2020-10-17,Salary account,Silver
2215,48,MONTHLY ISSUANCE,2020-10-17,Salary account,Silver
2053,5,MONTHLY ISSUANCE,2020-10-16,NRI account,Silver
3561,33,MONTHLY ISSUANCE,2020-10-15,Salary account,Silver
1807,21,MONTHLY ISSUANCE,2020-10-15,NRI account,Silver
11327,7,MONTHLY ISSUANCE,2020-10-15,NRI account,Silver
2231,2,MONTHLY ISSUANCE,2020-10-14,Salary account,Silver
966,15,MONTHLY ISSUANCE,2020-10-14,Salary account,Silver
1968,16,WEEKLY ISSUANCE,2020-10-14,NRI account,Diamond
2879,15,MONTHLY ISSUANCE,2020-10-14,NRI account,Silver
3023,35,MONTHLY ISSUANCE,2020-10-14,Savings account,Silver
1279,28,MONTHLY ISSUANCE,2020-10-13,NRI account,Silver
502,1,MONTHLY ISSUANCE,2020-10-13,Salary account,Silver
1506,51,MONTHLY ISSUANCE,2020-10-13,Savings account,Silver
5708,64,WEEKLY ISSUANCE,2020-10-12,NRI account,Diamond
7049,69,MONTHLY ISSUANCE,2020-10-12,NRI account,Silver
121,55,MONTHLY ISSUANCE,2020-10-11,NRI account,Silver
1727,9,MONTHLY ISSUANCE,2020-10-11,Savings account,Silver
2097,46,MONTHLY ISSUANCE,2020-10-11,Savings account,Silver
133,64,WEEKLY ISSUANCE,2020-10-11,Savings account,Diamond
2897,51,MONTHLY ISSUANCE,2020-10-11,Savings account,Silver
745,43,MONTHLY ISSUANCE,2020-10-09,Salary account,Silver
3813,1,MONTHLY ISSUANCE,2020-10-09,NRI account,Silver
1342,9,MONTHLY ISSUANCE,2020-10-09,Savings account,Silver
2069,72,MONTHLY ISSUANCE,2020-10-08,Savings account,Silver
205,1,MONTHLY ISSUANCE,2020-10-08,Savings account,Silver
1150,29,MONTHLY ISSUANCE,2020-10-08,Salary account,Silver
1608,26,MONTHLY ISSUANCE,2020-10-08,Salary account,Silver
1494,1,MONTHLY ISSUANCE,2020-10-08,NRI account,Silver
2272,48,MONTHLY ISSUANCE,2020-10-08,Savings account,Silver
2634,45,MONTHLY ISSUANCE,2020-10-08,Savings account,Silver
4143,55,MONTHLY ISSUANCE,2020-10-07,Salary account,Silver
2133,11,MONTHLY ISSUANCE,2020-10-07,Salary account,Silver
3342,59,MONTHLY ISSUANCE,2020-10-06,NRI account,Silver
2715,42,MONTHLY ISSUANCE,2020-10-06,Salary account,Silver
1596,70,MONTHLY ISSUANCE,2020-10-05,NRI account,Silver
4116,6,MONTHLY ISSUANCE,2020-10-05,NRI account,Silver
3401,38,WEEKLY ISSUANCE,2020-10-04,Salary account,Diamond
2036,70,MONTHLY ISSUANCE,2020-10-03,NRI account,Silver
6866,14,MONTHLY ISSUANCE,2020-10-02,Savings account,Silver
4132,36,MONTHLY ISSUANCE,2020-10-02,Savings account,Silver
2136,75,MONTHLY ISSUANCE,2020-10-02,Savings account,Silver
2370,51,MONTHLY ISSUANCE,2020-10-01,Savings account,Silver
1379,47,MONTHLY ISSUANCE,2020-10-01,NRI account,Silver
1313,45,MONTHLY ISSUANCE,2020-10-01,NRI account,Silver
129,74,MONTHLY ISSUANCE,2020-10-01,Savings account,Silver
2007,45,MONTHLY ISSUANCE,2020-09-29,Savings account,Silver
1064,70,MONTHLY ISSUANCE,2020-09-29,NRI account,Silver
7274,11,MONTHLY ISSUANCE,2020-09-28,NRI account,Silver
3383,29,MONTHLY ISSUANCE,2020-09-28,NRI account,Silver
2461,1,MONTHLY ISSUANCE,2020-09-28,Salary account,Silver
3916,8,MONTHLY ISSUANCE,2020-09-28,NRI account,Silver
2745,60,MONTHLY ISSUANCE,2020-09-28,NRI account,Silver
10152,34,MONTHLY ISSUANCE,2020-09-28,NRI account,Silver
2846,1,MONTHLY ISSUANCE,2020-09-27,NRI account,Silver
1443,54,MONTHLY ISSUANCE,2020-09-27,NRI account,Silver
1992,48,MONTHLY ISSUANCE,2020-09-27,NRI account,Silver
755,38,MONTHLY ISSUANCE,2020-09-27,NRI account,Silver
3106,12,WEEKLY ISSUANCE,2020-09-26,Salary account,Diamond
2312,65,MONTHLY ISSUANCE,2020-09-26,NRI account,Silver
177,1,MONTHLY ISSUANCE,2020-09-26,NRI account,Silver
4128,64,MONTHLY ISSUANCE,2020-09-26,Savings account,Silver
89,68,MONTHLY ISSUANCE,2020-09-25,NRI account,Silver
4616,1,MONTHLY ISSUANCE,2020-09-24,Salary account,Silver
3757,64,MONTHLY ISSUANCE,2020-09-24,Savings account,Silver
2942,44,MONTHLY ISSUANCE,2020-09-24,NRI account,Silver
1814,17,MONTHLY ISSUANCE,2020-09-23,NRI account,Silver
1718,71,MONTHLY ISSUANCE,2020-09-23,Salary account,Silver
16,12,MONTHLY ISSUANCE,2020-09-23,Savings account,Silver
1101,4,MONTHLY ISSUANCE,2020-09-22,Salary account,Silver
179,1,WEEKLY ISSUANCE,2020-09-22,Savings account,Diamond
3610,1,MONTHLY ISSUANCE,2020-09-22,NRI account,Silver
3463,38,MONTHLY ISSUANCE,2020-09-21,Salary account,Silver
3103,1,ISSUANCE AFTER TRANSACTION,2020-09-21,NRI account,Gold
1876,1,MONTHLY ISSUANCE,2020-09-20,Savings account,Silver
2765,69,MONTHLY ISSUANCE,2020-09-20,NRI account,Silver
387,72,MONTHLY ISSUANCE,2020-09-19,Salary account,Silver
3300,71,MONTHLY ISSUANCE,2020-09-19,NRI account,Silver
3657,62,MONTHLY ISSUANCE,2020-09-19,NRI account,Silver
823,71,MONTHLY ISSUANCE,2020-09-19,Savings account,Silver
5283,15,MONTHLY ISSUANCE,2020-09-18,Savings account,Silver
1438,23,WEEKLY ISSUANCE,2020-09-18,Salary account,Diamond
328,1,MONTHLY ISSUANCE,2020-09-18,NRI account,Silver
118,68,MONTHLY ISSUANCE,2020-09-18,NRI account,Silver
3603,3,MONTHLY ISSUANCE,2020-09-17,Savings account,Silver
1872,61,MONTHLY ISSUANCE,2020-09-17,NRI account,Silver
3671,21,MONTHLY ISSUANCE,2020-09-17,NRI account,Silver
735,70,MONTHLY ISSUANCE,2020-09-17,NRI account,Silver
3274,76,MONTHLY ISSUANCE,2020-09-17,NRI account,Silver
5870,75,MONTHLY ISSUANCE,2020-09-17,Salary account,Silver
1946,46,MONTHLY ISSUANCE,2020-09-16,Savings account,Silver
402,68,MONTHLY ISSUANCE,2020-09-14,Salary account,Silver
9156,18,MONTHLY ISSUANCE,2020-09-14,Savings account,Silver
3987,25,MONTHLY ISSUANCE,2020-09-14,Salary account,Silver
3852,20,MONTHLY ISSUANCE,2020-09-14,NRI account,Silver
384,24,WEEKLY ISSUANCE,2020-09-14,NRI account,Diamond
677,70,MONTHLY ISSUANCE,2020-09-13,NRI account,Silver
6505,7,MONTHLY ISSUANCE,2020-09-13,Savings account,Silver
1240,1,MONTHLY ISSUANCE,2020-09-11,NRI account,Silver
1783,70,MONTHLY ISSUANCE,2020-09-11,Salary account,Silver
7156,71,MONTHLY ISSUANCE,2020-09-11,NRI account,Silver
1085,42,MONTHLY ISSUANCE,2020-09-11,NRI account,Silver
2684,7,MONTHLY ISSUANCE,2020-09-10,Salary account,Silver
2459,55,MONTHLY ISSUANCE,2020-09-10,Savings account,Silver
2997,40,MONTHLY ISSUANCE,2020-09-09,Salary account,Silver
10650,76,MONTHLY ISSUANCE,2020-09-09,NRI account,Silver
1303,23,MONTHLY ISSUANCE,2020-09-08,Salary account,Silver
783,1,MONTHLY ISSUANCE,2020-09-08,NRI account,Silver
1729,53,MONTHLY ISSUANCE,2020-09-08,NRI account,Silver
1790,70,MONTHLY ISSUANCE,2020-09-08,NRI account,Silver
2351,74,MONTHLY ISSUANCE,2020-09-08,Savings account,Silver
2480,35,MONTHLY ISSUANCE,2020-09-07,NRI account,Silver
2444,76,MONTHLY ISSUANCE,2020-09-07,Savings account,Silver
3516,36,WEEKLY ISSUANCE,2020-09-07,Savings account,Diamond
178,59,MONTHLY ISSUANCE,2020-09-06,Salary account,Silver
2079,55,MONTHLY ISSUANCE,2020-09-06,NRI account,Silver
3444,53,WEEKLY ISSUANCE,2020-09-04,Salary account,Diamond
1764,68,MONTHLY ISSUANCE,2020-09-04,Savings account,Silver
4158,27,MONTHLY ISSUANCE,2020-09-04,Salary account,Silver
585,4,MONTHLY ISSUANCE,2020-09-04,NRI account,Silver
5698,1,MONTHLY ISSUANCE,2020-09-04,NRI account,Silver
10243,44,MONTHLY ISSUANCE,2020-09-03,NRI account,Silver
1026,20,MONTHLY ISSUANCE,2020-09-03,Salary account,Silver
45,64,MONTHLY ISSUANCE,2020-09-02,Salary account,Silver
2172,1,MONTHLY ISSUANCE,2020-09-02,Salary account,Silver
909,30,MONTHLY ISSUANCE,2020-09-02,NRI account,Silver
3950,48,MONTHLY ISSUANCE,2020-09-01,Salary account,Silver
2142,42,MONTHLY ISSUANCE,2020-09-01,Salary account,Silver
2492,73,MONTHLY ISSUANCE,2020-09-01,Savings account,Silver
3901,12,MONTHLY ISSUANCE,2020-08-30,NRI account,Silver
2422,27,MONTHLY ISSUANCE,2020-08-29,Savings account,Silver
3556,58,MONTHLY ISSUANCE,2020-08-29,Salary account,Silver
1154,5,WEEKLY ISSUANCE,2020-08-29,Savings account,Diamond
2317,68,MONTHLY ISSUANCE,2020-08-28,Savings account,Silver
3828,44,MONTHLY ISSUANCE,2020-08-28,Salary account,Silver
3798,15,MONTHLY ISSUANCE,2020-08-27,Salary account,Silver
859,13,MONTHLY ISSUANCE,2020-08-26,NRI account,Silver
2394,62,MONTHLY ISSUANCE,2020-08-23,Savings account,Silver
8639,46,MONTHLY ISSUANCE,2020-08-22,Salary account,Silver
4003,25,MONTHLY ISSUANCE,2020-08-22,Salary account,Silver
3537,45,MONTHLY ISSUANCE,2020-08-22,Salary account,Silver
3070,56,MONTHLY ISSUANCE,2020-08-21,Salary account,Silver
645,70,MONTHLY ISSUANCE,2020-08-21,Savings account,Silver
1795,53,MONTHLY ISSUANCE,2020-08-21,Savings account,Silver
2442,14,MONTHLY ISSUANCE,2020-08-21,NRI account,Silver
2845,62,MONTHLY ISSUANCE,2020-08-21,Salary account,Silver
1845,47,MONTHLY ISSUANCE,2020-08-20,NRI account,Silver
1181,69,MONTHLY ISSUANCE,2020-08-20,NRI account,Silver
2607,1,MONTHLY ISSUANCE,2020-08-19,NRI account,Silver
653,27,MONTHLY ISSUANCE,2020-08-19,NRI account,Silver
10799,76,MONTHLY ISSUANCE,2020-08-19,Salary account,Silver
1567,10,MONTHLY ISSUANCE,2020-08-19,NRI account,Silver
996,47,MONTHLY ISSUANCE,2020-08-18,NRI account,Silver
37,20,MONTHLY ISSUANCE,2020-08-18,Salary account,Silver
2829,66,MONTHLY ISSUANCE,2020-08-18,Salary account,Silver
529,39,MONTHLY ISSUANCE,2020-08-18,Savings account,Silver
1857,37,MONTHLY ISSUANCE,2020-08-18,Savings account,Silver
9140,32,MONTHLY ISSUANCE,2020-08-18,Salary account,Silver
2485,41,MONTHLY ISSUANCE,2020-08-18,Salary account,Silver
1881,60,MONTHLY ISSUANCE,2020-08-17,Savings account,Silver
2595,1,MONTHLY ISSUANCE,2020-08-17,NRI account,Silver
13,76,MONTHLY ISSUANCE,2020-08-17,Salary account,Silver
1355,1,MONTHLY ISSUANCE,2020-08-16,Savings account,Silver
3062,17,MONTHLY ISSUANCE,2020-08-15,Savings account,Silver
9433,59,MONTHLY ISSUANCE,2020-08-14,Salary account,Silver
509,36,MONTHLY ISSUANCE,2020-08-14,NRI account,Silver
1747,30,MONTHLY ISSUANCE,2020-08-14,Salary account,Silver
2073,59,MONTHLY ISSUANCE,2020-08-14,Savings account,Silver
3097,66,MONTHLY ISSUANCE,2020-08-14,Savings account,Silver
792,3,MONTHLY ISSUANCE,2020-08-13,Savings account,Silver
1043,1,MONTHLY ISSUANCE,2020-08-13,NRI account,Silver
591,1,MONTHLY ISSUANCE,2020-08-12,Savings account,Silver
5572,15,MONTHLY ISSUANCE,2020-08-11,Salary account,Silver
3046,74,MONTHLY ISSUANCE,2020-08-11,Savings account,Silver
2138,75,MONTHLY ISSUANCE,2020-08-11,Salary account,Silver
1662,1,MONTHLY ISSUANCE,2020-08-11,Salary account,Silver
386,1,MONTHLY ISSUANCE,2020-08-11,Savings account,Silver
2776,23,MONTHLY ISSUANCE,2020-08-10,Savings account,Silver
785,21,WEEKLY ISSUANCE,2020-08-09,Savings account,Diamond
2338,59,MONTHLY ISSUANCE,2020-08-08,Savings account,Silver
1319,56,ISSUANCE AFTER TRANSACTION,2020-08-08,Salary account,Gold
311,50,MONTHLY ISSUANCE,2020-08-08,NRI account,Silver
3293,1,MONTHLY ISSUANCE,2020-08-08,Salary account,Silver
1648,40,MONTHLY ISSUANCE,2020-08-08,Salary account,Silver
38,19,WEEKLY ISSUANCE,2020-08-08,Salary account,Diamond
1434,70,MONTHLY ISSUANCE,2020-08-08,Savings account,Silver
7437,19,WEEKLY ISSUANCE,2020-08-08,Salary account,Diamond
4784,46,MONTHLY ISSUANCE,2020-08-08,NRI account,Silver
2644,1,MONTHLY ISSUANCE,2020-08-08,NRI account,Silver
307,26,MONTHLY ISSUANCE,2020-08-07,Savings account,Silver
1951,23,MONTHLY ISSUANCE,2020-08-07,NRI account,Silver
4445,47,MONTHLY ISSUANCE,2020-08-07,Savings account,Silver
2000,5,MONTHLY ISSUANCE,2020-08-06,Salary account,Silver
3724,16,MONTHLY ISSUANCE,2020-08-06,Savings account,Silver
3281,1,MONTHLY ISSUANCE,2020-08-06,Savings account,Silver
326,61,MONTHLY ISSUANCE,2020-08-06,NRI account,Silver
1389,34,MONTHLY ISSUANCE,2020-08-05,Salary account,Silver
1033,32,MONTHLY ISSUANCE,2020-08-05,Savings account,Silver
2449,23,MONTHLY ISSUANCE,2020-08-05,Salary account,Silver
2927,37,MONTHLY ISSUANCE,2020-08-04,NRI account,Silver
4091,9,MONTHLY ISSUANCE,2020-08-04,NRI account,Silver
6602,74,MONTHLY ISSUANCE,2020-08-04,Salary account,Silver
2558,46,MONTHLY ISSUANCE,2020-08-04,Savings account,Silver
3208,29,MONTHLY ISSUANCE,2020-08-04,NRI account,Silver
4533,68,MONTHLY ISSUANCE,2020-08-03,NRI account,Silver
3343,1,MONTHLY ISSUANCE,2020-08-03,NRI account,Silver
3686,77,MONTHLY ISSUANCE,2020-08-03,Salary account,Silver
3381,68,MONTHLY ISSUANCE,2020-08-02,NRI account,Silver
1522,48,MONTHLY ISSUANCE,2020-08-02,Salary account,Silver
41,72,MONTHLY ISSUANCE,2020-08-02,Salary account,Silver
1950,70,MONTHLY ISSUANCE,2020-08-01,Salary account,Silver
811,14,WEEKLY ISSUANCE,2020-08-01,NRI account,Diamond
3185,45,MONTHLY ISSUANCE,2020-07-29,NRI account,Silver
5758,44,MONTHLY ISSUANCE,2020-07-28,NRI account,Silver
1776,36,MONTHLY ISSUANCE,2020-07-27,Savings account,Silver
547,24,MONTHLY ISSUANCE,2020-07-27,Savings account,Silver
2197,46,MONTHLY ISSUANCE,2020-07-26,Salary account,Silver
2587,1,MONTHLY ISSUANCE,2020-07-25,Salary account,Silver
3346,1,MONTHLY ISSUANCE,2020-07-25,Salary account,Silver
1454,46,MONTHLY ISSUANCE,2020-07-25,NRI account,Silver
2196,11,MONTHLY ISSUANCE,2020-07-24,Savings account,Silver
2646,6,MONTHLY ISSUANCE,2020-07-24,Salary account,Silver
2722,69,MONTHLY ISSUANCE,2020-07-24,Salary account,Silver
2679,67,MONTHLY ISSUANCE,2020-07-24,Salary account,Silver
1794,74,MONTHLY ISSUANCE,2020-07-23,Salary account,Silver
801,16,MONTHLY ISSUANCE,2020-07-23,NRI account,Silver
3057,9,MONTHLY ISSUANCE,2020-07-23,Salary account,Silver
5290,34,MONTHLY ISSUANCE,2020-07-21,Salary account,Silver
2316,1,MONTHLY ISSUANCE,2020-07-21,Savings account,Silver
611,46,MONTHLY ISSUANCE,2020-07-21,Salary account,Silver
1890,1,WEEKLY ISSUANCE,2020-07-20,NRI account,Diamond
2204,9,MONTHLY ISSUANCE,2020-07-20,NRI account,Silver
970,18,MONTHLY ISSUANCE,2020-07-20,Savings account,Silver
211,28,MONTHLY ISSUANCE,2020-07-19,Savings account,Silver
1432,27,MONTHLY ISSUANCE,2020-07-19,NRI account,Silver
2369,49,MONTHLY ISSUANCE,2020-07-19,Salary account,Silver
3867,1,MONTHLY ISSUANCE,2020-07-19,Savings account,Silver
680,17,MONTHLY ISSUANCE,2020-07-18,Savings account,Silver
284,54,MONTHLY ISSUANCE,2020-07-18,Savings account,Silver
1027,68,MONTHLY ISSUANCE,2020-07-18,Salary account,Silver
1995,54,MONTHLY ISSUANCE,2020-07-18,Savings account,Silver
