ProductID,Product,Category,SalesAmount
P0083,Item 83,Electronics,25253
P0084,Item 84,Sports,25276
P0085,Item 85,Furniture,24247
P0086,Item 86,Sports,25300
P0087,Item 87,Electronics,9529
P0088,Item 88,Books,18262
P0089,Item 89,Clothing,10268
P0090,Item 90,Books,22271
P0091,Item 91,Appliances,13185
P0092,Item 92,Sports,22243
P0093,Item 93,Clothing,40099
P0094,Item 94,Furniture,9571
P0095,Item 95,Clothing,40976
P0096,Item 96,Clothing,39044
P0097,Item 97,Furniture,49984
P0098,Item 98,Appliances,41774
P0099,Item 99,Clothing,3568
P0100,Item 100,Appliances,3027
P0101,Item 101,Appliances,3695
P0102,Item 102,Appliances,49190
P0103,Item 103,Electronics,6258
P0104,Item 104,Toys,23002
P0105,Item 105,Appliances,40504
P0106,Item 106,Furniture,34159
P0107,Item 107,Toys,14986
P0108,Item 108,Appliances,13666
P0109,Item 109,Furniture,39660
P0110,Item 110,Furniture,4561
P0111,Item 111,Books,27854
P0112,Item 112,Books,39952
P0113,Item 113,Clothing,23662
P0114,Item 114,Appliances,9392
P0115,Item 115,Appliances,31535
P0116,Item 116,Toys,14067
P0117,Item 117,Furniture,49033
P0118,Item 118,Appliances,24599
P0119,Item 119,Clothing,36222
P0120,Item 120,Sports,12837
P0121,Item 121,Sports,15039
P0122,Item 122,Sports,31818
P0123,Item 123,Electronics,20115
P0124,Item 124,Furniture,11965
P0125,Item 125,Sports,25538
P0126,Item 126,Electronics,43530
P0127,Item 127,Sports,6056
P0128,Item 128,Clothing,33482
P0129,Item 129,Books,48716
P0130,Item 130,Clothing,9110
P0131,Item 131,Electronics,14773
P0132,Item 132,Furniture,28266
P0133,Item 133,Toys,18412
P0134,Item 134,Appliances,34270
P0135,Item 135,Clothing,7910
P0136,Item 136,Furniture,46453
P0137,Item 137,Appliances,26446
P0138,Item 138,Books,1206
P0139,Item 139,Books,22518
P0140,Item 140,Appliances,23361
P0141,Item 141,Books,24419
P0142,Item 142,Furniture,49702
P0143,Item 143,Clothing,42523
P0144,Item 144,Furniture,46151
P0145,Item 145,Furniture,23403
P0146,Item 146,Appliances,19141
P0147,Item 147,Toys,15820
P0148,Item 148,Toys,41342
P0149,Item 149,Clothing,7374
P0150,Item 150,Appliances,2678
P0151,Item 151,Toys,34827
P0152,Item 152,Books,17198
P0153,Item 153,Toys,10914
P0154,Item 154,Books,28890
P0155,Item 155,Clothing,23299
P0156,Item 156,Furniture,44585
P0157,Item 157,Furniture,44689
P0158,Item 158,Toys,43557
P0159,Item 159,Books,45020
P0160,Item 160,Electronics,3693
P0161,Item 161,Sports,30467
P0162,Item 162,Electronics,30723
P0163,Item 163,Sports,47699
P0164,Item 164,Electronics,4627
P0165,Item 165,Furniture,26939
P0166,Item 166,Appliances,49925
P0167,Item 167,Furniture,43941
P0168,Item 168,Sports,22834
P0169,Item 169,Appliances,19047
P0170,Item 170,Books,27105
P0171,Item 171,Toys,11230
P0172,Item 172,Electronics,16707
P0173,Item 173,Books,22976
P0174,Item 174,Books,45262
P0175,Item 175,Toys,24776
P0176,Item 176,Books,31080
P0177,Item 177,Toys,2306
P0178,Item 178,Clothing,7776
P0179,Item 179,Toys,28251
P0180,Item 180,Sports,10474
P0181,Item 181,Electronics,41294
P0182,Item 182,Appliances,22959
P0183,Item 183,Appliances,6530
P0184,Item 184,Electronics,30320
P0185,Item 185,Appliances,4748
P0186,Item 186,Toys,32968
P0187,Item 187,Sports,33562
P0188,Item 188,Clothing,14545
P0189,Item 189,Sports,1663
P0190,Item 190,Appliances,35766
P0191,Item 191,Clothing,8994
P0192,Item 192,Electronics,29021
P0193,Item 193,Clothing,31303
P0194,Item 194,Books,4304
P0195,Item 195,Furniture,47576
P0196,Item 196,Books,40353
P0197,Item 197,Electronics,18675
P0198,Item 198,Appliances,45417
P0199,Item 199,Appliances,24938
P0200,Item 200,Clothing,24664
P0201,Item 201,Toys,2636
P0202,Item 202,Sports,21080
P0203,Item 203,Furniture,28728
P0204,Item 204,Toys,27736
P0205,Item 205,Electronics,29673
P0206,Item 206,Sports,38505
P0207,Item 207,Appliances,48323
P0208,Item 208,Clothing,47645
P0209,Item 209,Sports,1854
P0210,Item 210,Appliances,25548
P0211,Item 211,Toys,39623
P0212,Item 212,Toys,8392
P0213,Item 213,Furniture,47717
P0214,Item 214,Furniture,22556
P0215,Item 215,Clothing,39559
P0216,Item 216,Sports,27309
P0217,Item 217,Furniture,22919
P0218,Item 218,Toys,5931
P0219,Item 219,Sports,33970
P0220,Item 220,Toys,45215
P0221,Item 221,Electronics,13688
P0222,Item 222,Toys,26342
P0223,Item 223,Clothing,38157
P0224,Item 224,Books,3327
P0225,Item 225,Electronics,41772
P0226,Item 226,Electronics,41545
P0227,Item 227,Clothing,1197
P0228,Item 228,Sports,24509
P0229,Item 229,Sports,35698
P0230,Item 230,Clothing,45542
P0231,Item 231,Furniture,16087
P0232,Item 232,Electronics,23671
P0233,Item 233,Furniture,26184
P0234,Item 234,Toys,28848
P0235,Item 235,Electronics,43107
P0236,Item 236,Electronics,21666
P0237,Item 237,Appliances,45357
P0238,Item 238,Books,16708
P0239,Item 239,Sports,27370
P0240,Item 240,Electronics,3811
P0241,Item 241,Sports,48011
P0242,Item 242,Toys,7546
P0243,Item 243,Sports,35754
P0244,Item 244,Furniture,31206
P0245,Item 245,Furniture,42106
P0246,Item 246,Appliances,12411
P0247,Item 247,Books,3911
P0248,Item 248,Toys,2734
P0249,Item 249,Furniture,19227
P0250,Item 250,Clothing,9680
P0251,Item 251,Toys,20360
P0252,Item 252,Sports,19343
P0253,Item 253,Toys,6759
P0254,Item 254,Books,24078
P0255,Item 255,Furniture,36153
P0256,Item 256,Toys,12111
P0257,Item 257,Sports,38504
P0258,Item 258,Appliances,2802
P0259,Item 259,Appliances,9155
P0260,Item 260,Furniture,9120
P0261,Item 261,Appliances,40384
P0262,Item 262,Clothing,48025
P0263,Item 263,Books,48254
P0264,Item 264,Appliances,22918
P0265,Item 265,Appliances,21445
P0266,Item 266,Clothing,31306
P0267,Item 267,Books,17646
P0268,Item 268,Toys,47843
P0269,Item 269,Books,32065
P0270,Item 270,Electronics,26199
P0271,Item 271,Furniture,42976
P0272,Item 272,Furniture,17371
P0273,Item 273,Electronics,12835
P0274,Item 274,Clothing,46936
P0275,Item 275,Electronics,3049
P0276,Item 276,Toys,32616
P0277,Item 277,Toys,39191
P0278,Item 278,Furniture,48357
P0279,Item 279,Toys,21932
P0280,Item 280,Furniture,30855
P0281,Item 281,Electronics,8158
P0282,Item 282,Electronics,44016
P0283,Item 283,Appliances,8400
P0284,Item 284,Appliances,43642
P0285,Item 285,Electronics,16151
P0286,Item 286,Furniture,2154
P0287,Item 287,Electronics,5499
P0288,Item 288,Electronics,7295
P0289,Item 289,Sports,13183
P0290,Item 290,Clothing,30299
P0291,Item 291,Electronics,13874
P0292,Item 292,Toys,33711
P0293,Item 293,Furniture,6539
P0294,Item 294,Clothing,43405
P0295,Item 295,Appliances,49354
P0296,Item 296,Books,3557
P0297,Item 297,Furniture,39360
P0298,Item 298,Toys,17482
P0299,Item 299,Furniture,3200
P0300,Item 300,Appliances,47940
P0301,Item 301,Toys,3961
P0302,Item 302,Toys,47975
P0303,Item 303,Books,22357
P0304,Item 304,Furniture,12969
P0305,Item 305,Sports,3869
P0306,Item 306,Books,47760
P0307,Item 307,Sports,29643
P0308,Item 308,Books,25736
P0309,Item 309,Furniture,39467
P0310,Item 310,Electronics,24328
P0311,Item 311,Electronics,26876
P0312,Item 312,Appliances,22295
P0313,Item 313,Books,4987
P0314,Item 314,Clothing,23399
P0315,Item 315,Books,47214
P0316,Item 316,Books,34986
P0317,Item 317,Books,21880
P0318,Item 318,Sports,5735
P0319,Item 319,Appliances,45064
P0320,Item 320,Electronics,5555
P0321,Item 321,Appliances,42914
P0322,Item 322,Appliances,41818
P0323,Item 323,Appliances,46525
P0324,Item 324,Electronics,20830
P0325,Item 325,Electronics,18429
P0326,Item 326,Books,7893
P0327,Item 327,Appliances,15373
P0328,Item 328,Clothing,48333
P0329,Item 329,Sports,4436
P0330,Item 330,Sports,9754
P0331,Item 331,Electronics,11677
P0332,Item 332,Furniture,6895
P0333,Item 333,Furniture,20738
P0334,Item 334,Furniture,31746
P0335,Item 335,Toys,49404
P0336,Item 336,Books,33352
P0337,Item 337,Furniture,40790
P0338,Item 338,Books,42919
P0339,Item 339,Furniture,6600
P0340,Item 340,Clothing,30124
P0341,Item 341,Books,28643
P0342,Item 342,Furniture,41764
P0343,Item 343,Sports,10007
P0344,Item 344,Electronics,46714
P0345,Item 345,Books,38410
P0346,Item 346,Sports,45080
P0347,Item 347,Sports,41447
P0348,Item 348,Sports,9208
P0349,Item 349,Toys,19589
P0350,Item 350,Electronics,44484
P0351,Item 351,Electronics,18453
P0352,Item 352,Appliances,37212
P0353,Item 353,Toys,44525
P0354,Item 354,Sports,48202
P0355,Item 355,Electronics,33635
P0356,Item 356,Electronics,34828
P0357,Item 357,Sports,19711
P0358,Item 358,Sports,4420
P0359,Item 359,Furniture,32216
P0360,Item 360,Furniture,1301
P0361,Item 361,Books,46236
P0362,Item 362,Books,1699
P0363,Item 363,Books,1190
P0364,Item 364,Furniture,11492
P0365,Item 365,Sports,36743
P0366,Item 366,Books,7102
P0367,Item 367,Electronics,20778
P0368,Item 368,Furniture,27641
P0369,Item 369,Books,35584
P0370,Item 370,Electronics,33745
P0371,Item 371,Books,24093
P0372,Item 372,Clothing,1569
P0373,Item 373,Sports,39210
P0374,Item 374,Sports,35663
P0375,Item 375,Books,37631
P0376,Item 376,Clothing,46681
P0377,Item 377,Books,8455
P0378,Item 378,Appliances,5014
P0379,Item 379,Appliances,12093
P0380,Item 380,Sports,19070
P0381,Item 381,Toys,36777
P0382,Item 382,Appliances,17538
P0383,Item 383,Appliances,11729
P0384,Item 384,Books,35177
P0385,Item 385,Furniture,46017
P0386,Item 386,Furniture,1784
P0387,Item 387,Clothing,28751
P0388,Item 388,Furniture,41864
P0389,Item 389,Electronics,41328
P0390,Item 390,Toys,13533
P0391,Item 391,Appliances,41111
P0392,Item 392,Toys,40974
P0393,Item 393,Electronics,6801
P0394,Item 394,Appliances,20190
P0395,Item 395,Clothing,39754
P0396,Item 396,Electronics,30592
P0397,Item 397,Electronics,11647
P0398,Item 398,Toys,9716
P0399,Item 399,Books,24355
P0400,Item 400,Toys,23009
P0401,Item 401,Sports,25376
P0402,Item 402,Toys,46091
P0403,Item 403,Furniture,5780
P0404,Item 404,Electronics,3368
P0405,Item 405,Toys,13039
P0406,Item 406,Electronics,7655
P0407,Item 407,Sports,41941
P0408,Item 408,Furniture,5495
P0409,Item 409,Electronics,11893
P0410,Item 410,Toys,26547
P0411,Item 411,Electronics,23386
P0412,Item 412,Appliances,14403
P0413,Item 413,Sports,33097
P0414,Item 414,Furniture,14121
P0415,Item 415,Books,11966
P0416,Item 416,Electronics,34621
P0417,Item 417,Toys,29312
P0418,Item 418,Furniture,23677
P0419,Item 419,Toys,32289
P0420,Item 420,Toys,32024
P0421,Item 421,Electronics,43675
P0422,Item 422,Toys,5777
P0423,Item 423,Electronics,30749
P0424,Item 424,Books,16338
P0425,Item 425,Appliances,3491
P0426,Item 426,Toys,28236
P0427,Item 427,Toys,49096
P0428,Item 428,Toys,15599
P0429,Item 429,Clothing,20508
P0430,Item 430,Clothing,4051
P0431,Item 431,Furniture,49747
P0432,Item 432,Appliances,22606
P0433,Item 433,Appliances,22699
P0434,Item 434,Clothing,1876
P0435,Item 435,Furniture,33093
P0436,Item 436,Clothing,5142
P0437,Item 437,Books,16202
P0438,Item 438,Furniture,40734
P0439,Item 439,Appliances,8079
P0440,Item 440,Appliances,8987
P0441,Item 441,Clothing,40567
P0442,Item 442,Books,29940
P0443,Item 443,Clothing,38233
P0444,Item 444,Sports,18019
P0445,Item 445,Electronics,47185
P0446,Item 446,Electronics,19077
P0447,Item 447,Books,27258
P0448,Item 448,Toys,22136
P0449,Item 449,Toys,9311
P0450,Item 450,Electronics,18214
P0451,Item 451,Electronics,15098
P0452,Item 452,Toys,29251
P0453,Item 453,Furniture,38945
P0454,Item 454,Toys,48030
P0455,Item 455,Clothing,26945
P0456,Item 456,Furniture,26316
P0457,Item 457,Clothing,33217
P0458,Item 458,Electronics,9308
P0459,Item 459,Furniture,6949
P0460,Item 460,Clothing,2150
P0461,Item 461,Clothing,24944
P0462,Item 462,Furniture,35699
P0463,Item 463,Books,10204
P0464,Item 464,Sports,2081
P0465,Item 465,Toys,30305
P0466,Item 466,Appliances,17896
P0467,Item 467,Clothing,47175
P0468,Item 468,Toys,8805
P0469,Item 469,Sports,6237
P0470,Item 470,Appliances,21056
P0471,Item 471,Toys,46543
P0472,Item 472,Electronics,46952
P0473,Item 473,Appliances,4343
P0474,Item 474,Sports,14500
P0475,Item 475,Toys,30375
P0476,Item 476,Clothing,10662
P0477,Item 477,Appliances,17964
P0478,Item 478,Electronics,48893
P0479,Item 479,Furniture,9130
P0480,Item 480,Clothing,20531
P0481,Item 481,Electronics,2679
P0482,Item 482,Electronics,4506
P0483,Item 483,Appliances,14284
P0484,Item 484,Toys,8253
P0485,Item 485,Furniture,20128
P0486,Item 486,Clothing,28932
P0487,Item 487,Clothing,10435
P0488,Item 488,Toys,45078
P0489,Item 489,Furniture,14296
P0490,Item 490,Appliances,31445
P0491,Item 491,Clothing,14245
P0492,Item 492,Furniture,30124
P0493,Item 493,Appliances,30899
P0494,Item 494,Appliances,44919
P0495,Item 495,Sports,44225
P0496,Item 496,Clothing,36247
P0497,Item 497,Toys,30222
P0498,Item 498,Books,27211
P0499,Item 499,Clothing,38220
P0500,Item 500,Sports,27646
P0501,Item 501,Electronics,39649
P0502,Item 502,Electronics,24049
P0503,Item 503,Appliances,15069
P0504,Item 504,Books,33580
P0505,Item 505,Sports,32843
P0506,Item 506,Clothing,3849
P0507,Item 507,Electronics,41158
P0508,Item 508,Electronics,24289
P0509,Item 509,Clothing,45690
P0510,Item 510,Sports,36257
P0511,Item 511,Furniture,10823
P0512,Item 512,Appliances,42975
P0513,Item 513,Clothing,10540
P0514,Item 514,Furniture,17364
P0515,Item 515,Appliances,5611
P0516,Item 516,Books,28663
P0517,Item 517,Toys,39646
P0518,Item 518,Appliances,31977
P0519,Item 519,Books,30168
P0520,Item 520,Toys,26471
P0521,Item 521,Electronics,23687
P0522,Item 522,Electronics,1851
P0523,Item 523,Electronics,19071
P0524,Item 524,Appliances,7833
P0525,Item 525,Furniture,12938
P0526,Item 526,Toys,36195
P0527,Item 527,Electronics,27144
P0528,Item 528,Sports,5000
P0529,Item 529,Clothing,6052
P0530,Item 530,Toys,36506
P0531,Item 531,Toys,29074
P0532,Item 532,Furniture,39155
P0533,Item 533,Books,41770
P0534,Item 534,Furniture,33320
P0535,Item 535,Electronics,39304
P0536,Item 536,Clothing,47247
P0537,Item 537,Clothing,4913
P0538,Item 538,Sports,18450
P0539,Item 539,Sports,25107
P0540,Item 540,Electronics,21764
P0541,Item 541,Clothing,44404
P0542,Item 542,Furniture,21491
P0543,Item 543,Appliances,39494
P0544,Item 544,Furniture,4373
P0545,Item 545,Appliances,13161
P0546,Item 546,Electronics,32996
P0547,Item 547,Clothing,28122
P0548,Item 548,Sports,35850
P0549,Item 549,Toys,28350
P0550,Item 550,Sports,28472
P0551,Item 551,Books,29761
P0552,Item 552,Toys,26351
P0553,Item 553,Appliances,24132
P0554,Item 554,Furniture,16305
P0555,Item 555,Furniture,10817
P0556,Item 556,Sports,12261
P0557,Item 557,Furniture,1417
P0558,Item 558,Sports,42576
P0559,Item 559,Sports,21358
P0560,Item 560,Furniture,4267
P0561,Item 561,Books,18209
P0562,Item 562,Electronics,25052
P0563,Item 563,Furniture,39513
P0564,Item 564,Appliances,27092
P0565,Item 565,Clothing,12338
P0566,Item 566,Sports,1412
P0567,Item 567,Books,8543
P0568,Item 568,Sports,41355
P0569,Item 569,Appliances,34496
P0570,Item 570,Sports,24548
P0571,Item 571,Appliances,28384
P0572,Item 572,Sports,45425
P0573,Item 573,Furniture,39756
P0574,Item 574,Clothing,19888
P0575,Item 575,Furniture,36735
P0576,Item 576,Sports,48295
P0577,Item 577,Appliances,49816
P0578,Item 578,Electronics,18506
P0579,Item 579,Books,21463
P0580,Item 580,Sports,18955
P0581,Item 581,Electronics,38841
P0582,Item 582,Sports,6104
P0583,Item 583,Books,35911
P0584,Item 584,Furniture,24190
P0585,Item 585,Furniture,8357
P0586,Item 586,Sports,33479
P0587,Item 587,Books,45811
P0588,Item 588,Clothing,37208
P0589,Item 589,Clothing,21150
P0590,Item 590,Sports,6644
P0591,Item 591,Sports,44286
P0592,Item 592,Sports,48320
P0593,Item 593,Furniture,3914
P0594,Item 594,Furniture,22352
P0595,Item 595,Electronics,47352
P0596,Item 596,Appliances,45912
P0597,Item 597,Furniture,15397
P0598,Item 598,Books,42555
P0599,Item 599,Clothing,47959
P0600,Item 600,Clothing,1728
P0601,Item 601,Sports,1698
P0602,Item 602,Electronics,40954
P0603,Item 603,Sports,48280
P0604,Item 604,Clothing,14923
P0605,Item 605,Clothing,17779
P0606,Item 606,Appliances,8400
P0607,Item 607,Toys,25466
P0608,Item 608,Books,37939
P0609,Item 609,Appliances,5360
P0610,Item 610,Sports,36270
P0611,Item 611,Toys,18101
P0612,Item 612,Clothing,33307
P0613,Item 613,Electronics,6486
P0614,Item 614,Electronics,9335
P0615,Item 615,Clothing,22364
P0616,Item 616,Furniture,38259
P0617,Item 617,Toys,24576
P0618,Item 618,Clothing,32667
P0619,Item 619,Electronics,12130
P0620,Item 620,Electronics,22972
P0621,Item 621,Toys,41419
P0622,Item 622,Books,2167
P0623,Item 623,Clothing,28192
P0624,Item 624,Appliances,2062
P0625,Item 625,Sports,19540
P0626,Item 626,Clothing,25244
P0627,Item 627,Books,22545
P0628,Item 628,Toys,22689
P0629,Item 629,Toys,12174
P0630,Item 630,Electronics,23925
P0631,Item 631,Books,38497
P0632,Item 632,Toys,10348
P0633,Item 633,Furniture,24714
P0634,Item 634,Clothing,39102
P0635,Item 635,Electronics,9924
P0636,Item 636,Appliances,38098
P0637,Item 637,Books,25394
P0638,Item 638,Electronics,7801
P0639,Item 639,Toys,38614
P0640,Item 640,Sports,7731
P0641,Item 641,Toys,49136
P0642,Item 642,Appliances,24625
P0643,Item 643,Appliances,18337
P0644,Item 644,Appliances,36307
P0645,Item 645,Appliances,8056
P0646,Item 646,Appliances,12516
P0647,Item 647,Furniture,45261
P0648,Item 648,Clothing,2542
P0649,Item 649,Books,22677
P0650,Item 650,Electronics,47732
P0651,Item 651,Appliances,40081
P0652,Item 652,Clothing,28569
P0653,Item 653,Toys,24322
P0654,Item 654,Clothing,20065
P0655,Item 655,Appliances,18924
P0656,Item 656,Sports,23556
P0657,Item 657,Electronics,27962
P0658,Item 658,Appliances,29295
P0659,Item 659,Clothing,14807
P0660,Item 660,Toys,43348
P0661,Item 661,Clothing,27432
P0662,Item 662,Appliances,18749
P0663,Item 663,Books,42459
P0664,Item 664,Clothing,27256
P0665,Item 665,Books,41262
P0666,Item 666,Appliances,38080
P0667,Item 667,Clothing,2324
P0668,Item 668,Toys,26731
P0669,Item 669,Furniture,36909
P0670,Item 670,Furniture,24803
P0671,Item 671,Books,20870
P0672,Item 672,Appliances,35578
P0673,Item 673,Books,7588
P0674,Item 674,Appliances,39069
P0675,Item 675,Appliances,27790
P0676,Item 676,Furniture,26289
P0677,Item 677,Toys,29178
P0678,Item 678,Toys,29710
P0679,Item 679,Clothing,16485
P0680,Item 680,Books,45482
P0681,Item 681,Toys,21652
P0682,Item 682,Sports,5748
P0683,Item 683,Electronics,22233
P0684,Item 684,Clothing,10435
P0685,Item 685,Clothing,4709
P0686,Item 686,Furniture,31355
P0687,Item 687,Books,14116
P0688,Item 688,Sports,26470
P0689,Item 689,Toys,43344
P0690,Item 690,Toys,43918
P0691,Item 691,Appliances,40298
P0692,Item 692,Clothing,43956
P0693,Item 693,Books,15683
P0694,Item 694,Books,1504
P0695,Item 695,Books,34982
P0696,Item 696,Appliances,35299
P0697,Item 697,Furniture,29016
P0698,Item 698,Toys,24960
P0699,Item 699,Books,34591
P0700,Item 700,Sports,18312
P0701,Item 701,Sports,38797
P0702,Item 702,Appliances,47196
P0703,Item 703,Furniture,3105
P0704,Item 704,Appliances,37395
P0705,Item 705,Electronics,46740
P0706,Item 706,Clothing,23700
P0707,Item 707,Toys,35620
P0708,Item 708,Appliances,38678
P0709,Item 709,Appliances,21559
P0710,Item 710,Toys,28509
P0711,Item 711,Clothing,28860
P0712,Item 712,Electronics,12003
P0713,Item 713,Sports,22732
P0714,Item 714,Sports,26826
P0715,Item 715,Furniture,31354
P0716,Item 716,Appliances,14843
P0717,Item 717,Clothing,45472
P0718,Item 718,Furniture,49529
P0719,Item 719,Sports,7190
P0720,Item 720,Furniture,18640
P0721,Item 721,Furniture,39413
P0722,Item 722,Electronics,43356
P0723,Item 723,Electronics,45597
P0724,Item 724,Furniture,41821
P0725,Item 725,Books,4330
P0726,Item 726,Toys,20087
P0727,Item 727,Sports,42430
P0728,Item 728,Sports,25504
P0729,Item 729,Electronics,8114
P0730,Item 730,Books,14323
P0731,Item 731,Books,35121
P0732,Item 732,Appliances,11975
P0733,Item 733,Toys,12023
P0734,Item 734,Furniture,22447
P0735,Item 735,Appliances,25933
P0736,Item 736,Appliances,24959
P0737,Item 737,Books,1667
P0738,Item 738,Books,30703
P0739,Item 739,Books,10337
P0740,Item 740,Furniture,47427
P0741,Item 741,Furniture,37487
P0742,Item 742,Appliances,20129
P0743,Item 743,Appliances,41251
P0744,Item 744,Electronics,32921
P0745,Item 745,Sports,34307
P0746,Item 746,Sports,28355
P0747,Item 747,Sports,38732
P0748,Item 748,Electronics,5835
P0749,Item 749,Sports,21159
P0750,Item 750,Books,39810
P0751,Item 751,Furniture,48605
P0752,Item 752,Furniture,41080
P0753,Item 753,Sports,39088
P0754,Item 754,Appliances,14216
P0755,Item 755,Toys,36547
P0756,Item 756,Books,32471
P0757,Item 757,Electronics,18308
P0758,Item 758,Toys,28532
P0759,Item 759,Furniture,35349
P0760,Item 760,Sports,46445
P0761,Item 761,Electronics,6713
P0762,Item 762,Books,5804
P0763,Item 763,Furniture,11136
P0764,Item 764,Sports,1009
P0765,Item 765,Books,20255
P0766,Item 766,Appliances,24793
P0767,Item 767,Toys,30548
P0768,Item 768,Toys,38892
P0769,Item 769,Toys,2015
P0770,Item 770,Clothing,28712
P0771,Item 771,Sports,35961
P0772,Item 772,Books,9415
P0773,Item 773,Toys,47318
P0774,Item 774,Sports,48280
P0775,Item 775,Appliances,24833
P0776,Item 776,Toys,5158
P0777,Item 777,Books,21309
P0778,Item 778,Sports,7970
P0779,Item 779,Toys,7938
P0780,Item 780,Books,22168
P0781,Item 781,Furniture,47540
P0782,Item 782,Appliances,21384
P0783,Item 783,Sports,19017
P0784,Item 784,Books,11344
P0785,Item 785,Books,41034
P0786,Item 786,Clothing,9702
P0787,Item 787,Sports,1384
P0788,Item 788,Furniture,1404
P0789,Item 789,Sports,41943
P0790,Item 790,Appliances,48926
P0791,Item 791,Clothing,30189
P0792,Item 792,Sports,13763
P0793,Item 793,Sports,19384
P0794,Item 794,Toys,33606
P0795,Item 795,Books,10860
P0796,Item 796,Appliances,39757
P0797,Item 797,Furniture,16106
P0798,Item 798,Clothing,24574
P0799,Item 799,Books,24524
P0800,Item 800,Electronics,4636
P0801,Item 801,Appliances,11916
P0802,Item 802,Clothing,5809
P0803,Item 803,Furniture,33201
P0804,Item 804,Clothing,14456
P0805,Item 805,Clothing,49212
P0806,Item 806,Clothing,39765
P0807,Item 807,Toys,35816
P0808,Item 808,Electronics,46106
P0809,Item 809,Furniture,18100
P0810,Item 810,Furniture,22949
P0811,Item 811,Furniture,5544
P0812,Item 812,Books,38744
P0813,Item 813,Appliances,46543
P0814,Item 814,Furniture,43783
P0815,Item 815,Appliances,27657
P0816,Item 816,Furniture,37187
P0817,Item 817,Electronics,48198
P0818,Item 818,Books,8239
P0819,Item 819,Books,15489
P0820,Item 820,Clothing,44125
P0821,Item 821,Toys,29538
P0822,Item 822,Books,33049
P0823,Item 823,Books,38131
P0824,Item 824,Electronics,43944
P0825,Item 825,Furniture,9427
P0826,Item 826,Sports,42348
P0827,Item 827,Books,25285
P0828,Item 828,Books,38626
P0829,Item 829,Sports,43808
P0830,Item 830,Toys,23928
P0831,Item 831,Appliances,20198
P0832,Item 832,Electronics,20758
P0833,Item 833,Sports,16254
P0834,Item 834,Sports,45238
P0835,Item 835,Toys,2252
P0836,Item 836,Books,40764
P0837,Item 837,Books,13173
P0838,Item 838,Electronics,38441
P0839,Item 839,Clothing,27698
P0840,Item 840,Clothing,16781
P0841,Item 841,Sports,14051
P0842,Item 842,Books,40649
P0843,Item 843,Sports,7949
P0844,Item 844,Sports,43289
P0845,Item 845,Books,9017
P0846,Item 846,Toys,7941
P0847,Item 847,Appliances,26934
P0848,Item 848,Appliances,24386
P0849,Item 849,Toys,11209
