sale_id,sale_date,product_id,region_id,quantity_sold,sale_amount
107,2021-10-13,28,4,18,326.33
108,2023-09-22,100,8,15,52.83
109,2019-10-23,80,2,18,472.37
110,2023-10-15,16,8,14,395.3
111,2020-12-20,59,9,16,108.47
112,2023-11-08,81,8,5,322.27
113,2019-12-04,54,6,8,381.98
114,2021-05-28,79,10,16,112.63
115,2021-12-12,16,1,1,55.73
116,2021-03-02,15,7,11,182.37
117,2019-08-05,98,1,11,76.52
118,2021-02-02,11,7,2,287.2
119,2019-07-07,65,2,19,217.82
120,2020-01-15,79,8,5,236.59
121,2020-05-07,90,2,3,276.0
122,2021-11-30,68,3,8,491.21
123,2022-03-26,43,3,4,398.39
124,2019-01-15,69,1,13,318.44
125,2019-03-06,99,5,14,188.22
126,2020-06-04,13,5,1,23.26
127,2022-09-29,10,10,5,67.1
128,2022-02-26,75,5,7,368.12
129,2020-10-09,82,9,6,190.91
130,2023-02-04,98,6,15,173.87
131,2021-12-22,41,6,15,445.6
132,2022-03-08,50,3,8,247.41
133,2023-03-03,87,5,2,450.79
134,2020-08-15,71,10,14,444.45
135,2020-01-27,59,7,16,49.29
136,2023-08-26,39,3,10,473.23
137,2020-02-23,3,2,15,47.71
138,2019-10-16,76,5,4,482.12
139,2020-01-14,7,3,12,231.78
140,2023-12-02,49,5,10,382.82
141,2023-02-22,26,9,2,356.01
142,2019-08-19,33,10,4,264.06
143,2021-10-14,48,1,6,313.53
144,2019-02-10,79,4,14,475.46
145,2021-11-17,2,10,3,464.4
146,2019-05-15,71,5,15,330.62
147,2019-07-20,32,2,1,332.28
148,2021-02-18,4,2,19,131.0
149,2021-07-18,20,1,1,416.03
150,2021-11-22,36,8,13,319.98
151,2021-12-07,32,2,8,414.86
152,2020-05-17,28,3,18,332.35
153,2020-02-11,77,2,3,156.67
154,2023-05-17,1,4,18,102.85
155,2023-10-18,60,1,9,47.71
156,2021-03-15,56,3,6,297.14
157,2019-04-09,35,5,2,149.19
158,2020-11-14,30,10,4,318.95
159,2020-12-26,54,1,18,38.74
160,2023-04-20,36,4,7,194.07
161,2021-08-18,55,6,11,137.67
162,2023-10-29,89,4,5,191.46
163,2020-09-04,80,7,8,36.6
164,2023-01-25,58,7,11,364.85
165,2020-10-04,83,6,15,67.18
166,2023-11-28,65,9,3,17.06
167,2021-10-25,69,2,7,473.68
168,2022-05-26,51,10,8,104.51
169,2020-05-17,22,8,11,415.75
170,2021-02-05,88,8,10,482.59
171,2020-02-02,53,10,9,271.72
172,2021-05-20,100,4,15,267.8
173,2021-03-05,36,6,5,190.03
174,2020-01-28,68,6,15,218.54
175,2019-07-26,36,5,4,246.22
176,2021-11-04,52,1,5,84.53
177,2023-04-27,53,3,15,188.72
178,2021-06-10,82,7,17,409.89
179,2023-01-24,50,8,8,99.38
180,2023-09-11,80,2,19,367.63
181,2023-05-18,41,3,9,329.28
182,2021-05-13,18,4,10,38.08
183,2021-01-12,22,5,5,20.99
184,2022-06-18,66,3,10,182.74
185,2020-07-17,21,5,1,349.16
186,2021-10-17,100,8,4,171.9
187,2019-04-06,44,8,5,337.19
188,2023-10-24,47,2,7,336.07
189,2020-04-29,39,6,5,405.21
190,2022-12-01,29,4,8,58.75
191,2019-08-19,54,9,17,292.79
192,2021-01-18,90,10,1,40.62
193,2023-08-06,85,2,18,96.21
194,2022-04-09,17,8,12,169.5
195,2020-06-24,80,1,3,356.62
196,2021-11-25,60,6,14,487.2
197,2020-06-08,31,10,16,177.84
198,2022-03-29,73,1,18,265.36
199,2023-09-19,95,2,10,136.94
200,2022-06-20,78,3,15,340.99
201,2022-01-14,49,9,10,189.63
202,2023-12-25,2,5,1,245.98
203,2020-07-31,48,10,19,288.23
204,2020-11-12,14,10,2,346.26
205,2020-07-10,59,2,13,39.43
206,2023-05-17,97,10,16,281.9
207,2021-10-09,99,5,8,221.27
208,2020-10-07,58,5,3,75.54
209,2021-03-06,58,1,19,111.94
210,2021-11-17,51,3,14,443.11
211,2023-07-02,84,5,11,437.17
212,2023-04-29,2,9,12,26.33
213,2022-09-25,41,10,11,347.81
214,2023-12-27,83,1,11,281.55
215,2022-09-16,82,8,18,470.51
216,2023-07-22,16,1,10,454.92
217,2023-03-10,4,9,16,293.99
218,2022-10-03,12,6,8,78.09
219,2023-02-05,29,1,6,235.31
220,2022-06-08,7,8,19,365.33
221,2019-07-09,14,5,13,476.35
222,2022-06-02,12,7,15,188.28
223,2022-11-09,99,7,13,394.49
224,2022-11-01,5,7,1,344.84
225,2022-07-30,81,6,2,48.36
226,2020-09-24,32,8,13,283.41
227,2020-09-19,74,9,2,99.92
228,2021-08-30,43,2,11,344.94
229,2023-11-04,81,7,13,308.94
230,2022-07-06,69,2,10,486.79
231,2022-10-14,45,6,15,468.34
232,2020-12-10,9,2,1,14.59
233,2023-01-19,49,10,14,49.21
234,2022-12-05,33,6,10,386.88
235,2020-10-10,100,2,18,345.97
236,2019-11-14,100,1,11,402.46
237,2023-08-28,18,7,7,140.74
238,2022-06-02,9,3,15,426.17
239,2022-06-11,62,4,3,226.79
240,2020-11-14,57,6,2,138.34
241,2020-10-25,29,5,8,15.2
242,2022-10-29,78,4,8,436.97
243,2023-08-23,25,9,11,272.32
244,2023-06-20,15,6,16,487.94
245,2023-02-04,6,6,2,360.19
246,2022-06-10,42,2,5,49.4
247,2023-09-12,29,6,7,298.21
248,2022-02-10,79,7,13,18.39
249,2023-03-01,93,8,2,283.31
250,2020-03-17,4,8,3,181.6
251,2020-07-17,82,9,9,325.21
252,2022-07-15,57,10,10,275.37
253,2023-03-14,49,3,13,138.06
254,2022-11-10,44,10,13,89.55
255,2022-11-11,80,7,5,208.31
256,2022-02-10,75,7,7,493.55
257,2023-06-25,14,1,17,223.49
258,2023-07-07,3,8,15,376.91
259,2021-08-09,62,4,5,37.92
260,2022-01-09,64,5,7,195.64
261,2020-11-29,45,6,2,294.36
262,2019-04-23,82,3,18,378.09
263,2019-01-02,58,5,10,268.91
264,2020-10-03,20,10,1,262.49
265,2019-08-08,58,5,14,384.31
266,2023-05-09,89,1,19,163.51
267,2021-05-04,57,3,16,54.4
268,2023-10-26,77,3,19,180.1
269,2022-06-02,68,1,6,87.91
270,2020-01-20,78,7,12,483.31
271,2022-11-27,97,1,3,292.98
272,2023-07-20,92,7,7,228.83
273,2022-02-27,52,4,3,456.91
274,2021-12-12,37,9,17,451.18
275,2023-09-04,8,7,15,213.69
276,2020-12-30,44,5,19,438.62
277,2023-08-23,98,7,19,41.37
278,2023-09-30,5,9,11,444.0
279,2022-12-10,69,10,2,162.19
280,2019-09-04,31,6,7,286.91
281,2021-04-15,45,1,19,142.15
282,2023-01-02,9,6,7,492.55
283,2019-07-22,32,1,10,45.17
284,2022-04-22,33,4,12,229.01
285,2019-05-03,67,8,18,314.28
286,2020-02-05,30,5,6,311.65
287,2021-02-05,76,5,8,371.99
288,2019-10-21,29,10,5,364.96
289,2019-10-07,3,8,3,398.64
290,2021-06-02,90,8,2,124.8
291,2023-06-22,57,1,6,191.55
292,2019-07-17,30,5,7,197.2
293,2021-09-08,9,5,8,478.36
294,2023-03-15,26,8,4,210.56
295,2021-01-21,2,1,12,118.72
296,2019-05-24,62,7,12,319.85
297,2020-08-31,3,7,17,219.36
298,2022-05-09,46,9,19,132.54
299,2022-02-21,68,2,9,360.42
300,2019-07-06,25,3,12,104.04
301,2022-09-11,51,4,17,320.34
302,2020-04-08,13,1,10,220.96
303,2022-10-04,44,7,19,166.39
304,2023-11-30,35,10,11,473.53
305,2020-10-21,55,3,13,168.96
306,2021-02-02,87,3,4,180.28
307,2021-08-12,9,3,15,436.61
308,2020-02-07,2,8,12,73.23
309,2022-10-01,61,9,10,62.95
310,2023-03-15,41,10,7,148.53
311,2019-05-27,44,2,2,299.9
312,2022-03-17,64,10,7,198.31
313,2021-05-13,31,10,8,308.19
314,2023-10-01,47,1,19,88.28
315,2020-05-03,2,9,6,138.11
316,2021-07-17,96,6,8,286.93
317,2023-07-22,82,9,4,116.4
318,2020-07-04,77,6,9,217.17
319,2019-12-04,69,2,5,290.6
320,2021-05-21,58,1,6,487.09
321,2020-10-02,44,8,19,49.14
322,2023-12-08,74,3,12,235.6
323,2020-04-17,56,1,5,204.17
324,2019-05-31,43,8,5,413.88
325,2022-12-09,89,1,18,451.15
326,2022-08-14,34,8,6,454.44
327,2023-06-23,30,1,9,193.82
328,2019-09-20,71,9,11,159.28
329,2023-11-23,70,9,14,230.08
330,2019-05-24,55,9,2,178.55
331,2019-12-12,67,3,14,362.24
332,2020-09-15,13,4,19,114.65
333,2021-10-13,3,5,10,332.76
334,2023-05-15,26,6,5,464.22
335,2021-05-30,57,9,4,147.16
336,2019-01-02,24,4,7,341.68
337,2021-06-15,53,6,13,80.34
338,2022-08-20,70,1,10,69.48
339,2019-09-11,43,2,10,66.67
340,2023-08-03,60,8,4,77.88
341,2020-03-28,58,4,16,115.92
342,2021-11-26,49,10,15,285.79
343,2022-03-29,42,7,11,385.82
344,2021-10-11,76,4,19,72.16
345,2019-01-09,100,9,3,436.31
346,2022-06-10,66,9,15,422.93
347,2022-01-27,11,4,16,366.42
348,2023-08-10,98,8,14,218.72
349,2021-03-26,90,6,5,10.76
350,2019-07-27,18,1,17,370.03
351,2022-02-28,85,7,18,440.7
352,2020-02-08,100,1,19,174.29
353,2019-06-01,52,3,1,361.81
354,2019-02-23,46,8,9,40.4
355,2022-02-17,44,9,14,357.65
356,2023-08-24,22,3,11,43.47
357,2020-09-19,53,1,2,297.72
358,2020-08-09,59,1,5,302.8
359,2023-07-07,94,7,15,158.06
360,2022-12-14,30,5,12,48.77
361,2022-12-16,8,1,14,475.17
362,2019-04-14,98,6,11,272.43
363,2019-09-11,57,6,9,294.08
364,2022-06-04,73,4,8,311.36
365,2022-02-09,20,7,12,446.61
366,2020-05-24,25,7,3,39.53
367,2023-02-05,19,9,15,447.71
368,2019-04-09,5,1,8,127.44
369,2019-06-02,75,5,7,48.2
370,2021-07-02,79,10,17,332.06
371,2021-05-27,72,3,12,488.72
372,2019-12-04,83,7,18,38.05
373,2023-09-26,87,4,18,218.8
374,2021-04-01,27,4,15,269.59
375,2022-04-01,40,1,3,133.54
376,2023-10-10,96,1,19,491.61
377,2021-08-14,26,10,15,324.07
378,2023-09-01,27,2,16,423.73
379,2019-06-10,62,2,17,213.73
380,2023-05-23,83,1,1,183.44
381,2021-03-11,50,8,11,281.05
382,2020-02-02,42,6,6,223.29
383,2022-07-24,29,6,9,360.32
384,2021-03-26,39,10,16,140.25
385,2023-03-08,60,10,6,230.3
386,2022-11-16,41,9,12,448.62
387,2022-03-04,33,5,19,380.49
388,2022-05-03,83,4,13,92.35
389,2020-02-05,83,6,13,444.56
390,2020-10-01,97,8,4,298.62
391,2021-11-22,16,1,9,342.85
392,2020-11-18,23,7,14,154.19
393,2020-04-04,7,8,14,226.36
394,2021-08-12,26,9,17,405.34
395,2020-04-14,96,8,5,172.03
396,2022-10-30,12,7,19,90.88
397,2021-11-11,72,3,2,195.37
398,2021-01-19,5,2,13,43.92
399,2023-08-21,92,3,11,361.75
400,2019-02-07,69,4,2,82.4
401,2019-08-18,49,4,1,149.71
402,2022-10-20,26,6,3,441.73
403,2020-07-16,5,7,12,274.84
404,2020-03-13,22,4,7,167.46
405,2023-12-05,79,10,1,278.36
406,2022-07-30,13,6,9,116.96
407,2019-01-27,28,9,18,22.33
408,2019-08-14,33,6,6,305.83
409,2022-07-24,23,3,9,359.92
410,2021-03-08,97,1,8,441.09
411,2023-06-21,18,10,18,388.22
412,2019-10-11,30,10,15,464.07
413,2021-05-28,26,5,1,493.12
414,2021-08-17,16,10,14,375.02
415,2023-02-13,77,10,18,435.28
416,2020-03-28,39,3,19,340.13
417,2021-10-16,33,8,19,93.76
418,2021-03-26,26,10,10,99.03
419,2020-10-20,48,1,6,64.03
420,2023-03-20,65,2,17,472.06
421,2020-06-30,38,3,14,339.65
422,2022-04-30,2,3,13,397.06
423,2021-12-08,6,8,8,172.27
424,2023-03-16,46,5,10,235.61
425,2019-01-17,50,8,9,29.49
426,2022-04-10,38,6,5,445.61
427,2022-05-28,88,2,4,427.97
428,2019-06-07,18,4,6,394.56
429,2020-04-21,27,9,6,38.57
430,2021-12-05,41,4,13,95.38
431,2022-10-28,72,5,4,173.74
432,2020-06-01,92,5,8,138.9
433,2019-04-09,74,10,5,420.85
434,2023-11-04,17,8,2,105.47
435,2021-11-26,62,6,9,270.74
436,2019-10-07,29,10,11,289.98
437,2022-10-04,58,7,11,218.26
438,2020-05-11,70,6,7,127.94
439,2019-10-29,78,5,14,480.54
440,2019-06-30,22,5,6,212.57
441,2020-08-29,6,3,4,366.38
442,2022-01-27,26,7,6,100.18
443,2020-11-30,39,10,3,413.18
444,2021-09-19,12,5,6,115.79
445,2022-02-13,99,7,3,340.9
446,2019-07-10,14,2,1,258.18
447,2019-09-10,22,9,18,81.81
448,2021-09-07,51,8,4,22.23
449,2021-07-16,23,5,6,466.07
450,2022-03-30,48,2,17,71.59
451,2022-07-03,71,6,18,355.43
452,2022-09-08,50,8,6,329.82
453,2019-05-08,89,7,2,177.44
454,2019-01-18,13,8,12,100.84
455,2023-12-22,85,4,12,97.38
456,2023-10-25,10,3,4,296.81
457,2020-07-19,55,7,16,277.99
458,2020-07-23,9,2,10,439.21
459,2022-09-08,79,5,10,323.6
460,2020-11-16,52,7,7,411.44
461,2023-12-21,2,1,14,25.88
462,2020-09-17,25,4,7,338.79
463,2022-08-04,13,2,12,124.52
464,2021-05-03,98,6,11,133.89
465,2023-08-14,51,1,17,363.08
466,2021-08-19,58,7,11,398.78
467,2023-07-21,34,3,3,192.15
468,2019-06-04,35,1,19,397.14
469,2020-05-04,3,8,4,227.43
470,2022-11-10,59,7,8,430.25
471,2021-02-23,70,2,14,22.2
472,2022-02-01,48,7,14,50.91
473,2022-11-17,64,3,16,390.41
474,2019-09-03,19,9,15,315.8
475,2022-04-14,67,8,12,283.92
476,2021-11-28,82,5,16,310.85
477,2023-02-09,73,7,19,465.79
478,2023-09-02,76,3,5,331.21
479,2021-01-28,5,1,12,327.26
480,2020-06-21,67,1,5,382.14
481,2021-07-09,11,2,10,434.64
482,2020-02-12,94,8,17,138.34
483,2020-06-08,68,1,15,312.21
484,2021-04-07,69,5,8,296.15
485,2023-03-10,1,9,8,76.08
486,2021-06-21,91,9,8,264.96
487,2019-02-05,92,2,10,44.08
488,2020-11-15,63,7,13,100.63
489,2019-01-20,29,1,16,457.35
490,2019-11-17,82,3,9,68.43
491,2023-12-05,12,6,16,293.67
492,2020-05-26,77,9,10,168.51
493,2020-02-04,41,10,3,282.1
494,2020-10-15,2,2,14,125.14
495,2021-08-29,37,7,13,227.75
496,2020-04-15,45,4,4,434.99
497,2022-03-12,80,2,4,194.35
498,2022-01-20,48,3,6,182.99
499,2022-10-09,24,6,19,228.6
500,2021-04-13,99,10,11,59.24
501,2023-12-29,22,9,8,199.8
502,2020-12-27,100,8,14,13.38
503,2021-05-03,11,10,8,256.66
504,2019-02-20,58,9,14,425.49
505,2023-08-16,46,4,7,280.52
506,2023-09-18,29,4,18,307.79
507,2020-07-28,35,9,12,24.98
508,2022-04-28,15,8,14,431.16
509,2022-02-22,60,2,15,198.65
510,2019-05-30,95,8,18,487.68
511,2019-11-10,42,1,12,69.03
512,2020-07-23,43,9,10,472.89
513,2022-09-27,80,9,12,320.8
514,2019-11-01,74,8,8,35.65
515,2023-09-12,49,5,6,486.13
516,2020-11-12,64,5,19,16.8
517,2021-04-17,32,3,1,368.04
518,2023-12-12,64,5,13,445.87
519,2021-12-13,2,4,16,96.15
520,2021-09-29,24,1,18,178.25
521,2020-03-19,87,9,12,285.0
522,2020-09-04,66,10,5,343.11
523,2021-09-19,38,4,13,437.22
524,2019-09-21,31,3,8,382.92
525,2021-12-12,26,6,6,188.03
526,2023-05-15,29,1,3,412.64
527,2021-09-30,67,5,4,483.38
528,2023-07-02,78,7,12,121.22
529,2019-01-05,25,2,13,46.31
530,2022-01-31,48,10,2,219.04
531,2022-05-04,65,9,19,441.88
532,2021-02-12,53,6,4,83.64
533,2021-05-26,67,2,13,444.04
534,2021-09-18,90,8,19,496.18
535,2021-06-02,18,8,8,36.46
536,2022-10-05,9,1,8,252.68
537,2019-02-16,38,1,16,171.15
538,2021-05-16,87,1,11,202.9
539,2021-04-02,21,4,18,231.3
540,2021-07-24,65,4,4,372.45
541,2020-10-17,21,8,1,299.74
542,2019-09-26,27,1,1,480.99
543,2020-01-05,70,10,14,173.05
544,2020-09-27,44,3,4,275.34
545,2022-02-03,100,1,11,408.53
546,2023-08-21,28,9,18,192.78
547,2023-08-10,45,10,16,238.0
548,2020-10-18,17,9,17,345.64
549,2019-04-30,40,7,2,431.76
550,2021-04-10,3,8,4,213.68
551,2023-12-16,76,1,3,270.66
552,2023-06-16,76,5,15,487.81
553,2021-12-17,66,2,2,30.81
554,2022-10-01,46,1,19,229.63
555,2021-01-10,86,3,9,321.63
556,2023-02-06,87,7,10,14.13
557,2019-04-27,30,1,19,302.43
558,2021-03-01,69,2,5,37.54
559,2022-02-24,9,2,14,430.2
560,2022-11-17,85,4,10,405.47
561,2021-10-09,11,3,16,25.81
562,2023-07-23,69,3,6,33.91
563,2021-12-17,99,10,8,379.27
564,2020-09-25,91,5,2,191.08
565,2020-05-27,66,3,18,291.76
566,2023-11-10,88,7,8,142.46
567,2021-03-12,31,5,5,94.75
568,2022-01-24,33,4,17,155.08
569,2023-07-20,39,3,16,130.89
570,2022-02-15,94,4,5,229.67
571,2020-07-13,46,2,17,375.87
572,2023-06-13,37,1,4,281.52
573,2020-05-02,92,3,1,308.5
574,2022-06-14,60,2,6,240.34
575,2021-06-15,31,1,1,169.12
576,2022-07-19,11,1,4,80.32
577,2022-04-27,87,2,2,183.74
578,2020-12-04,2,9,13,335.95
579,2023-01-10,27,5,14,369.55
580,2020-08-03,99,9,17,239.9
581,2021-02-28,2,8,11,326.05
582,2021-05-10,21,6,3,113.17
583,2019-09-04,58,1,7,431.43
584,2022-01-04,5,10,10,434.31
585,2019-06-03,52,5,11,166.96
586,2023-08-07,45,1,10,278.38
587,2022-12-29,85,7,8,307.26
588,2021-09-23,93,10,5,241.49
589,2022-01-14,20,8,2,456.46
590,2020-11-27,61,8,15,372.46
591,2022-08-01,38,7,16,339.53
592,2022-05-28,20,2,4,264.85
593,2021-12-28,25,5,16,51.58
594,2021-12-06,2,4,12,62.83
595,2021-10-05,32,5,14,156.51
596,2019-04-04,26,10,12,113.65
597,2023-11-09,70,9,16,476.74
598,2021-08-15,41,4,16,210.81
599,2021-10-08,67,8,12,439.54
600,2020-03-28,97,8,2,410.86
601,2022-05-12,1,2,14,408.16
602,2021-06-30,51,6,11,115.7
603,2019-08-06,5,5,9,229.19
604,2020-04-18,13,2,7,165.8
605,2020-03-07,19,10,12,485.5
606,2019-12-07,12,4,17,439.6
607,2020-07-04,48,7,9,132.46
608,2023-06-24,25,1,6,163.62
609,2022-08-05,57,9,12,269.17
610,2022-07-01,35,10,10,146.52
611,2023-10-24,76,1,9,414.02
612,2019-12-23,94,5,12,411.42
613,2019-01-23,5,7,1,364.93
614,2023-11-21,98,8,2,347.76
615,2020-06-05,22,2,19,278.18
616,2023-11-17,77,4,1,180.09
617,2022-01-28,57,2,16,420.1
618,2021-03-12,47,4,16,430.83
619,2022-04-18,54,6,18,34.26
620,2022-05-31,3,6,18,205.32
621,2021-01-31,53,2,13,23.05
622,2023-08-10,84,4,12,421.34
623,2020-03-17,31,4,9,96.78
624,2023-06-20,69,1,5,340.19
625,2021-02-07,88,2,9,185.11
626,2021-10-12,33,3,13,409.87
627,2022-09-10,72,5,16,259.75
628,2020-05-30,88,8,10,168.96
629,2021-11-05,50,6,16,168.7
630,2021-03-02,84,3,14,170.19
631,2019-12-02,16,6,2,396.4
632,2023-11-18,76,7,19,358.45
633,2019-09-15,77,6,11,166.41
634,2020-05-11,39,10,19,250.2
635,2021-06-14,89,6,11,47.32
636,2019-06-09,46,1,14,415.48
637,2023-02-07,96,3,15,140.32
638,2021-05-01,88,7,7,445.72
639,2023-08-15,47,4,15,302.43
640,2020-11-20,44,4,8,288.23
641,2023-08-26,9,7,4,89.73
642,2020-01-15,87,9,18,44.07
643,2023-04-18,50,2,14,280.78
644,2021-08-14,77,9,18,239.31
645,2020-11-21,60,3,4,68.64
646,2022-12-21,96,6,2,419.44
647,2023-06-25,15,4,6,214.45
648,2022-07-15,36,1,11,137.62
649,2023-05-20,63,9,1,396.25
650,2022-12-11,69,6,15,457.4
651,2022-04-06,86,8,12,159.92
652,2021-12-02,80,2,18,390.22
653,2023-04-29,41,7,5,329.73
654,2019-10-12,74,6,11,494.97
655,2020-02-01,24,2,19,109.96
656,2019-01-12,82,2,1,480.73
657,2023-06-19,49,4,17,164.48
658,2022-08-18,18,4,8,211.86
659,2022-06-30,7,3,16,185.82
660,2020-05-13,4,8,11,141.54
661,2021-01-23,90,7,19,349.68
662,2019-02-04,69,2,11,298.68
663,2020-12-27,60,3,15,159.79
664,2021-04-28,55,10,8,74.78
665,2019-03-31,16,9,14,165.51
666,2021-02-14,99,5,1,196.8
667,2020-08-27,90,2,10,196.52
668,2021-08-27,82,3,7,185.06
669,2023-06-14,29,8,18,33.87
670,2021-10-18,23,4,12,237.38
671,2020-02-22,14,2,2,419.74
672,2019-04-25,79,2,18,98.38
673,2020-09-08,49,6,7,81.37
674,2022-05-04,33,8,12,241.21
675,2021-04-05,25,7,14,191.6
676,2023-03-05,21,4,10,285.03
677,2023-07-08,17,2,9,474.07
678,2023-02-25,23,9,15,382.83
679,2022-01-03,57,4,10,346.66
680,2020-02-17,81,9,19,213.81
681,2022-10-31,58,5,19,150.81
682,2022-12-14,14,7,12,274.73
683,2020-12-29,93,5,12,443.87
684,2022-07-24,20,2,9,439.6
685,2021-10-17,30,6,4,228.3
686,2021-01-30,19,7,1,130.65
687,2020-11-06,53,6,16,120.42
688,2022-11-18,56,3,1,26.65
689,2020-04-01,77,10,13,422.91
690,2021-07-08,82,8,3,139.77
691,2019-07-11,23,3,12,185.91
692,2021-01-08,62,5,9,406.52
693,2023-09-09,33,9,4,68.81
694,2022-01-27,18,5,2,236.0
695,2023-04-21,73,7,9,69.95
696,2021-09-04,33,7,13,226.51
697,2021-10-05,32,5,14,33.1
698,2019-04-06,61,2,3,263.64
699,2023-08-15,54,5,18,399.9
700,2020-10-24,17,7,9,341.39
701,2022-04-28,19,7,15,259.49
702,2023-10-26,91,4,10,416.09
703,2019-02-06,70,1,17,121.62
704,2023-12-09,99,6,13,417.09
705,2022-10-24,34,3,1,145.42
706,2023-09-15,84,5,11,187.62
707,2023-03-29,25,4,5,72.93
708,2019-10-06,68,2,9,59.86
709,2019-08-05,74,7,7,466.73
710,2021-05-16,74,5,7,103.09
711,2021-05-22,88,7,2,173.32
712,2023-12-27,85,9,19,269.28
713,2022-07-20,11,4,18,180.45
714,2019-03-03,91,5,10,436.37
715,2020-08-18,16,9,5,451.35
716,2020-12-29,90,10,16,169.74
717,2022-09-27,61,4,5,55.09
718,2020-02-01,94,5,15,112.98
719,2020-11-29,80,5,16,242.45
720,2021-11-08,7,8,4,151.36
721,2019-06-26,16,4,14,232.2
722,2023-06-24,99,4,17,381.76
723,2020-01-31,16,7,17,216.11
724,2020-03-20,40,5,16,106.53
725,2022-06-10,12,6,9,185.4
726,2019-03-17,35,6,2,374.06
727,2019-09-22,21,6,11,217.79
728,2020-03-30,50,10,15,132.27
729,2023-12-25,43,5,3,219.43
730,2020-12-18,100,5,16,232.86
731,2021-01-04,17,9,19,155.22
732,2022-11-08,32,8,6,497.89
733,2023-05-07,41,4,14,386.14
