product_code,product_type
Prod211,"Own Brand"
Prod212,"Own Brand"
Prod213,"Own Brand"
Prod214,"Own Brand"
Prod215,"Own Brand"
Prod216,"Own Brand"
Prod217,"Own Brand"
Prod218,"Distribution"
Prod219,"Distribution"
Prod220,"Distribution"
Prod221,"Distribution"
Prod222,"Distribution"
Prod223,"Own Brand"
Prod224,"Own Brand"
Prod225,"Own Brand"
Prod226,"Own Brand"
Prod227,"Own Brand"
Prod228,"Own Brand"
Prod229,"Own Brand"
Prod230,"Own Brand"
Prod231,"Own Brand"
Prod232,"Own Brand"
Prod233,"Distribution"
Prod234,"Distribution"
Prod235,"Distribution"
Prod236,"Distribution"
Prod237,"Distribution"
Prod238,"Own Brand"
Prod239,"Own Brand"
Prod240,"Own Brand"
Prod241,"Own Brand"
Prod242,"Own Brand"
Prod243,"Own Brand"
Prod244,"Own Brand"
Prod245,"Own Brand"
Prod246,"Own Brand"
Prod247,"Own Brand"
Prod248,"Distribution"
Prod249,"Distribution"
Prod250,"Distribution"
Prod251,"Distribution"
Prod252,"Distribution"
Prod253,"Own Brand"
Prod254,"Own Brand"
Prod255,"Own Brand"
Prod256,"Own Brand"
Prod257,"Own Brand"
Prod258,"Own Brand"
Prod259,"Own Brand"
Prod260,"Own Brand"
Prod261,"Own Brand"
Prod262,"Own Brand"
Prod263,"Distribution"
Prod264,"Distribution"
Prod265,"Distribution"
Prod266,"Distribution"
Prod267,"Distribution"
Prod268,"Own Brand"
Prod269,"Own Brand"
Prod270,"Own Brand"
Prod271,"Own Brand"
Prod272,"Own Brand"
Prod273,"Own Brand"
Prod274,"Own Brand"
Prod275,"Own Brand"
Prod276,"Own Brand"
Prod277,"Own Brand"
Prod278,"Distribution"
Prod279,"Distribution"
