AttendanceID,EmployeeID,Date,Status,CheckInTime,CheckOutTime
ATT50097,EMP10829,2023-06-21,Leave,20:33:34,13:36:45
ATT50098,EMP15251,2022-09-10,Absent,18:48:00,04:55:19
ATT50099,EMP11756,2022-04-13,Absent,15:44:14,13:40:21
ATT50100,EMP11178,2023-07-01,Leave,01:51:29,09:32:59
ATT50101,EMP12012,2023-08-08,Leave,01:02:26,06:10:25
ATT50102,EMP13395,2022-06-15,Present,14:39:59,00:43:23
ATT50103,EMP16465,2023-03-22,Leave,18:46:33,00:45:10
ATT50104,EMP13384,2023-09-05,Present,19:21:54,13:09:56
ATT50105,EMP10042,2023-05-31,Remote,05:06:36,15:15:14
ATT50106,EMP18111,2023-02-17,Remote,06:37:51,21:42:12
ATT50107,EMP10523,2023-12-15,Absent,17:58:25,18:23:38
ATT50108,EMP14186,2022-05-15,Present,04:41:05,05:23:57
ATT50109,EMP14533,2023-08-16,Remote,03:13:55,06:55:11
ATT50110,EMP13157,2023-04-03,Absent,19:23:33,01:40:38
ATT50111,EMP17018,2022-07-12,Remote,16:52:14,09:08:45
ATT50112,EMP19801,2022-12-28,Present,14:10:42,17:21:16
ATT50113,EMP12996,2022-12-06,Present,18:34:57,01:24:18
ATT50114,EMP18479,2023-03-31,Present,20:08:37,18:11:16
ATT50115,EMP14307,2023-06-28,Present,06:35:07,05:33:00
ATT50116,EMP17836,2022-10-11,Remote,01:31:37,10:00:10
ATT50117,EMP14314,2022-08-08,Absent,23:41:32,14:27:29
ATT50118,EMP10345,2022-03-03,Present,05:33:36,10:58:52
ATT50119,EMP19226,2022-01-02,Absent,18:50:33,15:41:29
ATT50120,EMP14715,2023-09-28,Leave,23:44:53,19:19:57
ATT50121,EMP18773,2022-09-10,Leave,18:37:49,14:22:53
ATT50122,EMP19388,2023-08-16,Leave,22:58:32,05:23:04
ATT50123,EMP13261,2022-11-22,Present,18:21:20,03:51:14
ATT50124,EMP12742,2023-06-04,Remote,09:57:19,10:05:37
ATT50125,EMP13493,2022-05-20,Present,14:00:53,12:02:07
ATT50126,EMP16109,2023-10-01,Remote,16:56:01,02:26:10
ATT50127,EMP10860,2022-08-09,Leave,10:55:43,17:43:50
ATT50128,EMP16922,2022-06-05,Leave,07:25:42,05:01:09
ATT50129,EMP14007,2023-10-07,Present,02:51:02,02:13:22
ATT50130,EMP11879,2022-06-20,Leave,20:55:43,23:57:16
ATT50131,EMP14264,2023-01-04,Present,22:37:09,23:02:49
ATT50132,EMP10900,2022-01-12,Remote,17:43:03,12:27:23
ATT50133,EMP10899,2022-01-31,Absent,09:49:20,03:00:53
ATT50134,EMP13290,2023-10-27,Leave,23:11:55,17:03:39
ATT50135,EMP17913,2023-01-26,Absent,08:40:12,11:47:03
ATT50136,EMP17107,2022-06-06,Leave,02:03:04,23:59:03
ATT50137,EMP12548,2022-07-22,Present,22:26:27,18:25:07
ATT50138,EMP14244,2022-10-04,Present,11:59:04,06:15:42
ATT50139,EMP12314,2022-02-25,Absent,02:39:33,01:35:10
ATT50140,EMP18205,2023-06-19,Remote,13:41:52,14:10:28
ATT50141,EMP11273,2023-12-28,Leave,07:35:50,21:02:14
ATT50142,EMP10419,2022-03-15,Present,17:49:05,20:37:19
ATT50143,EMP15516,2023-09-28,Remote,04:30:42,15:57:05
ATT50144,EMP15396,2023-01-24,Leave,22:04:00,18:38:05
ATT50145,EMP18136,2022-09-09,Absent,22:34:11,00:21:31
ATT50146,EMP13424,2022-11-14,Present,13:42:07,01:45:43
ATT50147,EMP13179,2023-08-17,Absent,21:57:56,14:03:34
ATT50148,EMP12998,2023-12-17,Absent,09:34:23,04:55:45
ATT50149,EMP17248,2023-07-06,Remote,11:25:20,12:39:00
ATT50150,EMP18388,2022-09-10,Remote,03:43:21,16:40:17
ATT50151,EMP18523,2023-09-30,Remote,19:57:02,18:56:50
ATT50152,EMP12840,2022-07-18,Remote,17:30:10,09:12:04
ATT50153,EMP10605,2023-04-21,Present,02:09:02,23:28:50
ATT50154,EMP11327,2023-09-29,Present,14:29:15,04:51:51
ATT50155,EMP12010,2023-10-09,Present,09:46:35,03:33:44
ATT50156,EMP15456,2023-02-06,Remote,20:13:30,06:47:22
ATT50157,EMP13037,2023-12-25,Absent,12:05:16,05:23:31
ATT50158,EMP14938,2023-04-19,Present,17:42:57,06:02:00
ATT50159,EMP14936,2022-04-08,Remote,02:58:43,23:53:41
ATT50160,EMP14753,2022-08-19,Present,08:46:18,14:55:33
ATT50161,EMP19728,2022-08-17,Present,10:20:11,18:00:07
ATT50162,EMP10581,2023-12-19,Leave,12:30:03,13:21:12
ATT50163,EMP17393,2022-12-01,Present,03:04:18,23:39:55
ATT50164,EMP11668,2022-03-21,Remote,21:48:24,02:53:48
ATT50165,EMP10514,2023-05-20,Present,22:39:14,05:58:43
ATT50166,EMP18793,2022-10-06,Leave,02:33:44,02:43:35
ATT50167,EMP17012,2023-04-13,Absent,11:25:10,13:54:16
ATT50168,EMP11477,2022-05-18,Present,16:18:59,02:23:23
ATT50169,EMP13850,2022-06-27,Remote,09:49:23,03:16:44
ATT50170,EMP11866,2022-04-14,Remote,22:32:15,16:53:52
ATT50171,EMP18042,2022-08-18,Present,14:16:22,02:11:34
ATT50172,EMP11319,2023-03-11,Present,21:03:59,23:03:22
ATT50173,EMP14197,2022-11-03,Absent,00:25:24,08:30:37
ATT50174,EMP13135,2023-03-25,Absent,04:07:28,23:48:16
ATT50175,EMP11615,2023-09-17,Absent,20:11:32,01:58:56
ATT50176,EMP12771,2023-11-13,Leave,21:59:58,05:14:15
ATT50177,EMP12131,2023-09-28,Remote,16:02:33,02:31:17
ATT50178,EMP12521,2022-12-04,Present,08:28:52,01:48:20
ATT50179,EMP16457,2023-09-23,Present,23:07:23,07:20:43
ATT50180,EMP17911,2023-07-15,Present,12:54:25,04:33:09
ATT50181,EMP14585,2023-02-11,Leave,18:47:10,11:15:55
ATT50182,EMP12712,2023-05-26,Remote,01:23:32,13:07:27
ATT50183,EMP15405,2022-10-30,Absent,07:57:25,03:36:31
ATT50184,EMP19895,2022-06-19,Leave,21:48:16,09:35:15
ATT50185,EMP18728,2023-08-04,Leave,03:11:15,16:43:23
ATT50186,EMP18556,2023-08-10,Remote,05:34:25,15:15:17
ATT50187,EMP14770,2022-10-26,Remote,15:35:02,23:57:36
ATT50188,EMP12330,2023-10-08,Present,07:45:29,03:19:04
ATT50189,EMP14091,2023-05-10,Remote,19:52:29,06:56:51
ATT50190,EMP15693,2022-05-22,Absent,18:29:56,13:09:16
ATT50191,EMP16863,2022-01-26,Present,00:39:44,08:35:50
ATT50192,EMP10412,2023-10-16,Present,10:57:59,05:25:01
ATT50193,EMP10354,2023-01-15,Leave,05:56:33,01:30:09
ATT50194,EMP12196,2022-11-08,Leave,18:51:06,02:36:13
ATT50195,EMP18360,2022-12-29,Leave,06:14:30,15:52:12
ATT50196,EMP16558,2022-06-06,Present,15:02:20,10:22:30
ATT50197,EMP14242,2022-07-29,Absent,04:02:42,17:07:13
ATT50198,EMP19707,2022-07-25,Leave,07:47:10,05:23:00
ATT50199,EMP15023,2022-05-08,Leave,03:45:58,09:44:33
ATT50200,EMP15123,2023-11-28,Leave,07:12:56,04:26:34
ATT50201,EMP18295,2022-09-03,Remote,17:48:03,17:09:42
ATT50202,EMP11071,2022-09-18,Present,07:27:55,12:45:53
ATT50203,EMP17036,2022-02-18,Remote,00:01:13,09:01:15
ATT50204,EMP16320,2022-04-14,Present,11:38:01,16:06:08
ATT50205,EMP12163,2023-07-27,Absent,09:53:25,22:11:36
ATT50206,EMP14541,2022-06-26,Remote,03:10:02,10:54:41
ATT50207,EMP11482,2022-11-01,Leave,23:14:35,03:33:05
ATT50208,EMP13468,2022-04-08,Remote,13:52:23,21:09:48
ATT50209,EMP11842,2022-03-10,Remote,17:57:59,20:40:10
ATT50210,EMP14508,2023-09-20,Absent,10:13:08,06:06:32
ATT50211,EMP15410,2022-03-09,Leave,21:43:41,04:16:08
ATT50212,EMP19305,2022-05-25,Leave,20:39:01,02:28:53
ATT50213,EMP10370,2022-05-09,Absent,22:25:46,14:38:14
ATT50214,EMP19446,2022-03-02,Leave,02:22:11,07:34:29
ATT50215,EMP19578,2022-09-23,Absent,12:11:44,21:01:39
ATT50216,EMP19768,2023-09-29,Absent,20:13:15,18:43:29
ATT50217,EMP16894,2023-12-02,Leave,01:50:10,01:22:24
ATT50218,EMP17870,2023-03-10,Present,00:26:08,08:38:29
ATT50219,EMP11911,2023-06-29,Remote,16:45:16,19:08:27
ATT50220,EMP11649,2023-03-02,Absent,14:41:37,05:09:11
ATT50221,EMP15610,2023-08-26,Present,06:18:26,02:29:33
ATT50222,EMP15097,2022-08-04,Remote,09:35:43,16:45:51
ATT50223,EMP19951,2023-05-14,Leave,11:09:36,17:32:26
ATT50224,EMP16634,2022-07-03,Present,02:11:14,05:55:32
ATT50225,EMP18342,2023-09-21,Absent,17:56:36,22:46:06
ATT50226,EMP18229,2022-12-29,Present,08:05:58,20:30:49
ATT50227,EMP19246,2022-04-02,Remote,14:30:10,20:02:09
ATT50228,EMP13706,2023-12-24,Absent,15:50:28,08:37:31
ATT50229,EMP10898,2022-07-01,Absent,22:57:33,16:33:56
ATT50230,EMP13151,2022-07-13,Present,22:58:51,01:16:23
ATT50231,EMP10882,2023-03-19,Leave,00:30:15,23:22:26
ATT50232,EMP18847,2022-06-22,Remote,09:07:28,20:26:32
ATT50233,EMP15699,2022-09-16,Absent,15:56:54,15:58:42
ATT50234,EMP13253,2023-03-31,Present,15:08:17,02:58:27
ATT50235,EMP19435,2022-03-30,Leave,12:53:47,17:37:45
ATT50236,EMP14905,2023-08-14,Remote,12:35:49,06:10:09
ATT50237,EMP12173,2023-09-20,Absent,13:17:48,05:31:02
ATT50238,EMP19746,2023-07-23,Absent,06:42:17,01:58:54
ATT50239,EMP16744,2023-08-03,Present,17:31:48,18:23:42
ATT50240,EMP10594,2022-05-10,Leave,14:21:37,00:02:37
ATT50241,EMP15437,2022-01-06,Present,07:47:01,07:29:44
ATT50242,EMP16873,2022-05-01,Leave,03:26:49,20:13:43
ATT50243,EMP19630,2022-10-17,Leave,05:53:39,16:56:01
ATT50244,EMP18912,2022-05-05,Remote,04:45:47,10:50:40
ATT50245,EMP10820,2023-01-10,Present,15:33:56,04:04:50
ATT50246,EMP19996,2023-07-25,Absent,14:53:08,01:12:13
ATT50247,EMP19786,2022-01-22,Absent,02:42:55,10:59:37
ATT50248,EMP10011,2023-03-12,Remote,07:30:59,13:15:15
ATT50249,EMP16231,2022-08-09,Leave,19:45:34,14:50:49
ATT50250,EMP16241,2022-08-29,Remote,14:12:22,07:39:15
ATT50251,EMP10407,2023-06-10,Remote,10:23:11,20:46:15
ATT50252,EMP16057,2023-05-12,Present,05:05:25,23:57:37
ATT50253,EMP19608,2023-12-10,Leave,10:18:34,02:24:45
ATT50254,EMP15807,2022-05-23,Absent,07:36:30,20:14:08
ATT50255,EMP14163,2022-02-21,Present,23:51:02,22:30:23
ATT50256,EMP18111,2023-12-19,Absent,16:32:22,14:12:54
ATT50257,EMP13736,2023-04-30,Remote,07:58:44,00:59:44
ATT50258,EMP12838,2023-01-12,Leave,08:56:49,12:44:32
ATT50259,EMP18536,2022-12-14,Absent,04:33:54,02:56:14
ATT50260,EMP14796,2022-04-11,Absent,04:53:26,07:25:58
ATT50261,EMP16263,2022-12-12,Remote,07:48:57,05:08:19
ATT50262,EMP12922,2022-10-30,Leave,02:26:06,12:19:21
ATT50263,EMP14677,2022-07-19,Remote,12:27:37,17:51:24
ATT50264,EMP13387,2022-10-29,Absent,13:06:08,20:40:31
ATT50265,EMP13932,2023-06-18,Present,02:11:21,02:53:57
ATT50266,EMP13904,2023-12-15,Leave,15:18:54,07:21:48
ATT50267,EMP11493,2022-03-24,Leave,16:45:34,19:51:38
ATT50268,EMP17790,2022-10-15,Leave,01:30:59,23:00:35
ATT50269,EMP15334,2023-02-02,Remote,11:14:36,16:49:13
ATT50270,EMP10473,2022-01-24,Remote,23:31:07,01:42:05
ATT50271,EMP16669,2022-10-01,Present,21:24:02,04:49:25
ATT50272,EMP16947,2023-05-18,Present,06:28:52,00:28:55
ATT50273,EMP17422,2023-01-17,Present,19:54:48,07:53:04
ATT50274,EMP11279,2022-11-20,Present,14:48:11,08:56:53
ATT50275,EMP10843,2023-02-17,Leave,17:13:06,08:00:09
ATT50276,EMP13598,2023-11-02,Remote,01:12:08,05:57:46
ATT50277,EMP14912,2022-05-11,Leave,01:15:29,18:33:24
ATT50278,EMP15967,2022-03-22,Present,13:31:55,06:34:04
ATT50279,EMP18135,2022-07-14,Present,09:33:19,12:05:57
ATT50280,EMP15291,2023-05-24,Present,02:12:37,22:19:43
ATT50281,EMP18177,2022-08-07,Leave,12:25:37,08:15:17
ATT50282,EMP14941,2023-09-30,Leave,20:38:35,20:20:27
ATT50283,EMP10574,2023-05-01,Absent,23:55:49,18:25:58
ATT50284,EMP18471,2023-04-06,Remote,13:17:11,21:12:26
ATT50285,EMP10767,2022-05-06,Remote,09:04:33,17:45:41
ATT50286,EMP13585,2022-03-27,Present,19:45:31,05:01:58
ATT50287,EMP14689,2022-06-22,Remote,02:37:43,12:46:42
ATT50288,EMP17043,2023-10-14,Present,16:31:28,19:18:11
ATT50289,EMP18795,2022-02-08,Remote,15:53:16,07:52:23
ATT50290,EMP12776,2023-12-03,Present,19:23:25,06:44:02
ATT50291,EMP16567,2023-11-26,Remote,18:20:51,20:42:13
ATT50292,EMP11516,2023-03-06,Absent,00:36:39,07:41:38
ATT50293,EMP17740,2022-04-04,Absent,23:32:14,02:41:44
ATT50294,EMP19718,2023-09-22,Present,16:53:50,03:44:33
ATT50295,EMP16252,2023-07-19,Leave,14:43:02,18:14:58
ATT50296,EMP19682,2022-12-30,Present,14:30:30,13:13:07
ATT50297,EMP15571,2022-08-08,Remote,14:10:19,16:39:11
ATT50298,EMP16615,2022-03-09,Absent,11:01:08,20:52:41
ATT50299,EMP18236,2022-09-18,Leave,16:50:51,05:04:15
ATT50300,EMP13466,2023-11-06,Present,22:22:22,18:32:45
ATT50301,EMP15591,2023-10-09,Remote,03:29:03,13:43:21
ATT50302,EMP15370,2023-02-04,Absent,23:21:41,18:50:48
ATT50303,EMP18102,2022-03-31,Absent,19:02:21,14:58:23
ATT50304,EMP13194,2022-05-28,Remote,05:54:58,14:49:58
ATT50305,EMP19734,2022-05-12,Remote,15:24:43,14:22:00
ATT50306,EMP11506,2022-04-06,Remote,01:11:09,08:26:48
ATT50307,EMP19879,2023-12-14,Present,16:29:52,09:19:02
ATT50308,EMP12370,2023-12-02,Absent,22:05:31,03:28:43
ATT50309,EMP16400,2023-09-21,Present,17:31:37,06:21:57
ATT50310,EMP12419,2023-01-06,Remote,05:30:38,18:20:35
ATT50311,EMP19645,2022-04-19,Present,05:48:04,04:57:01
ATT50312,EMP11322,2023-07-20,Remote,09:30:59,21:21:37
ATT50313,EMP12638,2023-03-16,Present,12:57:33,07:40:26
ATT50314,EMP12634,2023-01-08,Present,16:48:23,00:27:33
ATT50315,EMP16653,2023-10-04,Leave,23:02:26,01:37:20
ATT50316,EMP10999,2022-08-08,Remote,14:49:54,22:34:32
ATT50317,EMP16588,2022-07-16,Present,04:05:21,20:47:00
ATT50318,EMP16111,2023-06-10,Remote,23:02:16,06:42:56
ATT50319,EMP16181,2022-02-14,Leave,05:42:51,20:53:44
ATT50320,EMP19875,2023-12-15,Absent,21:32:07,08:04:28
ATT50321,EMP16495,2023-05-01,Absent,08:49:11,00:54:07
ATT50322,EMP12503,2023-11-18,Absent,21:20:13,06:41:21
ATT50323,EMP13892,2022-09-14,Absent,12:38:11,13:17:13
ATT50324,EMP17734,2022-09-09,Absent,11:44:54,08:00:25
ATT50325,EMP17085,2022-07-09,Present,11:02:16,18:26:56
ATT50326,EMP16755,2023-10-05,Absent,14:42:09,09:36:14
ATT50327,EMP16529,2022-12-25,Absent,18:14:13,03:30:56
ATT50328,EMP18687,2022-10-08,Leave,15:56:33,04:56:35
ATT50329,EMP10499,2023-06-26,Leave,19:04:11,16:19:07
ATT50330,EMP15585,2023-01-11,Present,06:13:05,11:01:32
ATT50331,EMP14439,2023-09-04,Absent,19:37:33,18:26:23
ATT50332,EMP13318,2023-07-24,Absent,06:14:53,06:22:46
ATT50333,EMP12487,2023-11-01,Leave,09:54:52,21:24:22
ATT50334,EMP10923,2022-08-11,Leave,11:34:46,02:28:08
ATT50335,EMP14039,2023-11-14,Present,05:49:18,04:26:30
ATT50336,EMP11022,2023-04-18,Present,21:22:19,07:10:01
ATT50337,EMP14671,2023-09-29,Leave,12:07:17,15:03:23
ATT50338,EMP12350,2022-08-26,Remote,19:20:05,02:54:32
ATT50339,EMP14590,2022-08-06,Leave,14:15:18,22:40:47
ATT50340,EMP19008,2022-03-05,Remote,07:27:29,05:47:23
ATT50341,EMP10556,2022-07-06,Remote,08:32:09,05:17:58
ATT50342,EMP14153,2023-07-16,Present,02:16:07,02:44:16
ATT50343,EMP19597,2023-02-10,Leave,13:51:10,08:57:43
ATT50344,EMP18815,2022-05-24,Remote,20:26:15,04:51:11
ATT50345,EMP15378,2022-09-05,Present,15:01:04,09:30:24
ATT50346,EMP13673,2022-12-03,Leave,08:02:14,12:41:14
ATT50347,EMP13313,2023-10-29,Leave,12:02:20,11:11:57
ATT50348,EMP18457,2022-05-25,Absent,06:46:58,19:02:00
ATT50349,EMP16409,2023-08-16,Leave,08:46:58,03:07:52
ATT50350,EMP17536,2022-05-10,Remote,10:09:35,13:40:32
ATT50351,EMP12361,2022-04-29,Absent,06:50:06,23:20:45
ATT50352,EMP17411,2023-02-24,Leave,23:16:30,07:49:48
ATT50353,EMP17460,2022-10-06,Present,13:22:47,19:08:00
ATT50354,EMP13967,2022-12-14,Leave,12:36:33,23:15:03
ATT50355,EMP15921,2023-04-19,Present,02:33:37,22:44:15
ATT50356,EMP19097,2022-04-17,Leave,14:10:19,03:56:25
ATT50357,EMP13149,2023-07-17,Present,18:53:49,22:36:02
ATT50358,EMP16651,2022-11-28,Leave,22:24:45,18:54:18
ATT50359,EMP13388,2022-12-03,Absent,21:50:29,03:42:36
ATT50360,EMP17270,2023-04-21,Absent,19:05:46,05:58:19
ATT50361,EMP16729,2023-01-30,Absent,09:00:37,01:11:19
ATT50362,EMP18220,2023-05-08,Leave,12:56:50,13:24:00
ATT50363,EMP19905,2023-02-14,Remote,15:43:58,04:24:21
ATT50364,EMP19579,2023-02-17,Present,12:49:00,11:22:04
ATT50365,EMP17416,2023-02-14,Absent,11:32:58,07:58:50
ATT50366,EMP12819,2022-10-06,Remote,09:26:12,13:23:20
ATT50367,EMP18941,2023-01-07,Absent,03:00:40,16:55:20
ATT50368,EMP18872,2023-12-15,Present,05:14:21,11:14:04
ATT50369,EMP15141,2023-05-24,Remote,03:25:30,09:14:45
ATT50370,EMP14617,2022-08-22,Remote,10:21:43,09:34:40
ATT50371,EMP12603,2023-03-21,Remote,01:37:47,19:27:18
ATT50372,EMP11177,2022-08-20,Remote,19:11:46,03:08:24
ATT50373,EMP13553,2022-02-02,Remote,02:49:05,08:53:33
ATT50374,EMP16135,2023-09-27,Remote,18:13:57,18:14:54
ATT50375,EMP18482,2023-03-15,Leave,05:21:25,20:25:00
ATT50376,EMP10213,2023-12-09,Present,23:29:33,01:39:00
ATT50377,EMP17653,2022-01-08,Present,10:12:37,22:16:16
ATT50378,EMP18848,2023-04-15,Remote,01:27:17,10:03:49
ATT50379,EMP13483,2022-12-16,Present,23:23:56,05:47:56
ATT50380,EMP11871,2022-05-01,Present,12:13:36,04:37:13
ATT50381,EMP15398,2022-07-07,Absent,14:32:01,14:10:36
ATT50382,EMP10734,2023-10-18,Absent,19:17:12,03:08:13
ATT50383,EMP13981,2023-11-17,Leave,05:19:49,04:06:58
ATT50384,EMP10981,2023-08-01,Absent,17:17:44,05:04:05
ATT50385,EMP10461,2022-01-23,Remote,08:59:46,15:53:11
ATT50386,EMP14212,2022-07-11,Absent,03:21:33,20:37:13
ATT50387,EMP11606,2023-02-16,Present,08:51:38,22:04:25
ATT50388,EMP12856,2023-10-07,Leave,03:15:21,01:27:25
ATT50389,EMP15208,2023-02-23,Leave,20:35:10,05:45:13
ATT50390,EMP12902,2022-05-17,Absent,21:28:42,05:31:21
ATT50391,EMP13530,2023-07-04,Remote,02:28:00,22:39:52
ATT50392,EMP15824,2022-03-24,Remote,21:15:56,17:34:11
ATT50393,EMP16123,2023-11-12,Leave,15:23:14,22:21:56
ATT50394,EMP12022,2022-11-12,Leave,05:33:07,17:51:55
ATT50395,EMP11855,2022-09-20,Present,06:01:46,19:29:02
ATT50396,EMP11018,2022-07-09,Leave,11:37:22,13:10:49
ATT50397,EMP19693,2022-04-27,Present,23:24:22,08:13:07
ATT50398,EMP19694,2023-06-22,Absent,08:37:58,08:59:07
ATT50399,EMP15812,2022-03-19,Leave,00:24:40,11:09:05
ATT50400,EMP13593,2023-04-25,Absent,10:17:08,00:12:35
